Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05JF011,2024-05-03T18:15:00,-6,Discharge/Débit,,0.479,0.002,8.0,-0.0454,-0.89129996,-0.033099998,"Measurement condition : Debris; Cloudy , Light Rain , Light Wind Blowing Cross Stream","MINOR DEBRIS ON CONTROL, FLOWW THROUGH CONTROL",Other Methods Estimated,,,,5.0,,Provisional/Provisoire,
05JF011,2024-05-03T18:15:00,-6,Stage/Niveau d'eau,0.479,,,,,,,,,GC: -0.007 HG: 0.484 Found (FD),,,,,,Provisional/Provisoire,
05JF011,2024-03-19T16:15:00,-6,Stage/Niveau d'eau,1.161,,,,,,,,,GC: -0.007 HG: 1.167 Found (FD),,,,,,Provisional/Provisoire,
05JF011,2024-03-19T16:11:30,-6,Discharge/Débit,,1.133,0.972,8.0,-0.22,-0.42970002,0.0004,"Measurement condition : Debris; Partly Cloudy , No Precipitation , Moderate Wind Blowing Downstream",BACKWATER DUE TO TREES AND DEBRIS DOWNSTREAM OF CONTROL.  CONTROL CLEAR AND SUBMERGED,Mid-section,5.8,3.59,0.271,-3.0,,Provisional/Provisoire,5.84
05JF011,2024-03-19T15:55:00,-6,Stage/Niveau d'eau,1.104,,,,,,,,,GC: -0.007 HG: 1.109 Found (FD),,,,,,Provisional/Provisoire,
05JF011,2024-03-15T19:20:00,-6,Stage/Niveau d'eau,0.881,,,,,,,,,GC: -0.007 HG: 0.888 Reset (RS),,,,,,Provisional/Provisoire,
05JF011,2024-03-15T19:17:00,-6,Stage/Niveau d'eau,0.881,,,,,,,,,GC: -0.007,,,,,,Provisional/Provisoire,
05JF011,2024-03-15T19:08:30,-6,Discharge/Débit,,0.88,0.322,8.0,-0.201,-0.6316,-0.0034,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream",some ice upstream of control as well as bottom ice,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",5.2,0.973,0.33,,,Provisional/Provisoire,9.46
05JF011,2024-03-15T19:05:00,-6,Stage/Niveau d'eau,0.878,,,,,,,,,GC: -0.007 HG: 0.873,,,,,,Provisional/Provisoire,
05JF011,2024-03-05T18:22:30,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : Ice; Mostly Cloudy , No Precipitation , Calm Wind ",CHANNEL SNOWPACKED,,,,,-18.0,,Provisional/Provisoire,
