STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05LC004,H,2014,H,8.0,7,11,12,37,CST,255.36599731445312,,Maximum
05LC004,H,2016,L,8.0,3,15,15,17,CST,253.5249938964844,,Minimum
05LC004,H,2017,H,8.0,5,9,9,42,CST,255.0260009765625,,Maximum
05LC004,H,2018,H,8.0,7,15,17,22,CST,254.9709930419922,,Maximum
05LC004,H,2019,H,8.0,5,4,11,42,CST,254.2400054931641, ,Maximum
05LC004,H,2020,H,8.0,5,27,17,22,CST,254.43299865722656, ,Maximum
05LC004,H,2020,L,8.0,10,10,19,52,CST,253.39300537109372, ,Minimum
05LC004,H,2021,H,8.0,6,16,18,27,CST,254.25799560546875, ,Maximum
05LC004,H,2022,H,8.0,6,2,1,52,CST,255.0279998779297, ,Maximum
05LC004,H,2024,H,8.0,6,16,20,47,CST,254.75900268554688, ,Maximum
05LC004,Q,1968,H,,7,8,6,50,CST,69.4000015258789,,Maximum
05LC004,Q,1969,H,,5,7,17,30,CST,57.20000076293945,,Maximum
05LC004,Q,1970,H,,7,22,9,0,CST,118.0,,Maximum
05LC004,Q,1971,H,,5,6,13,48,CST,106.0,,Maximum
05LC004,Q,1972,H,,5,15,10,30,CST,199.0,,Maximum
05LC004,Q,1973,H,,7,7,17,58,CST,104.0,,Maximum
05LC004,Q,1974,H,,5,31,8,0,CST,192.0,,Maximum
05LC004,Q,1976,H,,7,5,18,19,CST,104.0,,Maximum
05LC004,Q,1977,H,,10,17,4,10,CST,41.59999847412109,,Maximum
05LC004,Q,1978,H,,5,11,6,0,CST,82.69999694824219,,Maximum
05LC004,Q,1979,H,,6,5,12,3,CST,229.0,,Maximum
05LC004,Q,1980,H,,8,25,14,40,CST,28.299999237060547,,Maximum
05LC004,Q,1981,H,,11,7,19,0,CST,25.0,,Maximum
05LC004,Q,1982,H,,8,7,19,34,CST,63.900001525878906,,Maximum
05LC004,Q,1983,H,,6,14,16,46,CST,121.0,,Maximum
05LC004,Q,1984,H,,6,1,0,52,CST,161.0,,Maximum
05LC004,Q,1985,H,,6,8,19,31,CST,134.0,,Maximum
05LC004,Q,1986,H,,6,12,10,47,CST,93.8000030517578,,Maximum
05LC004,Q,1987,H,,4,26,18,58,CST,41.29999923706055,,Maximum
05LC004,Q,1988,H,,5,12,13,55,CST,107.0,,Maximum
05LC004,Q,1989,H,,10,5,18,12,CST,27.200000762939453,,Maximum
05LC004,Q,1990,H,,5,27,2,54,CST,75.80000305175781,,Maximum
05LC004,Q,1991,H,,7,30,20,11,CST,26.399999618530277,,Maximum
05LC004,Q,1992,H,,5,12,14,46,CST,26.600000381469727,,Maximum
05LC004,Q,1993,H,,8,24,12,12,CST,100.0,,Maximum
05LC004,Q,1994,H,,5,28,23,56,CST,59.29999923706055,,Maximum
05LC004,Q,2014,H,,7,11,12,37,CST,198.0,,Maximum
05LC004,Q,2015,H,,5,7,21,17,CST,56.29999923706055,,Maximum
05LC004,Q,2017,H,,5,9,9,42,CST,146.0,,Maximum
05LC004,Q,2018,H,,7,15,16,7,CST,150.0,,Maximum
05LC004,Q,2019,H,,5,4,11,42,CST,58.79999923706055, ,Maximum
05LC004,Q,2020,H,,5,27,17,22,CST,82.0, ,Maximum
05LC004,Q,2021,H,,6,16,18,27,CST,62.400001525878906, ,Maximum
05LC004,Q,2022,H,,6,2,1,52,CST,154.0, ,Maximum
05LC004,Q,2023,H,,6,8,20,47,CST,64.5, ,Maximum
05LC004,Q,2024,H,,6,16,21,12,CST,125.0, ,Maximum
