Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05LJ005,DeleteRegion,HG,2024-02-06T17:15:00,2024-02-07T09:05:00,2024-02-08T13:48:13,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-02-03T00:40:00,2024-02-03T16:30:00,2024-02-08T13:47:36,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-02-01T09:50:00,2024-02-02T01:05:00,2024-02-08T13:47:09,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-27T12:30:00,2024-01-27T20:55:00,2024-02-08T13:45:42,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-26T00:55:00,2024-01-26T20:05:00,2024-02-08T13:45:10,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-25T07:10:00,2024-01-25T20:25:00,2024-02-08T13:44:29,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-25T03:10:00,2024-01-25T04:10:00,2024-02-08T13:43:46,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-24T23:35:00,2024-01-25T07:05:00,2024-02-08T13:43:25,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-19T21:30:00,2024-01-20T02:20:00,2024-02-08T13:40:04,-6,DELETE - ICE AFFECTED,,Normal
05LJ005,DeleteRegion,HG,2024-01-15T06:25:00,2024-01-15T06:45:00,2024-02-08T13:41:10,-6,DELETE - SPIKE,,Normal
05LJ005,AdjustableTrim,HG,2024-01-05T18:00:00,2024-01-08T23:25:00,2024-01-10T17:43:05,-6,DELETE INVALID SLUSH DATA. TO BE ADJUSTED BY COMP LEAD,"UpperThresholdPoints:(Time:2024-01-05T18:00:00Z,Value:279.21272607350096);(Time:2024-01-08T23:25:00Z,Value:279.21272607350096),TrimAction:Delete",Normal
05LJ005,DeleteRegion,HG,2023-12-05T03:00:00,2023-12-05T03:00:00,2024-01-18T22:40:00,-6,DR - INVALID SPIKE,,Normal
05LJ005,DeleteRegion,HG,2023-11-17T06:05:00,2023-11-18T18:15:00,2023-11-22T21:48:32,-6,BUBBLER ISSUES,,Normal
05LJ005,DeleteRegion,HG,2023-11-09T18:25:00,2023-11-09T18:25:00,2023-11-14T14:43:44,-6,DELETE SPIKE,,Normal
05LJ005,Drift,HG,2023-10-17T14:20:00,2024-01-18T15:45:00,2024-01-18T23:09:14,-6,SRC (0.000 TO -0.022m) RESET,"DriftPoints:(Offset:0,Time:2023-10-17T14:20:00Z);(Offset:-0.022,Time:2024-01-18T15:45:00Z)",Normal
05LJ005,Drift,HG,2023-08-29T21:30:00,2023-10-17T14:15:00,2023-10-18T15:04:37,-6,SRC - VISIT TO VISIT - RESET,"DriftPoints:(Offset:0,Time:2023-08-29T21:30:00Z);(Offset:-0.011,Time:2023-10-17T14:15:00Z)",Normal
05LJ005,DeleteRegion,HG,2023-07-14T05:35:00,2023-07-14T05:35:00,2023-08-04T15:14:09,-6,SPIKE,,Normal
05LJ005,AdjustableTrim,HG,2023-05-01T13:15:00,2023-05-07T01:45:00,2023-05-08T13:47:04,-6,CLEAN UP SILTING,"UpperThresholdPoints:(Time:2023-05-01T13:15:00Z,Value:279.56318451975505);(Time:2023-05-02T05:24:16.659Z,Value:279.53779171071164);(Time:2023-05-02T12:47:17.224Z,Value:279.57023807782264);(Time:2023-05-02T18:48:15.463Z,Value:279.56995593549993);(Time:2023-05-03T03:52:26.898Z,Value:279.5442809841338);(Time:2023-05-03T15:59:51.526Z,Value:279.6268147117357);(Time:2023-05-04T02:50:41.986Z,Value:279.6112482387589);(Time:2023-05-04T14:29:23.79Z,Value:279.70146490188296);(Time:2023-05-05T06:27:39.847Z,Value:279.6437535334126);(Time:2023-05-05T11:31:45.601Z,Value:279.6556035109662);(Time:2023-05-07T01:45:00Z,Value:279.55838810026904),TrimAction:Delete",Normal
05LJ005,Drift,HG,2023-04-25T15:10:00,2023-05-31T16:30:00,2023-05-31T18:53:42,-6,SRC Reset May 31,"DriftPoints:(Offset:0.013,Time:2023-04-25T15:10:00Z);(Offset:-0.081,Time:2023-05-31T16:30:00Z)",Normal
05LJ005,DeleteRegion,HG,2023-04-25T15:00:00,2023-04-25T15:05:00,2023-04-25T22:47:23,-6,SET BLOCK DEEPER INTO GAUGE POOL,,Normal
05LJ005,Drift,HG,2023-04-16T15:45:00,2023-04-25T14:25:00,2023-04-25T22:49:36,-6,"SRC FOUND ON APRIL 25 AND CARRIED BACK, ESTIMATED AFTER NEW BLOCK SETTLED","DriftPoints:(Offset:-0.171,Time:2023-04-16T15:45:00Z);(Offset:-0.171,Time:2023-04-25T14:25:00Z)",Normal
05LJ005,DeleteRegion,HG,2023-04-16T07:35:00,2023-04-16T15:40:00,2023-04-25T14:56:52,-6,"INVALID, ICE/SLUSH AFFECTING LINE. PROBABLY MOVEMENT OCCURRED",,Normal
05LJ005,DeleteRegion,HG,2023-04-13T02:25:00,2023-04-13T17:45:00,2023-04-13T19:33:52,-6,ICE/SLUSH,,Normal
05LJ005,DeleteRegion,HG,2023-04-08T13:25:00,2023-04-08T18:50:00,2023-04-13T19:33:07,-6,ICE/SLUSH,,Normal
05LJ005,DeleteRegion,HG,2023-04-04T00:10:00,2023-04-04T14:10:00,2023-04-13T19:32:25,-6,ICE/SLUSH,,Normal
05LJ005,DeleteRegion,HG,2023-03-18T00:15:00,2023-03-19T00:45:00,2023-03-20T13:04:08,-6,ICE/SLUSH AFFECTING ORIFICE,,Normal
05LJ005,AdjustableTrim,HG,2023-03-08T22:55:00,2023-03-10T08:00:00,2023-03-13T14:03:43,-6,ICE/SLUSH,"UpperThresholdPoints:(Time:2023-03-08T22:55:00Z,Value:279.0711949587585);(Time:2023-03-10T08:00:00Z,Value:279.0603854489211),TrimAction:Delete",Normal
05LJ005,Drift,HG,2023-03-08T17:50:00,2023-04-13T15:59:35,2023-04-14T13:48:39,-6,SRC Reset Apr 13 - Comp lead to review,"DriftPoints:(Offset:0,Time:2023-03-08T17:50:00Z);(Offset:-0.079,Time:2023-04-13T15:59:35Z)",Normal
05LJ005,DeleteRegion,HG,2023-03-07T08:10:00,2023-03-07T14:00:00,2023-11-07T16:26:48,-6,ICE/SLUSH AFFECTED. INVALID. ,,Normal
05LJ005,CopyPaste,HG,2023-03-06T02:05:00,2023-03-08T13:10:00,2023-03-09T16:21:47,-6,"Logged dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@05LJ005, time shift: 00:00 minutes.‌",,PreProcessing
05LJ005,DeleteRegion,HG,2023-02-27T07:20:00,2023-02-27T07:20:00,2023-02-27T14:44:56,-6,SPIKE,,Normal
05LJ005,CopyPaste,HG,2023-01-30T14:15:00,2023-02-06T09:50:00,2023-03-09T16:22:34,-6,"Logged dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@05LJ005, time shift: 00:00 minutes.‌",,PreProcessing
05LJ005,AdjustableTrim,HG,2023-01-23T13:10:00,2023-01-24T05:10:00,2023-01-30T16:17:19,-6,SLUSH/ICE AFFECTED,"UpperThresholdPoints:(Time:2023-01-23T13:10:00Z,Value:279.08511162260913);(Time:2023-01-24T05:10:00Z,Value:279.0831744194234),TrimAction:Delete",Normal
05LJ005,DeleteRegion,HG,2023-01-23T10:55:00,2023-01-23T13:05:00,2023-01-23T13:21:36,-6,ICE/SLUSH AFFECTING TRACE,,Normal
05LJ005,CopyPaste,HG,2023-01-17T09:55:00,2023-01-17T16:40:00,2023-01-18T20:09:49,-6,"Logged dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@05LJ005, time shift: 00:00 minutes.‌",,PreProcessing
05LJ005,CopyPaste,QR,2023-01-11T00:00:00,2023-01-11T04:20:00,2023-11-15T14:31:42,-6,ESTIMATED. FILL GAP. Override: Freehand‌Override: Freehand‌,,Normal
05LJ005,AdjustableTrim,HG,2023-01-10T23:55:00,2023-01-11T04:20:00,2023-01-11T14:15:49,-6,ICE/SLUSH AFFECTING TRACE,"UpperThresholdPoints:(Time:2023-01-10T23:55:00Z,Value:279.07278859822077);(Time:2023-01-11T04:20:00Z,Value:279.07278859822077),TrimAction:Delete",Normal
