Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05LJ007,2024-06-06T20:15:00,-6,Stage/Niveau d'eau,278.079,,,,,,,,,GC: 0.000 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05LJ007,2024-06-06T19:43:30,-6,Discharge/Débit,,278.078,7.31,29.0,0.0123,0.0275,0.76589996,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Swirling/Variable",CHANNEL CLEAR,"STAGE STABLE, SUSPECT BLOCK FROM LAST VISIT MOVED/SHIFTED DUE TO HIGH VELOCITIES. PURGED AND RESET TO WL. 0.015m SURGE IN CHANNEL IN BLOCK LOCATION Mid-section",17.3,9.91,0.737,11.0,,Provisional/Provisoire,3.97
05LJ007,2024-06-06T18:10:00,-6,Stage/Niveau d'eau,278.075,,,,,,,,,GC: 0.000 HG: 278.225 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05LJ007,2024-05-29T18:25:00,-6,Stage/Niveau d'eau,279.042,,,,,,,,,GC: 0.000 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05LJ007,2024-05-29T17:35:00,-6,Stage/Niveau d'eau,279.042,,,,,,,,,GC: 0.000 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
05LJ007,2024-05-29T17:16:00,-6,Discharge/Débit,,279.055,21.2,29.0,-0.212,-0.1429,-0.1429,"Measurement condition : Clear; Clear , No Precipitation , Moderate Wind Swirling/Variable","CHANNEL MAINLY CLEAR. TREE DEBRIS ON EDGES, LIKELY NOT AFFECTING MUCH","CHANNEL SURGING/TURBULENT. TUG OF WAR MMNT UPSTREAM OF BRIDGE.  SEE COMMENTS ABOUT MEASUREMENT IN FIELD REVIEW DON'T BELIEVE THAT THE ORIFICE IS SILTED IN, SUSPECT THAT A MOVEMENT OCCURRED AND THE MINOR PAINTING TRACE IS VALID DUE TO TURBIDITY OF THE WATER. RESET LOGGER TO WL @10:00CST BEFORE MMNT. LOGGER VALUE FOR SECOND WL DECREASING QUICKER THAN TAPE READINGS, PULLED BLOCK UP TO INSPECT, VERIFIED THAT BLOCK WASN'T SILTED IN AND PURGING CLEAR. REDEPLOYED AS FAR AS POSSIBLE AND RESET TO WL @12:25CST ADCP by Moving Boat",14.0,23.3,0.936,17.0,,Provisional/Provisoire,29.2
05LJ007,2024-05-29T15:40:00,-6,Stage/Niveau d'eau,279.068,,,,,,,,,GC: 0.000 HG: 279.400 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05LJ007,2024-04-13T17:53:00,-6,Stage/Niveau d'eau,278.544,,,,,,,,,GC: 0.000 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
05LJ007,2024-04-13T17:28:00,-6,Discharge/Débit,,278.544,15.3,29.0,-0.038,-0.053400002,-0.053400002,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Blowing Upstream",,"Standing waves in channel. Stage trace relatively stable; large staning wave and boils present in vicinity of orifice, 0.010 - 0.015m surge present. No reset applied. ADCP by Moving Boat",14.5,24.7,0.62,11.0,3.2,Provisional/Provisoire,10.9
05LJ007,2024-04-13T16:35:00,-6,Stage/Niveau d'eau,278.543,,,,,,,,,GC: 0.000 HG: 278.559 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
05LJ007,2024-04-05T21:15:00,-6,Stage/Niveau d'eau,280.396,,,,,,,,,GC: 0.000 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05LJ007,2024-04-05T21:04:00,-6,Discharge/Débit,,280.383,21.0,29.0,-1.55,-0.6652,-0.00029999999,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Moderate Wind Swirling/Variable",ICE JAM 50 METERS DOWNSTREAM OF GAUGE. ICE JAM PRESENT AT UPSTREAM BEND IN CHANNEL,"MINOR SLUSH AFFECT LAST VISIT. RELATIVELY STABLE AT TIME OF RESET, RESET @14:30CST STAGE RISING DURING MMNT, UPSTREAM ICE JAM OCCASIONALLY LETTING OUT AND JAMMING AT DOWNSTREAM ICE JAM ADCP by Moving Boat",17.2,33.5,0.627,13.0,,Provisional/Provisoire,6.4
05LJ007,2024-04-05T20:20:00,-6,Stage/Niveau d'eau,280.369,,,,,,,,,GC: 0.000 HG: 280.382 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
05LJ007,2024-03-14T16:35:00,-6,Stage/Niveau d'eau,277.884,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05LJ007,2024-03-14T16:11:30,-6,Discharge/Débit,,277.884,0.289,29.0,-0.494,-0.9338,-0.0034999999,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind Swirling/Variable",COMPLETE ICE COVER,"SUSPECT MINOR PAINT DUE TO SLUSH AFFECT. PURGED AND RECOVERED CLOSER TO WATER LEVEL. LET STABILIZE AND RESET TO WL @9:40CST. RESET ISN'T EXACT BUT IT'S CLOSER, CAN PROBABLY APPLY AS ZERO DUE TO SLUSH RUNNING. Mid-section",5.3,1.15,0.253,-3.0,,Provisional/Provisoire,20.9
05LJ007,2024-03-14T15:10:00,-6,Stage/Niveau d'eau,277.882,,,,,,,,,GC: 0.000 HG: 278.019 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05LJ007,2023-10-19T21:02:00,-6,Stage/Niveau d'eau,277.486,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05LJ007,2023-10-19T20:39:00,-6,Discharge/Débit,,277.487,0.381,28.0,-0.117,-0.48139998,0.038900003,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Cross Stream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.0,3.58,0.106,17.0,11.0,Final/Finales,10.8
05LJ007,2023-10-19T20:30:00,-6,Stage/Niveau d'eau,277.487,,,,,,,,,GC: 0.000 Maintenance (MT),,,,,,Final/Finales,
05LJ007,2023-08-31T15:49:00,-6,Stage/Niveau d'eau,277.428,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05LJ007,2023-08-31T15:38:00,-6,Stage/Niveau d'eau,277.428,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05LJ007,2023-08-31T15:37:30,-6,Discharge/Débit,,277.428,0.148,28.0,-0.123,-0.66510004,-0.0253,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Blowing Downstream","flowing clear, old sand bars seen d/s","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ stage stable Mid-section",8.9,1.97,0.075,19.0,18.0,Final/Finales,12.1
05LJ007,2023-08-31T15:07:00,-6,Stage/Niveau d'eau,277.428,,,,,,,,,GC: 0.000 HG: 277.435 Purged  (PU),,,,,,Final/Finales,
05LJ007,2023-07-20T16:06:00,-6,Stage/Niveau d'eau,277.53,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05LJ007,2023-07-20T15:52:00,-6,Discharge/Débit,,277.53,0.557,28.0,-0.121,-0.4377,-0.0332,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Cross Stream",sandbar seen d/s,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ stage stable Mid-section",11.2,4.01,0.139,20.0,18.0,Final/Finales,7.52
05LJ007,2023-07-20T15:19:00,-6,Stage/Niveau d'eau,277.53,,,,,,,,,GC: 0.000 HG: 277.528 No Reset (NR),,,,,,Final/Finales,
05LJ007,2023-05-31T20:03:00,-6,Stage/Niveau d'eau,277.62,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05LJ007,2023-05-31T19:35:30,-6,Discharge/Débit,,277.62,1.12,28.0,-0.111,-0.316,-0.027,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable",Clear channel control,"Wade upstream of rock riffle Stage stable, reset after cabinet install. Mid-section",10.6,3.65,0.307,25.0,22.7,Final/Finales,8.07
05LJ007,2023-05-31T19:05:00,-6,Stage/Niveau d'eau,277.62,,,,,,,,,GC: 0.000 HG: 277.687 Found (FD),,,,,,Final/Finales,
05LJ007,2023-05-03T20:21:00,-6,Stage/Niveau d'eau,278.382,,,,,,,,,GC: 0.000,,,,,,Final/Finales,
05LJ007,2023-05-03T20:03:30,-6,Discharge/Débit,,278.383,12.3,28.0,0.0775,-0.028199999,-0.026800001,"Measurement condition : Clear; Clear , No Precipitation , Moderate Wind Blowing Upstream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ stage holding stable during visit. ADCP by Moving Boat",13.2,19.4,0.634,21.0,9.7,Final/Finales,7.0
05LJ007,2023-05-03T19:13:00,-6,Stage/Niveau d'eau,278.383,,,,,,,,,GC: 0.000 HG: 278.507 Purged  (PU),,,,,,Final/Finales,
05LJ007,2023-04-12T20:33:00,-6,Stage/Niveau d'eau,279.859,,,,,,,,,GC: 0.000 HG: 279.836 DWL,,,,,,Provisional/Provisoire,
05LJ007,2023-04-12T20:18:00,-6,Discharge/Débit,,279.848,19.4,28.0,-0.991,-0.5654,0.0002,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream",Large ice jam in river. Anchor ice in river.,"Measured discharge above anchor ice with ADCP. Good section. Right edge 6% due to trees and deadfall no right bank. Could not get closer. Stage rising, reset. ADCP by Moving Boat",15.5,26.8,0.724,11.0,-0.1,Provisional/Provisoire,4.9
05LJ007,2023-04-12T19:35:00,-6,Stage/Niveau d'eau,279.816,,,,,,,,,GC: 0.000 HG: 279.791 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05LJ007,2023-02-23T17:10:00,-6,Stage/Niveau d'eau,277.829,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05LJ007,2023-02-23T16:36:00,-6,Discharge/Débit,,277.83,0.32,28.0,-0.475,-0.91370004,0.0015,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind Swirling/Variable",Ice over river.,"FT under ice mmt US of traffic bridge. Rocks under ice causing angles. Stage stable, no reset. Mid-section",10.5,3.19,0.1,-20.0,0.0,Provisional/Provisoire,23.5
05LJ007,2023-02-23T15:38:00,-6,Stage/Niveau d'eau,277.83,,,,,,,,,GC: 0.000 HG: 277.831 No Reset (NR),,,,,,Provisional/Provisoire,
05LJ007,2022-09-15T17:30:00,-6,Stage/Niveau d'eau,277.473,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
