Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
05MD005,23.000,Approved for 2011 - CJK,LogarithmicTable,Provisional/Provisoire,(437.9);
05MD005,22.000,Same as curve #21 below 438.550 M.,LinearTable,Final/Finales,
05MD005,21.000,,LinearTable,Final/Finales,
05MD005,20.000,Curve #20 is curve #19 converted to GSC,LinearTable,Final/Finales,
05MD005,20.000-SC3,,LinearTable,Final/Finales,
05MD005,20.000-SC2,,LinearTable,Final/Finales,
05MD005,20.000-SC1,,LinearTable,Final/Finales,
05MD005,19.000,,LinearTable,Final/Finales,
05MD005,18.000,,LinearTable,Final/Finales,
05MD005,17.000,,LinearTable,Final/Finales,
05MD005,16.000,,LinearTable,Final/Finales,
05MD005,15.000,,LinearTable,Final/Finales,
05MD005,13.000,,LinearTable,Final/Finales,
