Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05ME005,DeleteRegion,HG,2023-10-31T10:15:00,2024-03-01T06:00:00,2023-11-01T13:31:40,-6,DELETE OUT OF OPERATION,,Normal
05ME005,DeleteRegion,HG,2023-06-23T23:55:00,2023-10-31T06:00:00,2023-07-04T13:16:46,-6,DELETE - ATMO,,Normal
05ME005,CopyPaste,QR,2023-06-04T23:50:00,2023-06-05T05:20:00,2024-01-09T17:16:03,-6,TRIM PEAK DUE TO PRECIPITATION.Override: Freehand‌,,PreProcessing
05ME005,DeleteRegion,HG,2023-05-04T17:40:00,2023-05-04T17:40:00,2023-05-04T18:56:05,-6,DELETE SPIKE DURING VISIT,,Normal
05ME005,Drift,HG,2023-04-16T13:30:00,2023-05-04T17:35:00,2023-05-04T22:39:24,-6,SRC BLENDED FROM MOVEMENT TO RESET,"DriftPoints:(Offset:-0.148,Time:2023-04-16T13:30:00Z);(Offset:-0.345,Time:2023-05-04T17:35:00Z)",Normal
05ME005,FillGaps,QR,2023-04-15T06:20:00,2023-04-15T16:40:00,2024-01-09T16:29:18,-6,,"ResamplePeriod:PT5M,GapLimit:MaxDuration",Normal
05ME005,CopyPaste,QR,2023-04-15T06:20:00,2023-04-15T16:40:00,2024-01-09T16:29:39,-6,GAP FILL ADJUSTED USING COMPARISON STATION DATA.Override: Freehand‌,,PreProcessing
05ME005,FillGaps,QR,2023-04-13T00:20:00,2023-04-14T18:35:00,2024-01-09T16:24:50,-6,,"ResamplePeriod:PT5M,GapLimit:MaxDuration",Normal
05ME005,CopyPaste,QR,2023-04-13T00:20:00,2023-04-14T18:35:00,2024-01-09T16:25:55,-6,GAP FILL ADJUSTED USING COMPARISON STATION DATA.Override: Freehand‌,,PreProcessing
05ME005,AdjustableTrim,HG,2023-04-12T20:45:00,2023-04-20T05:25:00,2023-04-13T18:22:48,-6,ORIFICE ATMOSPHERIC. TEMPORARY UPPER INSTALLED ABOVE ANCHOR ICE APR 12.,"LowerThresholdPoints:(Time:2023-04-12T20:45:00Z,Value:553.113);(Time:2023-04-20T05:25:00Z,Value:553.113),TrimAction:Delete",PreProcessing
05ME005,DeleteRegion,HG,2023-04-08T05:40:00,2023-04-12T18:00:00,2023-04-11T12:53:04,-6,DELETE - ICE AFFECTED,,Normal
05ME005,DeleteRegion,HG,2023-04-05T23:20:00,2023-04-05T23:45:00,2023-04-06T12:28:24,-6,,,Normal
05ME005,DeleteRegion,HG,2023-04-03T06:30:00,2023-04-03T06:30:00,2023-04-03T12:56:25,-6,delete spike,,Normal
05ME005,DeleteRegion,HG,2023-03-19T15:25:00,2023-03-19T15:25:00,2023-03-20T14:35:27,-6,DELETE SPIKE,,Normal
05ME005,AdjustableTrim,HG,2023-03-02T16:40:00,2023-04-10T12:00:00,2023-03-15T12:33:44,-6,LOWER TRIM - SET AT POINT OF ATMO IN 2022,"LowerThresholdPoints:(Time:2023-03-02T16:40:00Z,Value:552.557);(Time:2023-03-18T13:17:46.801Z,Value:552.7641855657705);(Time:2023-04-10T12:00:00Z,Value:552.557),TrimAction:Delete",Normal
05ME005,DeleteRegion,HG,2023-03-02T16:05:00,2023-03-08T14:05:00,2023-03-06T14:53:25,-6,"DELETE - VERY LITTLE WATER IN GAUGE POOL, ORIFICE IN AND OUT OF WATER, INVALID",,Normal
05ME005,DeleteRegion,HG,2023-03-01T06:05:00,2023-03-02T16:00:00,2023-05-08T13:37:39,-6,DELETE-INVALID WL,,Normal
05ME005,SinglePoint,QR,2022-11-01T05:55:00,2022-11-01T05:55:00,2023-05-09T21:39:31,-6,insert single point to produce zero flow,Value:0,Normal
05ME005,DeleteRegion,HG,2022-10-24T12:15:00,2023-03-01T06:00:00,2022-10-31T14:03:42,-6,DELETE - ATMO/OUT OF OP PERIOD,,Normal
05ME005,DeleteRegion,HG,2022-09-04T18:45:00,2022-10-24T12:05:00,2022-10-07T14:22:19,-6,ATMOSPHERIC,,Normal
05ME005,FillGaps,QR,2022-09-04T18:40:00,2022-11-01T05:55:00,2023-05-09T21:40:59,-6,gap fill zero flow,"ResamplePeriod:PT5M,GapLimit:MaxDuration",Normal
05ME005,Drift,HG,2022-08-25T16:30:00,2022-09-04T18:40:00,2022-08-26T18:15:15,-6,SRC CARRIED TO ORIFICE ATMOS,"DriftPoints:(Offset:-0.008,Time:2022-08-25T16:30:00Z);(Offset:-0.008,Time:2022-09-04T18:40:00Z)",Normal
05ME005,Drift,HG,2022-07-14T15:55:00,2022-08-25T16:25:00,2022-08-26T18:12:06,-6,SRC BLENDED VISIT TO VISIT NR,"DriftPoints:(Offset:-0.003,Time:2022-07-14T15:55:00Z);(Offset:-0.008,Time:2022-08-25T16:25:00Z)",Normal
05ME005,AdjustableTrim,HG,2022-04-28T21:05:00,2022-04-28T22:25:00,2023-05-09T19:56:29,-6,REMOVE SPIKES,"UpperThresholdPoints:(Time:2022-04-28T21:05:00Z,Value:553.4717814549947);(Time:2022-04-28T22:25:00Z,Value:553.4717814549947),TrimAction:Delete",Normal
05ME005,CopyPaste,QR,2022-04-28T15:55:00,2022-05-02T20:00:00,2023-10-23T19:01:25,-6,FREEHAND TO SMOOTH ICE AFFECTED TRACEOverride: Freehand‌,,Normal
05ME005,Drift,HG,2022-04-28T15:15:00,2022-07-14T15:50:00,2022-04-28T19:26:01,-6,SRC BLENDED VISIT TO VISIT RS,"DriftPoints:(Offset:-0.006,Time:2022-04-28T15:15:00Z);(Offset:-0.006,Time:2022-07-14T15:50:00Z)",Normal
05ME005,Drift,HG,2022-04-28T14:05:00,2022-04-28T15:05:00,2022-04-28T19:25:31,-6,SRC INTERPOLATED,"DriftPoints:(Offset:-0.005,Time:2022-04-28T14:05:00Z);(Offset:-0.006,Time:2022-04-28T15:05:00Z)",Normal
05ME005,CopyPaste,QR,2022-04-24T08:05:00,2022-04-24T18:35:00,2023-05-10T13:22:03,-6,freehand to fill gap in ice affected QOverride: Freehand‌Override: Freehand‌,,Normal
05ME005,AdjustableTrim,HG,2022-04-24T08:00:00,2022-04-24T18:50:00,2022-04-24T16:40:17,-6,spikes removed,"UpperThresholdPoints:(Time:2022-04-24T08:00:00Z,Value:553.365628346726);(Time:2022-04-24T18:50:00Z,Value:553.5634699650991),TrimAction:Delete",Normal
05ME005,FillGaps,QR,2022-04-24T04:05:00,2022-04-24T06:15:00,2023-05-10T12:13:01,-6,gap fill ice affected Q,"ResamplePeriod:PT5M,GapLimit:MaxDuration",Normal
05ME005,CopyPaste,HG,2022-04-24T04:05:00,2022-04-24T06:15:00,2023-05-10T19:11:51,-6,"FILL GAP WITH LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@05ME005, time shift: 00:00 minutes.‌",,PreProcessing
05ME005,CopyPaste,QR,2022-04-22T23:25:00,2022-04-28T00:55:00,2023-05-10T15:17:06,-6,freehand to smooth trace during ice affected flowOverride: Freehand‌,,Normal
05ME005,Drift,HG,2022-04-08T14:50:00,2022-04-28T14:00:00,2022-04-08T18:30:38,-6,SRC APPLIED. TO MATCH AFTER WATER LEVELS,"DriftPoints:(Offset:-0.005,Time:2022-04-08T14:50:00Z);(Offset:-0.005,Time:2022-04-28T14:00:00Z)",Normal
05ME005,CopyPaste,QR,2022-04-08T14:30:00,2022-04-17T20:20:00,2023-05-10T15:12:04,-6,freehand to reduce ice affected flowOverride: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
05ME005,Drift,HG,2022-04-08T13:40:00,2022-04-08T14:45:00,2022-04-08T18:30:00,-6,INTERPOLATED- ,"DriftPoints:(Offset:0,Time:2022-04-08T13:40:00Z);(Offset:-0.005,Time:2022-04-08T14:45:00Z)",Normal
05ME005,DeleteRegion,HG,2022-04-08T13:15:00,2022-04-08T13:35:00,2022-04-08T18:25:49,-6,purge,,Normal
05ME005,DeleteRegion,HG,2022-04-04T14:15:00,2022-04-08T12:05:00,2022-04-08T18:56:04,-6,"INVALID WATER LEVEL, SLUSH/ICE ORIFICE BURRIED.",,Normal
05ME005,CopyPaste,QR,2022-04-04T13:40:00,2022-04-08T14:25:00,2024-02-10T20:53:44,-6,ESTIMATED DISCHARGE DURING ICE PERIOD.Override: Freehand‌,,Normal
05ME005,Deviation,HG,2022-04-01T13:25:00,2022-04-04T14:05:00,2022-11-25T16:44:56,-6,"PAINTING, REMOVE SPIKES","DeviationValue:0.005,DeviationType:DeviationFromAverage,WindowSizeInMinutes:20",Normal
05ME005,DeleteRegion,HG,2022-04-01T09:50:00,2022-04-01T10:00:00,2022-04-04T14:20:46,-6,INVALID SPIKE,,Normal
05ME005,DeleteRegion,HG,2022-03-31T19:30:00,2022-03-31T19:30:00,2022-04-04T14:22:36,-6,INVALID SPIKE,,Normal
05ME005,DeleteRegion,HG,2022-03-31T16:35:00,2022-03-31T16:35:00,2022-04-04T14:20:32,-6,INVALID SPIKE,,Normal
