Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05ME005,2024-04-10T13:45:00,-6,Stage/Niveau d'eau,553.298,,,,,,,,,GC: 0.000 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2024-04-10T12:35:30,-6,Discharge/Débit,,553.297,1.47,26.0,-0.0403,-0.16770001,-0.0014,"Measurement condition : Clear;  ,  ,  ",D/S CHANNEL CLEAR. ,"WADE D/S 20M FROM GAUGE.  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ MASTER TO WL. Mid-section",3.5,2.27,0.649,3.0,0.4,Provisional/Provisoire,4.19
05ME005,2024-04-10T12:25:00,-6,Stage/Niveau d'eau,553.295,,,,,,,,,GC: 0.000 HG: 553.236 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2023-10-18T14:38:00,-6,Discharge/Débit,,,0.0,26.0,,,,"Measurement condition : No Flow;  ,  ,  ",,NO FLOW ATMO Mid-section,,,,12.0,,Provisional/Provisoire,
05ME005,2023-07-27T21:25:00,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow;  ,  ,  ",,,,,,,,Provisional/Provisoire,
05ME005,2023-06-07T23:00:00,-6,Stage/Niveau d'eau,552.856,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05ME005,2023-06-07T22:48:00,-6,Discharge/Débit,,552.857,0.206,26.0,0.0779,1.0204,-0.0011,"Measurement condition : Vegetation; Partly Cloudy , No Precipitation , Light Wind ",BEAVER DAM IN CHANNEL 30m D/S GAUGE.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ STAGE STABLE, NO RESET Mid-section",3.8,1.04,0.197,30.0,28.0,Provisional/Provisoire,7.66
05ME005,2023-06-07T22:30:00,-6,Stage/Niveau d'eau,552.858,,,,,,,,,GC: 0.000 HG: 552.857 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2023-05-04T18:12:00,-6,Stage/Niveau d'eau,553.103,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
05ME005,2023-05-04T17:53:30,-6,Discharge/Débit,,553.103,0.676,26.0,0.00466,0.0277,0.0277,"Measurement condition : Debris; Clear , No Precipitation , Light Wind Blowing Cross Stream",debris located d/s probable beaver dam,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",5.7,3.29,0.206,17.0,14.0,Provisional/Provisoire,5.71
05ME005,2023-05-04T17:35:00,-6,Stage/Niveau d'eau,553.103,,,,,,,,,GC: 0.000 HG: 553.448 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2023-04-12T18:00:00,-6,Stage/Niveau d'eau,553.257,,,,,,,,,GC: 0.000 Reset (RS),,,,,,Provisional/Provisoire,
05ME005,2023-04-12T16:58:30,-6,Discharge/Débit,,553.263,0.207,26.0,-0.328,-0.8633,0.0038,"Measurement condition : Ice; Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream",ANCHOR ICE AND SNOW PRESENT IN CHANNEL AT GAUGE. CLEAR D/S WHERE MSMT WAS DONE.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ STAGE DROPPING.  Mid-section",2.3,1.42,0.146,2.0,1.0,Provisional/Provisoire,7.14
05ME005,2023-04-12T16:25:00,-6,Stage/Niveau d'eau,553.268,,,,,,,,,GC: 0.000 HG: 552.587 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2023-03-02T16:15:00,-6,Stage/Niveau d'eau,552.676,,,,,,,,,GC: 0.000 HG: 553.336 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2023-03-02T16:15:00,-6,Discharge/Débit,,552.676,0.0,26.0,,-1.0,,"Measurement condition : No Flow; Smokey , No Precipitation , Heavy Wind Blowing Cross Stream",LARGE SNOW DRIFTS IN CHANNEL,NO FLOW DETECTED AT GAUGE VERY LITTLE WATER FOUND IN GAUGE POOL. ORIFICE READINGS UNSTABLE - LIKELY SLUSH/ICE AFFECTED. RESET WL AFTER CHANGING TANK BUT LOGGER READINGS ARE ERRATIC. INSUFFICIENT WATER TO INSTALL NEW BLOCK. Mid-section,,,,-17.0,,Provisional/Provisoire,
05ME005,2022-10-06T17:02:30,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow; Mostly Cloudy , No Precipitation , Light Wind ","ORIFICE ATMO, NO FLOW",,,,,5.0,,Provisional/Provisoire,
05ME005,2022-08-25T16:36:30,-6,Discharge/Débit,,,0.001,26.0,,,,"Measurement condition : Vegetation; Partly Cloudy , No Precipitation , Very Light Wind ",,"ESTIMATE 0=001CMS. SLIGHT TRICKLE AT PINCH IN CHANNEL D/S, TOO SHALLOW TO MEASURE.",,,,24.0,,Provisional/Provisoire,
05ME005,2022-08-25T16:25:00,-6,Stage/Niveau d'eau,552.595,,,,,,,,,GC: 0.000 HG: 552.603 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2022-07-14T16:30:00,-6,Stage/Niveau d'eau,552.825,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05ME005,2022-07-14T16:18:30,-6,Discharge/Débit,,552.825,0.077,26.0,0.00502,0.0563,0.0002,"Measurement condition : Vegetation; Cloudy , Light Rain , Calm Wind ",ABUNDANT TALL GRASS AND CATTAILS IN CHANNEL,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ STAGE RISING. Mid-section",4.4,1.12,0.069,22.0,,Provisional/Provisoire,9.58
05ME005,2022-07-14T16:00:00,-6,Stage/Niveau d'eau,552.824,,,,,,,,,GC: 0.000 HG: 552.827 Purged  (PU),,,,,,Provisional/Provisoire,
05ME005,2022-07-14T15:50:00,-6,Stage/Niveau d'eau,552.824,,,,,,,,,GC: 0.000 HG: 552.830 Found (FD),,,,,,Provisional/Provisoire,
05ME005,2022-04-28T15:05:00,-6,Stage/Niveau d'eau,553.399,,,,,,,,,GC: 0.000 HG: 553.405 No Reset (NR),,,,,,Provisional/Provisoire,
05ME005,2022-04-28T14:39:30,-6,Discharge/Débit,,553.392,1.04,26.0,-0.206,-0.6045,0.0011,"Measurement condition : Ice; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Downstream","ICE UNDER BRIDGE, DEBIS AND ICE DOWNSTREAM",Mid-section,3.9,2.92,0.356,1.0,0.0,Provisional/Provisoire,2.95
05ME005,2022-04-28T14:00:00,-6,Stage/Niveau d'eau,553.382,,,,,,,,,GC: 0.000 HG: 553.387 No Reset (NR),,,,,,Provisional/Provisoire,
05ME005,2022-04-08T14:45:00,-6,Stage/Niveau d'eau,553.613,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05ME005,2022-04-08T14:24:00,-6,Discharge/Débit,,553.614,0.081,26.0,-0.779,-0.9859,0.0128,"Measurement condition : Ice; Clear , No Precipitation , Very Light Wind Blowing Cross Stream",,"snow banks in and along channel, overnight ice present Mid-section",5.7,2.8,0.029,-5.0,1.0,Provisional/Provisoire,17.4
05ME005,2022-04-08T14:00:00,-6,Stage/Niveau d'eau,553.615,,,,,,,,,GC: 0.000 HG: 553.616 Recovered (RC),,,,,,Provisional/Provisoire,
