Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05MF001,2024-06-05T20:05:00,-6,Stage/Niveau d'eau,523.288,,,,,,,,,GC: 0.000 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05MF001,2024-06-05T19:55:30,-6,Discharge/Débit,,523.289,22.8,18.01,-0.0297,-0.0324,-0.0324,"Measurement condition : Clear; Cloudy , Light Rain , Very Heavy Wind Swirling/Variable","CHANNEL CLEAR, BANKS FULL","BEAUTIFUL MEASUREMENT, ON CURVE STAGE STABLE. PURGED, LET STABILIZE AND RESET TO WL @13:20CST ADCP by Moving Boat",28.5,39.9,0.571,13.0,15.7,Provisional/Provisoire,3.7
05MF001,2024-06-05T19:10:00,-6,Stage/Niveau d'eau,523.29,,,,,,,,,GC: 0.000 HG: 523.260 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05MF001,2024-04-17T13:55:00,-6,Stage/Niveau d'eau,523.275,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
05MF001,2024-04-17T13:38:00,-6,Discharge/Débit,,523.275,22.9,18.01,-0.0118,-0.012999999,0.26569998,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind Blowing Cross Stream",Clear at gauge.,"Minor paint in trace, but stage appears stable. Purged line, trace stable afterwards. Reset sensor. ADCP by Moving Boat",25.8,40.3,0.568,1.0,3.6,Provisional/Provisoire,6.2
05MF001,2024-04-17T13:09:00,-6,Stage/Niveau d'eau,523.276,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
05MF001,2024-04-17T12:45:00,-6,Stage/Niveau d'eau,523.275,,,,,,,,,GC: 0.000 HG: 523.268 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
05MF001,2024-04-08T19:20:00,-6,Stage/Niveau d'eau,522.892,,,,,,,,,GC: 0.000 Found (FD),,,,,,Provisional/Provisoire,
05MF001,2024-04-08T19:00:00,-6,Discharge/Débit,,522.894,9.6,18.01,-0.199,-0.314,-0.0005,"Measurement condition : Ice;  ,  ,  ",ICE IN CHANNEL. D/S CONTROL CLEAR OF ICE. ,"MSMT D/S OF GAUGE NEAR FORD CROSSING.  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ROD AT 0.048/ ROD AT 13:20 0.076. STAGE INCREASING.  ADCP by Moving Boat",20.2,18.4,0.521,8.0,,Provisional/Provisoire,5.4
05MF001,2024-04-08T17:05:00,-6,Stage/Niveau d'eau,522.864,,,,,,,,,GC: 0.000 HG: 522.864 Found (FD),,,,,,Provisional/Provisoire,
05MF001,2024-03-13T17:35:00,-6,Stage/Niveau d'eau,522.608,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05MF001,2024-03-13T16:59:30,-6,Discharge/Débit,,522.608,0.886,18.01,-0.453,-0.8892,-0.0039,"Measurement condition : Ice; Cloudy , Moderate Snow , Moderate Wind Blowing Cross Stream",COMPLETE ICE COVER,"MANUALLY CHANGED MMNT TIMES IN NOTE, GPS SYNC NOT WORKING STAGE STABLE. PURGED, STABILIZED AND RESET @10:15CST Mid-section",17.5,5.8,0.153,0.0,,Provisional/Provisoire,17.4
05MF001,2024-03-13T16:00:00,-6,Stage/Niveau d'eau,522.608,,,,,,,,,GC: 0.000 HG: 522.588 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05MF001,2024-01-18T22:30:00,-6,Stage/Niveau d'eau,522.565,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05MF001,2024-01-18T21:50:30,-6,Discharge/Débit,,522.565,0.761,18.01,-0.423,-0.894,-0.0037,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Moderate Wind Swirling/Variable",Complete ice cover ,"Good mmt, some rocks on edges. Adjusted mmt times in eHSH to reflect actual time, incorrect in mmt summary.  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Stage stable. No change in WL. Reset. Unsure why MGH populates incorrectly, should be 522.565.  Mid-section",18.4,8.94,0.085,-20.0,,Provisional/Provisoire,3.81
05MF001,2024-01-18T20:40:00,-6,Stage/Niveau d'eau,522.565,,,,,,,,,GC: 0.000 HG: 522.580 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05MF001,2023-10-18T19:29:00,-6,Stage/Niveau d'eau,522.425,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05MF001,2023-10-18T19:06:00,-6,Discharge/Débit,,522.424,0.787,18.01,-0.279,-0.83169997,0.0033000002,"Measurement condition : Debris; Clear , No Precipitation , Light Wind Blowing Cross Stream",beaver debris d/s,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",12.0,3.52,0.223,15.0,9.0,Provisional/Provisoire,8.86
05MF001,2023-10-18T18:23:00,-6,Stage/Niveau d'eau,522.423,,,,,,,,,GC: 0.000 HG: 522.429 Purged  (PU),,,,,,Provisional/Provisoire,
05MF001,2023-08-29T19:50:00,-6,Stage/Niveau d'eau,522.278,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05MF001,2023-08-29T19:27:30,-6,Discharge/Débit,,522.279,0.236,18.01,-0.195,-0.9032,0.0082,"Measurement condition : Debris; Clear , No Precipitation , Very Light Wind Blowing Cross Stream",three beaver dams seen d/s,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",18.0,6.47,0.036,22.0,,Provisional/Provisoire,9.48
05MF001,2023-08-29T18:25:00,-6,Stage/Niveau d'eau,522.28,,,,,,,,,GC: 0.000 HG: 522.310 Purged  (PU),,,,,,Provisional/Provisoire,
05MF001,2023-07-28T18:15:00,-6,Stage/Niveau d'eau,522.252,,,,,,,,,HG: 522.252 Recovered (RC),,,,,,Provisional/Provisoire,
05MF001,2023-07-28T18:00:00,-6,Stage/Niveau d'eau,522.252,,,,,,,,,HG: 522.258 Reset (RS),,,,,,Provisional/Provisoire,
05MF001,2023-07-28T16:39:00,-6,Stage/Niveau d'eau,522.252,,,,,,,,,,,,,,,Provisional/Provisoire,
05MF001,2023-07-18T22:14:00,-6,Stage/Niveau d'eau,522.239,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05MF001,2023-07-18T21:51:00,-6,Discharge/Débit,,522.239,0.932,18.01,-0.08,-0.508,-0.0005,"Measurement condition : Debris; Cloudy , Moderate Rain , Moderate Wind Blowing Upstream",partial and remnant beaver dams found d/s,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",19.6,5.71,0.163,19.0,18.0,Provisional/Provisoire,13.9
05MF001,2023-07-18T20:46:00,-6,Stage/Niveau d'eau,522.237,,,,,,,,,GC: 0.000 HG: 522.267 Found (FD),,,,,,Provisional/Provisoire,
05MF001,2023-05-10T16:49:00,-6,Stage/Niveau d'eau,523.069,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05MF001,2023-05-10T16:20:00,-6,Discharge/Débit,,523.069,17.1,18.01,-0.0405,-0.053600002,0.0,"Measurement condition : Altered; Clear , No Precipitation , Calm Wind Blowing Cross Stream",Minimal beaver dam remnants causing slight backwater,"Wade downstream of old bridge, only performed 0.6 panels due to rocky bottom causing bad 0.2/0.8 data quality. Stage appears to be relatively stable. reset when new logger installed. Mid-section",22.0,21.1,0.812,17.0,13.3,Provisional/Provisoire,5.13
05MF001,2023-05-10T15:15:00,-6,Stage/Niveau d'eau,523.073,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05MF001,2023-05-10T14:15:00,-6,Stage/Niveau d'eau,523.071,,,,,,,,,GC: 0.000 HG: 523.061 Found (FD),,,,,,Provisional/Provisoire,
05MF001,2023-04-24T20:16:00,-6,Stage/Niveau d'eau,522.836,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
05MF001,2023-04-24T20:06:00,-6,Discharge/Débit,,522.831,11.2,18.01,-0.0651,-0.111,-0.0001,"Measurement condition : Clear;  ,  ,  ",channel is clear b b,ADCP by Moving Boat,23.6,37.7,0.297,3.0,3.0,Provisional/Provisoire,6.0
05MF001,2023-04-24T19:41:00,-6,Stage/Niveau d'eau,522.826,,,,,,,,,GC: 0.000 HG: 522.817 No Reset (NR),,,,,,Provisional/Provisoire,
