STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05MG003,H,2005,H,8.0,4,4,3,0,CST,2.186000108718872,,Maximum
05MG003,H,2006,H,8.0,4,4,7,25,CST,1.6330000162124634,,Maximum
05MG003,H,2007,H,8.0,3,27,7,0,CST,2.075000047683716,A,Maximum
05MG003,H,2009,H,8.0,4,10,16,5,CST,1.919999957084656,,Maximum
05MG003,H,2010,H,8.0,4,1,7,48,CST,1.562999963760376,,Maximum
05MG003,H,2011,H,8.0,4,12,23,50,CST,2.0989999771118164, ,Maximum
05MG003,H,2012,H,8.0,6,11,13,25,CST,1.4830000400543213,,Maximum
05MG003,H,2013,H,8.0,6,26,0,25,CST,2.371000051498413,,Maximum
05MG003,H,2014,H,8.0,6,30,9,35,CST,3.322999954223633,,Maximum
05MG003,H,2016,H,8.0,7,9,13,20,CST,1.4010000228881836,,Maximum
05MG003,H,2018,H,8.0,4,20,10,0,CST,1.4950000047683716, ,Maximum
05MG003,H,2019,H,8.0,3,27,4,10,CST,2.032999992370605, ,Maximum
05MG003,H,2021,H,8.0,6,15,10,20,CST,0.7519999742507935, ,Maximum
05MG003,H,2022,H,8.0,3,26,15,30,CST,1.968999981880188, ,Maximum
05MG003,Q,1982,H,,4,14,10,55,CST,6.269999980926514,,Maximum
05MG003,Q,1983,H,,4,11,12,4,CST,5.800000190734863,B,Maximum
05MG003,Q,1986,H,,3,26,6,32,CST,2.2100000381469727,B,Maximum
05MG003,Q,1987,H,,4,4,9,17,CST,5.71999979019165,B,Maximum
05MG003,Q,1988,H,,3,1,0,1,CST,0.0,B,Maximum
05MG003,Q,1990,H,,7,4,1,6,CST,2.900000095367432,,Maximum
05MG003,Q,1991,H,,5,8,12,52,CST,0.421999990940094,,Maximum
05MG003,Q,1991,L,,3,1,0,1,CST,0.0,B,Minimum
05MG003,Q,1992,H,,3,10,3,18,CST,2.640000104904175,B,Maximum
05MG003,Q,1992,L,,6,11,0,0,CST,0.0,,Minimum
05MG003,Q,1993,H,,7,5,3,43,CST,0.12099999934434892,,Maximum
05MG003,Q,1993,L,,3,1,0,0,CST,0.0,B,Minimum
05MG003,Q,1994,H,,3,20,14,44,CST,2.109999895095825,B,Maximum
05MG003,Q,1994,L,,3,1,0,1,CST,0.0,B,Minimum
05MG003,Q,1995,H,,4,16,9,22,CST,18.200000762939453,,Maximum
05MG003,Q,1995,L,,3,1,0,1,CST,0.0,B,Minimum
05MG003,Q,1996,H,,4,13,12,0,CST,16.700000762939453,,Maximum
05MG003,Q,1996,L,,3,1,0,1,CST,0.0,B,Minimum
05MG003,Q,2003,H,,3,26,12,0,CST,9.5600004196167, ,Maximum
05MG003,Q,2005,H,,4,4,3,0,CST,20.799999237060547, ,Maximum
05MG003,Q,2007,H,,3,27,7,0,CST,16.100000381469727,A,Maximum
05MG003,Q,2009,H,,4,10,16,5,CST,10.300000190734863,B,Maximum
05MG003,Q,2010,H,,4,1,7,48,CST,2.75,B,Maximum
05MG003,Q,2012,H,,6,11,12,40,CST,2.5199999809265137,,Maximum
05MG003,Q,2013,H,,6,26,0,25,CST,31.899999618530277,,Maximum
05MG003,Q,2016,H,,7,9,13,20,CST,3.400000095367432,,Maximum
05MG003,Q,2021,H,,6,15,10,20,CST,0.16300000250339508, ,Maximum
05MG003,Q,2022,H,,5,3,12,15,CST,12.899999618530272, ,Maximum
