STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05NF006,H,2012,H,8.0,6.0,13.0,4.0,10.0,CST,1.9490000009536743, ,Maximum
05NF006,H,2013,H,8.0,5.0,2.0,16.0,40.0,CST,3.065000057220459,,Maximum
05NF006,H,2014,H,8.0,,,,,CST,5.288000106811523, ,Maximum
05NF006,H,2015,H,8.0,3.0,15.0,21.0,20.0,CST,2.486999988555908,,Maximum
05NF006,H,2016,H,8.0,7.0,16.0,9.0,35.0,CST,1.7619999647140503,,Maximum
05NF006,H,2017,H,8.0,4.0,1.0,23.0,20.0,CST,3.4539999961853027,,Maximum
05NF006,H,2018,H,8.0,4.0,22.0,9.0,35.0,CST,2.309000015258789, ,Maximum
05NF006,H,2019,H,8.0,3.0,31.0,11.0,20.0,CST,2.150000095367432, ,Maximum
05NF006,H,2020,H,8.0,3.0,31.0,14.0,15.0,CST,2.115000009536743, ,Maximum
05NF006,H,2021,H,8.0,6.0,11.0,21.0,45.0,CST,1.6460000276565552, ,Maximum
05NF006,H,2021,L,8.0,12.0,31.0,21.0,0.0,CST,0.7480000257492065, ,Minimum
05NF006,H,2022,H,8.0,5.0,4.0,20.0,0.0,CST,2.2850000858306885, ,Maximum
05NF006,H,2022,L,8.0,2.0,3.0,6.0,5.0,CST,0.7129999995231628, ,Minimum
05NF006,H,2023,H,8.0,4.0,15.0,18.0,20.0,CST,2.5450000762939453, ,Maximum
05NF006,H,2023,L,8.0,3.0,8.0,17.0,50.0,CST,1.340999960899353, ,Minimum
05NF006,Q,1974,H,,4.0,17.0,17.0,29.0,CST,30.0,B,Maximum
05NF006,Q,1975,H,,4.0,30.0,0.0,34.0,CST,24.399999618530277,,Maximum
05NF006,Q,1976,H,,4.0,10.0,19.0,54.0,CST,49.79999923706055,,Maximum
05NF006,Q,1979,H,,4.0,20.0,23.0,36.0,CST,16.200000762939453,B,Maximum
05NF006,Q,1980,H,,4.0,6.0,0.0,10.0,CST,0.04399999976158142,B,Maximum
05NF006,Q,1982,H,,4.0,14.0,2.0,36.0,CST,21.799999237060547,B,Maximum
05NF006,Q,1983,H,,4.0,24.0,3.0,26.0,CST,5.570000171661377,,Maximum
05NF006,Q,1984,H,,3.0,23.0,17.0,51.0,CST,0.2709999978542328,B,Maximum
05NF006,Q,1985,H,,3.0,15.0,12.0,42.0,CST,6.489999771118164,B,Maximum
05NF006,Q,1986,H,,3.0,3.0,17.0,15.0,CST,4.179999828338623,B,Maximum
05NF006,Q,1987,H,,4.0,6.0,12.0,55.0,CST,7.130000114440918,,Maximum
05NF006,Q,1988,H,,5.0,3.0,11.0,35.0,CST,0.014000000432133676,,Maximum
