date,STATION_NUMBER,water_level_m,quality_symbol
2002-03-01,05OD001,240.3419952392578,
2002-04-01,05OD001,240.6320037841797,
2002-05-01,05OD001,241.0050048828125,
2002-06-01,05OD001,241.0189971923828,
2002-07-01,05OD001,244.03599548339844,
2002-08-01,05OD001,242.677001953125,
2002-09-01,05OD001,240.9040069580078,
2002-10-01,05OD001,240.33099365234372,
2003-03-01,05OD001,240.6419982910156,
2003-04-01,05OD001,241.48599243164065,
2003-05-01,05OD001,240.6719970703125,
2003-06-01,05OD001,240.9429931640625,
2003-07-01,05OD001,240.73199462890625,
2003-08-01,05OD001,240.1230010986328,
2003-09-01,05OD001,240.01800537109372,
2003-10-01,05OD001,240.82400512695312,
2004-03-01,05OD001,240.4929962158203,
2004-04-01,05OD001,242.88999938964844,
2004-05-01,05OD001,242.7270050048828,
2004-06-01,05OD001,244.1569976806641,
2004-07-01,05OD001,242.9069976806641,
2004-08-01,05OD001,240.3950042724609,
2004-09-01,05OD001,240.8809967041016,A
2004-10-01,05OD001,241.7989959716797,E
2005-03-01,05OD001,,
2005-04-01,05OD001,241.93099975585935,
2005-05-01,05OD001,242.65499877929688,
2005-06-01,05OD001,242.3179931640625,
2005-07-01,05OD001,244.1360015869141,
2005-08-01,05OD001,242.3300018310547,
2005-09-01,05OD001,240.7169952392578,
2005-10-01,05OD001,240.20399475097656,
2006-03-01,05OD001,241.0,A
2006-04-01,05OD001,242.1269989013672,
2006-05-01,05OD001,243.1840057373047,
2006-06-01,05OD001,241.1000061035156,E
2006-07-01,05OD001,240.2259979248047,
2006-08-01,05OD001,240.13400268554688,
2006-09-01,05OD001,240.35299682617188,A
2006-10-01,05OD001,240.20599365234372,
2007-03-01,05OD001,240.54299926757807,
2007-04-01,05OD001,242.21499633789065,
2007-05-01,05OD001,241.42599487304688,
2007-06-01,05OD001,242.1199951171875,
2007-07-01,05OD001,242.6150054931641,
2007-08-01,05OD001,240.67300415039065,A
2007-09-01,05OD001,240.1750030517578,
2007-10-01,05OD001,240.11099243164065,
2008-03-01,05OD001,240.6779937744141,A
2008-04-01,05OD001,240.81500244140625,
2008-05-01,05OD001,241.5469970703125,
2008-06-01,05OD001,241.24200439453125,
2008-07-01,05OD001,241.66099548339844,
2008-08-01,05OD001,240.7790069580078,
2008-09-01,05OD001,240.5379943847656,
2008-10-01,05OD001,240.61099243164065,
2009-03-01,05OD001,,
2009-04-01,05OD001,243.0890045166016,
2009-05-01,05OD001,243.7220001220703,
2009-06-01,05OD001,243.4250030517578,
2009-07-01,05OD001,243.14100646972656,
2009-08-01,05OD001,240.4069976806641,A
2009-09-01,05OD001,240.5679931640625,
2009-10-01,05OD001,240.2220001220703,A
2010-03-01,05OD001,240.66799926757807,
2010-04-01,05OD001,242.4340057373047,
2010-05-01,05OD001,240.8179931640625,
2010-06-01,05OD001,243.9770050048828,A
2010-07-01,05OD001,242.61199951171875,
2010-08-01,05OD001,240.83599853515625,
2010-09-01,05OD001,240.2449951171875,
2010-10-01,05OD001,241.98199462890625,A
2011-03-01,05OD001,,
2011-04-01,05OD001,241.822998046875,
2011-05-01,05OD001,243.44700622558597,
2011-06-01,05OD001,243.0039978027344,
2011-07-01,05OD001,241.85499572753903,
