STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05OE015,H,2002,H,8.0,6,15,8,25,CST,7.997000217437744, ,Maximum
05OE015,H,2003,H,8.0,5,19,12,40,CST,6.067999839782715, ,Maximum
05OE015,H,2004,H,8.0,3,28,22,15,CST,7.185999870300293,,Maximum
05OE015,H,2005,H,8.0,7,1,13,0,CST,7.269999980926514,,Maximum
05OE015,H,2006,H,8.0,4,1,23,5,CST,7.383999824523926,,Maximum
05OE015,H,2007,H,8.0,6,2,23,20,CST,6.317999839782715,,Maximum
05OE015,H,2008,H,8.0,4,24,23,0,CST,5.808000087738037,,Maximum
05OE015,H,2009,H,8.0,4,14,0,55,CST,6.85699987411499,,Maximum
05OE015,H,2010,H,8.0,5,30,18,40,CST,7.084000110626221,,Maximum
05OE015,H,2011,H,8.0,4,12,19,30,CST,6.934000015258789, ,Maximum
05OE015,H,2012,H,8.0,3,13,22,50,CST,5.835999965667725,,Maximum
05OE015,H,2013,H,8.0,6,2,11,50,CST,6.313000202178955,,Maximum
05OE015,H,2014,H,8.0,7,1,6,46,CST,6.75,,Maximum
05OE015,H,2015,H,8.0,9,6,14,26,CST,6.544000148773193,,Maximum
05OE015,H,2016,H,8.0,3,15,13,16,CST,7.010000228881836,,Maximum
05OE015,H,2017,H,8.0,3,30,14,26,CST,7.102000236511231, ,Maximum
05OE015,H,2018,H,8.0,6,16,6,46,CST,5.52400016784668, ,Maximum
05OE015,H,2019,H,8.0,10,13,4,6,CST,7.01800012588501, ,Maximum
05OE015,H,2020,H,8.0,6,14,14,26,CST,7.276999950408935, ,Maximum
05OE015,H,2021,H,8.0,6,9,19,5,CST,5.659999847412109, ,Maximum
05OE015,H,2022,H,8.0,5,1,1,35,CST,7.129000186920166, ,Maximum
05OE015,H,2023,H,8.0,4,15,7,25,CST,6.73799991607666, ,Maximum
05OE015,Q,2002,H,,6,15,8,25,CST,80.0999984741211, ,Maximum
05OE015,Q,2005,H,,7,1,13,0,CST,25.200000762939453, ,Maximum
05OE015,Q,2006,H,,4,4,8,0,CST,25.200000762939453,B,Maximum
05OE015,Q,2007,H,,6,2,23,20,CST,6.860000133514404, ,Maximum
05OE015,Q,2008,H,,4,24,23,0,CST,3.990000009536743, ,Maximum
05OE015,Q,2009,H,,4,14,0,55,CST,17.0, ,Maximum
05OE015,Q,2010,H,,5,30,18,40,CST,23.0, ,Maximum
05OE015,Q,2011,H,,4,12,19,30,CST,19.700000762939453, ,Maximum
05OE015,Q,2013,H,,6,2,11,50,CST,7.75,,Maximum
05OE015,Q,2014,H,,7,1,6,46,CST,9.609999656677246,,Maximum
05OE015,Q,2015,H,,9,6,12,21,CST,10.800000190734863,,Maximum
05OE015,Q,2017,H,,3,31,1,11,CST,23.100000381469727, ,Maximum
05OE015,Q,2018,H,,10,30,19,41,CST,0.5249999761581421, ,Maximum
05OE015,Q,2019,H,,10,13,4,6,CST,18.200000762939453, ,Maximum
05OE015,Q,2020,H,,6,14,20,16,CST,18.100000381469727, ,Maximum
05OE015,Q,2021,H,,6,9,19,5,CST,1.4700000286102295, ,Maximum
05OE015,Q,2022,H,,5,1,1,35,CST,22.5, ,Maximum
05OE015,Q,2023,H,,4,15,7,25,CST,12.899999618530272, ,Maximum
