Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05OF017,2024-06-11T16:35:00,-6,Stage/Niveau d'eau,307.297,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
05OF017,2024-06-11T16:13:30,-6,Discharge/Débit,,307.297,0.063,19.0,-0.00536,-0.0917,-0.0064999997,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Heavy Wind ","WEIR CLEAR, SCOURED UNDER WEIR, WATER FLOWING UNDERNEATH NOW, SOME FALLEN TREES DS OF WEIR IN CHANNEL","WADE DS OF WEIR STABLE, PURGED, BUBBLES CLEAR, RESET. Mid-section",3.3,0.367,0.171,17.0,,Provisional/Provisoire,11.0
05OF017,2024-06-11T15:50:00,-6,Stage/Niveau d'eau,307.297,,,,,,,,,GC: 0.000 HG: 307.311 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05OF017,2024-04-17T16:05:00,-6,Stage/Niveau d'eau,307.42,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05OF017,2024-04-17T15:43:00,-6,Discharge/Débit,,307.414,0.271,19.0,-0.00418,-0.0355,-0.0355,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Swirling/Variable",Control clear. Some fallen trees in channel D/S of wier. Observed minor flow coming from underneath the wier,Wade D/S of Wier.   Stage stable. No reset. Stage rising.  Mid-section,3.55,0.941,0.289,4.0,,Provisional/Provisoire,5.3
05OF017,2024-04-17T15:20:00,-6,Stage/Niveau d'eau,307.406,,,,,,,,,GC: 0.000 HG: 307.408 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
05OF017,2024-04-10T22:55:30,-6,Discharge/Débit,,307.413,0.251,19.0,-0.0118,-0.099,0.0019,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream","control flowing clear but some ice left in gage pool, see pics",wade below contol stage stable Mid-section,3.4,0.876,0.287,15.0,1.7,Provisional/Provisoire,5.4
05OF017,2024-04-10T22:30:00,-6,Stage/Niveau d'eau,307.413,,,,,,,,,GC: 0.000 HG: 307.437 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
05OF017,2024-04-06T16:05:00,-6,Stage/Niveau d'eau,307.626,,,,,,,,,GC: 0.000 HG: 307.610 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05OF017,2024-03-26T21:10:30,-6,Discharge/Débit,,307.29,0.023,19.0,-0.0413,-0.62509996,-0.0094,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Very Heavy Wind Blowing Cross Stream",BRIDGED ICE AT WEIR. CIC UP AND DOWNSTREAM,"CHIPPED OPEN WADING SECTION AT WEIR. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ STAGE STABLE. WL RISE FROM CHIPPING OPEN WADING SECTION AT WEIR, SLIGHT INCREASE IN BW. WAITED FOR WL TO STABILIZE AFTER MSMT BEFORE RESETTING WL. Mid-section",1.8,0.62,0.037,-5.0,0.1,Provisional/Provisoire,5.45
05OF017,2024-03-26T20:25:00,-6,Stage/Niveau d'eau,307.292,,,,,,,,,GC: 0.000 HG: 307.269 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05OF017,2024-03-26T19:35:00,-6,Stage/Niveau d'eau,307.288,,,,,,,,,GC: 0.000 HG: 307.272 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05OF017,2023-10-11T16:32:00,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow; Cloudy , No Precipitation , Calm Wind Swirling/Variable",,No Flow. Channel dry.,,,,7.0,,Final/Finales,
05OF017,2023-09-06T16:16:30,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable",,Channel dry. No flow.,,,,,,Final/Finales,
05OF017,2023-07-25T15:40:00,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow;  ,  ,  ",,No flow. Channel dry.,,,,,,Final/Finales,
05OF017,2023-06-06T18:20:00,-6,Stage/Niveau d'eau,307.284,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05OF017,2023-06-06T18:00:30,-6,Discharge/Débit,,307.284,0.054,19.0,-0.000451,-0.0089,-0.0089,"Measurement condition : Clear; Smokey , No Precipitation , Calm Wind Swirling/Variable",,"Wade D/S of wier.  Stage stable. Reset. Likely debris on line during the month of May, large rain event in June possibly cleared line and stage stabilized. No change in WL. Mid-section",3.0,0.456,0.118,,,Final/Finales,11.2
05OF017,2023-06-06T17:20:00,-6,Stage/Niveau d'eau,307.284,,,,,,,,,GC: 0.000 HG: 307.265 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD) Full levels completed RR1 = 1.324 @ 11:20 CST RR2 = 1.324 @ 12:20 CST,,,,,,Final/Finales,
05OF017,2023-04-13T19:10:00,-6,Stage/Niveau d'eau,308.218,,,,,,,,,GC: 0.000 HG: 308.217,,,,,,Final/Finales,
05OF017,2023-04-13T18:58:30,-6,Discharge/Débit,,308.214,8.93,19.0,0.0177,0.0177,0.0177,"Measurement condition : ;  ,  ,  ",clear at weir,measured near gauge upstream of weir. Weir is clear water level changing raapidly up and down at times. Debris on bridge upstream of gauge. ADCP by Moving Boat,7.09,9.78,0.914,5.0,1.0,Final/Finales,6.8
05OF017,2023-04-13T18:30:00,-6,Stage/Niveau d'eau,308.21,,,,,,,,,GC: 0.000 HG: 308.211 Reset (RS),,,,,,Final/Finales,
05OF017,2023-04-13T18:15:00,-6,Stage/Niveau d'eau,308.25,,,,,,,,,GC: 0.000 HG: 308.533,,,,,,Final/Finales,
05OF017,2023-02-22T16:43:00,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow; Clear , No Precipitation , Moderate Wind Swirling/Variable",,NO FLOW. CHANNEL DRY. ,,,,-29.0,,Final/Finales,
05OF017,2022-10-18T19:22:00,-6,Discharge/Débit,,,0.0,,,,,"Measurement condition : No Flow;  ,  ,  ",DRY. NO FLOW.,,,,,1.0,,Final/Finales,
05OF017,2022-08-30T17:35:00,-6,Stage/Niveau d'eau,306.921,,,,,,,,,GC: 0.000 HG: 306.920 Reset (RS),,,,,,Final/Finales,
05OF017,2022-08-30T17:05:00,-6,Stage/Niveau d'eau,306.921,,,,,,,,,GC: 0.000 Found (FD),,,,,,Final/Finales,
05OF017,2022-07-26T19:00:00,-6,Stage/Niveau d'eau,307.255,,,,,,,,,GC: 0.000 HG: 307.259 DWL,,,,,,Final/Finales,
05OF017,2022-07-26T18:45:00,-6,Discharge/Débit,,307.255,0.02,18.0,-0.0106,-0.2748,0.00090000004,"Measurement condition : Debris; Clear , No Precipitation , Very Light Wind Swirling/Variable",LOGS ON U/S BRIDGE PIER.,STAGE IS STABLE.  Mid-section,3.0,0.385,0.052,24.0,,Final/Finales,9.49
05OF017,2022-07-26T18:10:00,-6,Stage/Niveau d'eau,307.255,,,,,,,,,GC: 0.000 HG: 307.260 Found (FD),,,,,,Final/Finales,
05OF017,2022-05-19T18:55:00,-6,Stage/Niveau d'eau,307.462,,,,,,,,,GC: 0.000 DWL,,,,,,Final/Finales,
05OF017,2022-05-19T18:33:30,-6,Discharge/Débit,,307.462,0.412,18.0,0.00131,0.0093,0.0093,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Very Light Wind ",CONTROL CLEAR. LOTS OF DEBRIS CAUGHT ON U/S BRIDGE PIER,STAGE STABLE. Mid-section,4.4,1.49,0.277,10.0,,Final/Finales,4.63
05OF017,2022-05-19T17:55:00,-6,Stage/Niveau d'eau,307.462,,,,,,,,,GC: 0.000 HG: 307.512 Found (FD),,,,,,Final/Finales,
05OF017,2022-05-01T16:45:00,-6,Stage/Niveau d'eau,308.78,,,,,,,,,GC: 0.000 HG: 308.790 DWL,,,,,,Final/Finales,
05OF017,2022-05-01T16:28:30,-6,Discharge/Débit,,308.826,13.0,18.0,-0.17,-0.1223,0.0084,"Measurement condition : Debris; Cloudy , Light Rain , Heavy Wind Blowing Cross Stream",BANKS FULL. D/S WEIR COMPLETELY SUBMERGED. DEBRIS CAUGHT ON U/S BRIDGE PIER,STAGE DROPPING. NO RESET ADCP by Moving Boat,18.7,35.8,0.368,3.0,,Final/Finales,25.8
05OF017,2022-05-01T15:40:00,-6,Stage/Niveau d'eau,308.872,,,,,,,,,GC: 0.000 HG: 308.864 Found (FD),,,,,,Final/Finales,
05OF017,2022-04-27T00:20:00,-6,Stage/Niveau d'eau,308.606,,,,,,,,,GC: 0.000 HG: 308.616 No Reset (NR),,,,,,Final/Finales,
05OF017,2022-04-27T00:01:30,-6,Discharge/Débit,,308.569,10.4,18.0,-0.176,-0.141,0.0041,"Measurement condition : Debris; Partly Cloudy , No Precipitation , Moderate Wind ",DEBRIS IN CHANNEL,ADCP by Moving Boat,7.68,12.0,0.864,1.0,2.0,Final/Finales,5.2
05OF017,2022-04-26T23:00:00,-6,Stage/Niveau d'eau,308.446,,,,,,,,,GC: 0.000 HG: 308.455 No Reset (NR),,,,,,Final/Finales,
05OF017,2022-04-05T18:15:00,-6,Stage/Niveau d'eau,307.853,,,,,,,,,GC: 0.000 HG: 307.853 Reset (RS),,,,,,Final/Finales,
