Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05PA006,2024-05-01T18:10:00,-5,Stage/Niveau d'eau,360.769,,,,,,,,,HG: 360.779 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
05PA006,2024-05-01T17:25:00,-5,Discharge/Débit,,360.774,71.7,12.0,-0.0093,-0.0171,-0.0171,"Measurement condition : Clear; Cloudy , Light Rain , Light Wind Blowing Upstream",CONTROL WAS CLEAR,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",128.0,320.0,0.225,5.0,7.0,Provisional/Provisoire,7.6
05PA006,2024-03-18T19:00:00,-5,Stage/Niveau d'eau,360.489,,,,,,,,,HG: 360.488 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
05PA006,2023-10-18T17:38:00,-5,Stage/Niveau d'eau,360.316,,,,,,,,,HG: 360.323 Reset (RS),,,,,,Final/Finales,
05PA006,2023-10-18T16:16:00,-5,Discharge/Débit,,360.317,27.3,12.0,-0.0198,-0.040900003,-0.040900003,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Downstream",EXTREME LOW WATER,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",188.0,277.0,0.099,10.0,13.5,Final/Finales,6.6
05PA006,2023-09-12T23:34:00,-5,Stage/Niveau d'eau,360.469,,,,,,,,,GC: 0.000 HG: 360.472 No Reset (NR),,,,,,Final/Finales,
05PA006,2023-09-12T22:18:30,-5,Discharge/Débit,,360.469,38.7,12.0,0.0119,0.020499999,0.020499999,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Upstream",Appears clear,Taken 2 miles down lake from gauge about 1/4 mile down from native village where channel narrows ADCP by Moving Boat,136.0,310.0,0.125,15.6,17.6,Final/Finales,3.7
05PA006,2023-09-12T21:15:00,-5,Stage/Niveau d'eau,360.469,,,,,,,,,GC: 0.000 HG: 360.472 No Reset (NR),,,,,,Final/Finales,
05PA006,2023-05-11T12:49:00,-5,Stage/Niveau d'eau,362.455,,,,,,,,,HG: 362.451 Reset (RS),,,,,,Final/Finales,
05PA006,2023-05-11T12:42:00,-5,Stage/Niveau d'eau,362.454,,,,,,,,,,,,,,,Final/Finales,
05PA006,2023-05-10T18:35:00,-5,Stage/Niveau d'eau,362.411,,,,,,,,,WL Source: HG GC: 0.000,,,,,,Final/Finales,
05PA006,2023-05-10T18:24:00,-5,Discharge/Débit,,362.42,414.0,12.0,-0.0223,-0.0004,-0.0004,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind ",,"RFT NOTE - OVERFLOW M2 ADDED  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",147.0,520.0,0.786,20.0,5.0,Final/Finales,3.6
05PA006,2023-05-10T18:15:00,-5,Stage/Niveau d'eau,362.419,,,,,,,,,WL Source: HG GC: 0.000,,,,,,Final/Finales,
05PA006,2023-03-20T19:39:00,-5,Stage/Niveau d'eau,360.679,,,,,,,,,HG: 360.674 Reset (RS),,,,,,Final/Finales,
05PA006,2023-03-20T19:36:00,-5,Stage/Niveau d'eau,360.68,,,,,,,,,,,,,,,Final/Finales,
05PA006,2022-10-05T17:56:00,-5,Stage/Niveau d'eau,360.764,,,,,,,,,HG: 360.778,,,,,,Final/Finales,
05PA006,2022-10-05T16:10:30,-5,Discharge/Débit,,360.766,74.6,12.0,0.0203,0.0379,0.0379,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Blowing Cross Stream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",137.0,328.0,0.229,18.0,16.0,Final/Finales,17.0
05PA006,2022-06-07T21:56:00,-5,Stage/Niveau d'eau,363.248,,,,,,,,,HG: 363.240 Reset (RS),,,,,,Final/Finales,
05PA006,2022-06-07T18:09:00,-5,Discharge/Débit,,363.264,641.0,12.0,-0.181,-0.0428,-0.0428,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Cross Stream","HIGH WATER, OVERFLOW AT PORTAGE, ADD IN 30.3CMS TO TOTAL OUTFLOW FOR 641CMS.",ADCP by Moving Boat,193.0,936.0,0.653,20.0,13.0,Final/Finales,4.6
05PA006,2022-05-18T17:58:00,-5,Discharge/Débit,,363.305,667.0,12.0,-0.157,-0.024400001,-0.024400001,"Measurement condition : Clear; Cloudy , Light Rain , Light Wind Blowing Downstream",Some debris floating in lake,Resort owner at Campbell's cabins showed pictures and video of the additional outflow through Beatty's Portage from the day before Lake was calm.  Resort owner said there was still ice on the lake the previous Thursday ADCP by Moving Boat,175.0,896.0,0.705,12.0,7.0,Final/Finales,4.4
05PA006,2022-05-18T16:08:00,-5,Stage/Niveau d'eau,363.304,,,,,,,,,HG: 363.302 No Reset (NR),,,,,,Final/Finales,
05PA006,2022-03-07T21:21:00,-5,Stage/Niveau d'eau,360.493,,,,,,,,,HG: 360.491 SRC: 0.002 No Reset (NR),,,,,,Final/Finales,
05PA006,2021-10-20T18:03:00,-5,Stage/Niveau d'eau,360.199,,,,,,,,,HG: 360.206 SRC: -0.007,,,,,,Final/Finales,
05PA006,2021-10-20T16:32:30,-5,Discharge/Débit,,360.198,20.1,12.0,-0.0305,-0.0749,-0.0234,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Swirling/Variable",ROCK ISLAND OUT OF WATER DURING MMT,Corrected M.G.H. includes Sensor Reset Correction of -0.007 and Gage Correction of 0.000 applied to Weighted M.G.H of 360.205 ADCP by Moving Boat,132.0,247.0,0.082,4.0,12.9,Final/Finales,26.4
05PA006,2021-06-02T22:33:30,-5,Discharge/Débit,,361.179,139.0,12.0,0.0214,0.0275,0.0016,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Moderate Wind Blowing Downstream",clear,ADCP by Moving Boat,136.0,372.0,0.372,26.0,17.6,Final/Finales,6.2
