Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05QA004,CopyPaste,HG,2023-09-14T19:26:55,2023-09-14T19:35:11,2023-09-18T15:18:34,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,Offset,HG,2023-03-21T13:45:00,2023-03-21T13:55:00,2023-03-24T14:46:11,-5,SRC DUE TO LOGGER MALFUNCTION,Offset:27.188,Normal
05QA004,CopyPaste,HG,2022-10-22T11:25:00,2023-03-21T12:55:01,2023-03-24T14:35:01,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2022-09-28T15:25:00,2022-09-28T16:20:00,2023-03-24T14:39:31,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2022-09-09T13:45:00,2022-09-09T17:20:00,2022-09-20T18:24:32,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2022-07-29T07:55:00,2022-07-31T19:00:00,2022-09-20T18:23:35,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2022-06-26T03:40:00,2022-07-07T12:40:00,2022-09-20T18:19:21,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,Drift,HG,2022-05-21T21:10:00,2022-09-15T22:30:00,2022-09-20T18:25:45,-5,SRC: Drift of -.007m applied visit to visit,"DriftPoints:(Offset:0,Time:2022-05-21T21:10:00Z);(Offset:-0.007,Time:2022-09-15T22:30:00Z)",Normal
05QA004,Drift,HG,2022-03-08T18:45:00,2022-05-21T17:00:00,2022-05-22T11:23:29,-5,SRC: Drift of +.011m applied visit to visit,"DriftPoints:(Offset:0,Time:2022-03-08T18:45:00Z);(Offset:0.011,Time:2022-05-21T17:00:00Z)",Normal
05QA004,DeleteRegion,HG,2022-03-08T18:40:00,2022-03-08T18:40:00,2022-03-09T18:08:13,-5,DISREGARD - onsite maintenance,,Normal
05QA004,DeleteRegion,HG,2022-02-05T22:45:00,2022-02-05T22:45:00,2022-03-09T18:07:43,-5,DISREGARD - telemetry spike,,Normal
05QA004,CopyPaste,HG,2021-11-19T18:05:00,2021-11-19T20:40:00,2022-03-09T18:15:23,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2021-11-04T06:20:00,2021-11-04T06:50:00,2022-03-09T18:13:23,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,Drift,HG,2021-09-16T19:50:00,2022-03-08T18:25:00,2022-03-09T18:09:30,-5,SRC: Drift of -.008m applied visit to visit,"DriftPoints:(Offset:0,Time:2021-09-16T19:50:00Z);(Offset:-0.008,Time:2022-03-08T18:25:00Z)",Normal
05QA004,DeleteRegion,HG,2021-08-07T05:25:00,2021-08-07T05:25:00,2021-08-13T16:01:54,-5,DISREGARD - telemetry spike,,Normal
05QA004,Drift,HG,2021-06-23T21:00:00,2021-09-16T19:45:00,2021-10-06T20:10:45,-5,SENSOR RESET CORRECTION: +.007m applied visit to visit,"DriftPoints:(Offset:0,Time:2021-06-23T21:00:00Z);(Offset:0.007,Time:2021-09-16T19:45:00Z)",Normal
05QA004,CopyPaste,HG,2021-03-09T17:05:00,2021-03-09T18:30:00,2021-04-19T17:24:56,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2021-03-09T14:55:00,2021-03-09T19:20:00,2021-05-03T13:56:38,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-02-02T10:20:00,2021-02-02T14:40:00,2021-05-03T13:54:31,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-02-01T21:45:00,2021-02-02T01:50:00,2021-05-03T13:53:52,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-01-27T09:05:00,2021-01-27T12:45:00,2021-05-03T13:53:21,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-01-26T14:55:00,2021-01-26T21:40:00,2021-05-03T13:53:02,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-01-23T23:15:00,2021-01-24T00:45:00,2021-04-19T16:45:25,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2021-01-23T23:10:00,2021-01-24T00:35:00,2021-04-19T17:21:42,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2021-01-23T22:20:00,2021-01-24T02:05:00,2021-05-03T13:48:49,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
05QA004,CopyPaste,HG,2021-01-18T23:25:00,2021-01-19T13:05:00,2021-04-19T15:59:43,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@05QA004, time shift: 00:00 minutes.‌",,PreProcessing
05QA004,CopyPaste,HG,2021-01-18T21:55:00,2021-01-19T14:35:00,2021-05-03T13:49:22,-5,Copy and Paste from Stage.Logger@05QA004,,PreProcessing
