Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05QC006,Offset,HG,2024-01-16T16:15:00,2024-01-16T16:35:00,2024-01-17T18:03:28,-5,"SRC (-0.022m) PURGE AND RECOVERED, NO RESET",Offset:-0.022,Normal
05QC006,Drift,HG,2023-09-19T19:28:00,2024-01-16T16:10:00,2024-01-17T18:02:13,-5,EST SRC (0.000 TO -0.009m) JUMP IN STAGE JUST BEFORE VISIT,"DriftPoints:(Offset:0,Time:2023-09-19T19:28:00Z);(Offset:-0.009,Time:2024-01-16T16:10:00Z)",Normal
05QC006,AdjustableTrim,HG,2023-04-21T10:35:00,2023-04-21T15:45:00,2023-04-22T13:02:04,-5,SPIKES,"UpperThresholdPoints:(Time:2023-04-21T10:35:00Z,Value:29.12574989524125);(Time:2023-04-21T12:32:07.659Z,Value:29.128809376626975);(Time:2023-04-21T14:09:15.874Z,Value:29.127315848223684);(Time:2023-04-21T15:45:00Z,Value:29.134949437840515),TrimAction:Delete",Normal
05QC006,AdjustableTrim,HG,2023-04-18T05:00:00,2023-04-18T06:15:00,2023-04-18T14:12:53,-5,"TRIM SPIKES, ICE/SLUSH","UpperThresholdPoints:(Time:2023-04-18T05:00:00Z,Value:29.08576161062743);(Time:2023-04-18T05:29:04.697Z,Value:29.076540885189992);(Time:2023-04-18T06:15:00Z,Value:29.08576161062743),TrimAction:Delete",Normal
05QC006,AdjustableTrim,HG,2023-04-17T12:30:00,2023-04-17T14:55:00,2023-04-17T16:34:36,-5,"TRIM SPIKES, ICE/SLUSH","UpperThresholdPoints:(Time:2023-04-17T12:30:00Z,Value:29.10529600974424);(Time:2023-04-17T13:42:27.215Z,Value:29.086803410077806);(Time:2023-04-17T14:55:00Z,Value:29.085187551854524),TrimAction:Delete",Normal
05QC006,AdjustableTrim,HG,2023-04-16T00:10:00,2023-04-16T17:10:00,2023-04-17T16:08:00,-5,TRIM SPIKES,"UpperThresholdPoints:(Time:2023-04-16T00:10:00Z,Value:29.1147712052437);(Time:2023-04-16T02:00:51.823Z,Value:29.114152497002433);(Time:2023-04-16T03:41:18.178Z,Value:29.115389913484968);(Time:2023-04-16T05:28:22.501Z,Value:29.123226884541015);(Time:2023-04-16T07:21:07.938Z,Value:29.129826439114535);(Time:2023-04-16T09:10:05.965Z,Value:29.130857619516647);(Time:2023-04-16T10:56:13.436Z,Value:29.134157396803403);(Time:2023-04-16T12:58:27.397Z,Value:29.130857619516647);(Time:2023-04-16T14:25:37.819Z,Value:29.117039802128346);(Time:2023-04-16T15:35:44.897Z,Value:29.1147712052437);(Time:2023-04-16T17:10:00Z,Value:29.12157699589764),TrimAction:Delete",Normal
05QC006,Drift,HG,2023-04-04T19:35:00,2023-05-09T12:45:00,2023-05-09T16:31:41,-5,SRC Reset May 9 ,"DriftPoints:(Offset:0,Time:2023-04-04T19:35:00Z);(Offset:-0.009,Time:2023-05-09T12:45:00Z)",Normal
05QC006,DeleteRegion,HG,2023-01-29T05:30:00,2023-02-09T14:30:00,2023-01-31T14:49:59,-5,"DELETE REGION, SENSOR FAILURE",,Normal
05QC006,DeleteRegion,HG,2023-01-29T05:25:00,2023-04-04T19:30:00,2023-02-20T16:00:05,-5,DATA INVALID,,Normal
05QC006,Drift,HG,2023-01-24T16:35:00,2023-01-29T05:20:00,2023-01-25T20:50:39,-5,SRC from Jan 24 applied to end of valid data,"DriftPoints:(Offset:0.005,Time:2023-01-24T16:35:00Z);(Offset:0.005,Time:2023-01-29T05:20:00Z)",Normal
