Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05QE008,2024-05-16T18:19:00,-5,Stage/Niveau d'eau,28.471,,,,,,,,,GC: 0.000 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
05QE008,2024-05-16T18:06:00,-5,Discharge/Débit,,28.471,8.66,14.01,-0.0626,-0.12550001,-0.031600002,"Measurement condition : Clear; Cloudy , Light Rain , Light Wind Blowing Downstream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ stage fairly stable. ADCP by Moving Boat",11.6,15.8,0.547,8.0,12.0,Provisional/Provisoire,7.1
05QE008,2024-05-16T16:45:00,-5,Stage/Niveau d'eau,28.471,,,,,,,,,GC: 0.000 HG: 28.467 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2024-04-11T19:42:00,-5,Stage/Niveau d'eau,28.253,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05QE008,2024-04-11T19:15:30,-5,Discharge/Débit,,28.253,5.14,14.01,-0.0475,-0.1279,0.0014,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ stage fairly stable.  ice in channel gone.  some lake ice present upstream  ADCP by Moving Boat",31.6,50.1,0.103,9.0,4.5,Provisional/Provisoire,5.8
05QE008,2024-04-11T18:27:00,-5,Stage/Niveau d'eau,28.252,,,,,,,,,GC: 0.000 HG: 28.508 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2024-01-18T18:58:00,-5,Stage/Niveau d'eau,28.113,,,,,,,,,GC: 0.000 DWL,,,,,,Provisional/Provisoire,
05QE008,2024-01-18T18:01:00,-5,Discharge/Débit,,28.113,3.13,14.01,-0.0518,-0.1769,0.0008,"Measurement condition : Altered; Clear , No Precipitation , Light Wind ",some ice along edges at control ,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",10.5,6.12,0.512,-25.0,,Provisional/Provisoire,4.82
05QE008,2024-01-18T16:55:00,-5,Stage/Niveau d'eau,28.113,,,,,,,,,GC: 0.000 HG: 27.124 Maintenance (MT),,,,,,Provisional/Provisoire,
05QE008,2023-12-13T18:20:00,-5,Stage/Niveau d'eau,28.114,,,,,,,,,GC: 0.000 HG: 27.650,,,,,,Provisional/Provisoire,
05QE008,2023-10-12T19:40:00,-5,Stage/Niveau d'eau,28.21,,,,,,,,,GC: 0.000 HG: 28.209 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
05QE008,2023-10-12T19:10:00,-5,Stage/Niveau d'eau,28.21,,,,,,,,,GC: 0.000 HG: 28.210 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2023-09-20T15:29:00,-5,Stage/Niveau d'eau,28.161,,,,,,,,,GC: 0.000 HG: 28.161 No Reset (NR),,,,,,Provisional/Provisoire,
05QE008,2023-09-20T15:05:00,-5,Discharge/Débit,,28.162,3.5,14.01,-0.0718,-0.2204,0.00090000004,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Swirling/Variable",CLEAR,"WADING MEASUREMENT BELOW GAUGE UNDER BRIDGE .2/.6/.8 SUSPECT BRIDGE GOT UNDERCUT BY HIGHWATER IN THE ALST COUPLE OF YEARS.   @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.6,8.5,0.412,17.0,16.3,Provisional/Provisoire,5.53
05QE008,2023-09-20T14:10:00,-5,Stage/Niveau d'eau,28.162,,,,,,,,,GC: 0.000 HG: 28.162 No Reset (NR),,,,,,Provisional/Provisoire,
05QE008,2023-05-09T18:50:00,-5,Stage/Niveau d'eau,28.4,,,,,,,,,GC: 0.000 HG: 28.401 No Reset (NR),,,,,,Provisional/Provisoire,
05QE008,2023-05-09T18:37:00,-5,Discharge/Débit,,28.401,7.78,14.01,-0.0393,-0.0866,-0.0008,"Measurement condition : ; Cloudy , Light Rain , Light Wind Swirling/Variable",CLEAR,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",11.0,11.3,0.69,16.9,10.4,Provisional/Provisoire,5.4
05QE008,2023-05-09T17:34:00,-5,Stage/Niveau d'eau,28.401,,,,,,,,,GC: 0.000 HG: 28.401 Reset (RS),,,,,,Provisional/Provisoire,
05QE008,2023-05-09T17:30:00,-5,Stage/Niveau d'eau,28.401,,,,,,,,,GC: 0.000 HG: 28.469 Maintenance (MT),,,,,,Provisional/Provisoire,
05QE008,2023-05-09T17:23:00,-5,Stage/Niveau d'eau,28.402,,,,,,,,,GC: 0.000 HG: 28.402 Reset (RS),,,,,,Provisional/Provisoire,
05QE008,2023-05-09T17:15:00,-5,Stage/Niveau d'eau,28.402,,,,,,,,,GC: 0.000 HG: 28.396 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2023-01-26T19:20:00,-5,Stage/Niveau d'eau,28.267,,,,,,,,,GC: 0.000 HG: 28.270 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2023-01-26T18:53:30,-5,Discharge/Débit,,28.267,5.29,14.01,0.052,-0.1362,-0.0001,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind ",Ice cover at gauge. Control open under bridge..,Open water Riverray mmt US of bridge. Measured shift won't populated in note.  Once batteries were replaced water level returned to 28.2880m. Orifice purged then logger reset. Water level bouncing ~0.008m after reset. ADCP by Moving Boat,10.4,12.3,0.43,-15.0,1.0,Provisional/Provisoire,7.1
05QE008,2023-01-26T18:30:00,-5,Stage/Niveau d'eau,28.267,,,,,,,,,GC: 0.000 HG: 28.270 Found (FD),,,,,,Provisional/Provisoire,
05QE008,2023-01-26T18:10:00,-5,Stage/Niveau d'eau,28.267,,,,,,,,,GC: 0.000 HG: 28.288 Reset (RS),,,,,,Provisional/Provisoire,
05QE008,2022-10-04T20:01:00,-5,Stage/Niveau d'eau,28.708,,,,,,,,,GC: 0.000 HG: 28.709 DWL,,,,,,Provisional/Provisoire,
05QE008,2022-10-04T19:44:00,-5,Discharge/Débit,,28.708,14.5,14.01,-0.0324,-0.0521,-0.0007,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable",CLEAR,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",12.3,15.0,0.969,22.8,14.1,Provisional/Provisoire,4.9
05QE008,2022-10-04T19:15:00,-5,Stage/Niveau d'eau,28.708,,,,,,,,,GC: 0.000 HG: 28.708 Reset (RS),,,,,,Provisional/Provisoire,
