STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05RB003,H,2002,H,8.0,5,27,11,2,CST,30.57999992370605, ,Maximum
05RB003,H,2002,L,8.0,3,7,9,55,CST,28.643999099731445, ,Minimum
05RB003,H,2003,H,8.0,4,27,14,57,CST,29.479999542236328, ,Maximum
05RB003,H,2003,L,8.0,4,7,11,5,CST,28.733999252319336, ,Minimum
05RB003,H,2004,H,8.0,4,28,12,12,CST,31.434999465942383,,Maximum
05RB003,H,2004,L,8.0,3,12,5,59,CST,28.875,,Minimum
05RB003,H,2005,H,8.0,7,18,11,45,CST,32.10499954223633,,Maximum
05RB003,H,2006,H,8.0,6,1,18,40,CST,31.347000122070312,,Maximum
05RB003,H,2006,L,8.0,10,10,8,40,CST,28.67200088500977,,Minimum
05RB003,H,2007,H,8.0,6,29,10,31,CST,31.072999954223636,,Maximum
05RB003,H,2007,L,8.0,3,24,15,16,CST,28.82900047302246,,Minimum
05RB003,H,2008,H,8.0,9,6,10,15,CST,31.926000595092773,,Maximum
05RB003,H,2008,L,8.0,4,8,22,56,CST,28.92200088500977,,Minimum
05RB003,H,2009,H,8.0,8,21,18,45,CST,32.22600173950195,,Maximum
05RB003,H,2009,L,8.0,4,7,11,45,CST,28.85300064086914,,Minimum
05RB003,H,2010,H,8.0,7,5,6,55,CST,32.73199844360352,,Maximum
05RB003,H,2010,L,8.0,3,10,23,45,CST,28.7810001373291,,Minimum
05RB003,H,2011,H,8.0,6,5,0,50,CST,31.208999633789062, ,Maximum
05RB003,H,2011,L,8.0,12,31,7,35,CST,28.38599967956543, ,Minimum
05RB003,H,2012,H,8.0,7,5,13,50,CST,30.59600067138672,,Maximum
05RB003,H,2012,L,8.0,2,15,12,40,CST,28.33300018310547,,Minimum
05RB003,H,2013,H,8.0,5,10,11,35,CST,30.599000930786133,,Maximum
05RB003,H,2015,H,8.0,9,10,17,45,CST,30.59000015258789,,Maximum
05RB003,H,2015,L,8.0,3,28,16,50,CST,28.7450008392334,,Minimum
05RB003,H,2016,H,8.0,4,22,11,17,CST,31.025999069213867,,Maximum
05RB003,H,2016,L,8.0,3,7,13,2,CST,29.152000427246094,,Minimum
05RB003,H,2017,H,8.0,4,18,21,27,CST,30.51099967956543,,Maximum
05RB003,H,2017,L,8.0,9,19,13,17,CST,28.68400001525879,,Minimum
05RB003,H,2018,H,8.0,11,13,10,42,CST,29.8129997253418,,Maximum
05RB003,H,2018,L,8.0,9,13,1,22,CST,28.42300033569336,,Minimum
05RB003,H,2019,H,8.0,10,23,11,16,CST,31.0310001373291, ,Maximum
05RB003,H,2019,L,8.0,9,17,9,22,CST,28.683000564575195, ,Minimum
05RB003,H,2020,H,8.0,5,6,0,51,CST,31.058000564575195, ,Maximum
05RB003,H,2020,L,8.0,3,24,9,11,CST,28.86400032043457, ,Minimum
05RB003,H,2021,H,8.0,4,20,14,50,CST,30.27300071716309, ,Maximum
05RB003,H,2021,L,8.0,8,10,0,50,CST,28.600000381469727, ,Minimum
05RB003,H,2022,L,8.0,4,4,11,10,CST,28.94599914550781, ,Minimum
05RB003,H,2023,H,8.0,6,22,5,50,CST,31.143999099731445, ,Maximum
05RB003,H,2023,L,8.0,4,10,12,40,CST,28.690000534057617, ,Minimum
05RB003,Q,1978,H,,7,17,13,51,CST,195.0,,Maximum
05RB003,Q,1979,H,,6,2,21,0,CST,373.0,,Maximum
05RB003,Q,1980,H,,4,24,18,37,CST,101.0,,Maximum
05RB003,Q,1981,H,,9,8,8,8,CST,120.0,,Maximum
05RB003,Q,1982,H,,6,9,12,5,CST,165.0,,Maximum
05RB003,Q,1983,H,,6,26,14,5,CST,243.0,,Maximum
05RB003,Q,1984,H,,6,27,1,18,CST,93.5,,Maximum
05RB003,Q,1985,H,,4,26,17,0,CST,122.0,,Maximum
05RB003,Q,1986,H,,5,7,20,1,CST,191.0,,Maximum
05RB003,Q,1987,H,,4,14,2,29,CST,100.0,,Maximum
05RB003,Q,1988,H,,5,12,19,24,CST,98.0999984741211,,Maximum
05RB003,Q,1989,H,,6,28,10,35,CST,154.0,,Maximum
05RB003,Q,1990,H,,4,27,7,47,CST,232.0,,Maximum
05RB003,Q,1991,H,,11,3,10,5,CST,92.5999984741211,,Maximum
05RB003,Q,1991,L,,1,11,12,58,CST,5.880000114440918,,Minimum
05RB003,Q,1992,H,,6,7,12,9,CST,265.0,,Maximum
05RB003,Q,1992,L,,4,5,12,30,CST,16.299999237060547,B,Minimum
05RB003,Q,1993,H,,10,1,9,41,CST,90.9000015258789,,Maximum
05RB003,Q,1993,L,,3,22,20,15,CST,12.399999618530272,B,Minimum
05RB003,Q,1994,H,,7,21,4,7,CST,73.69999694824219,,Maximum
05RB003,Q,1994,L,,4,7,12,43,CST,10.100000381469728,B,Minimum
05RB003,Q,1995,H,,7,14,16,50,CST,122.0,,Maximum
05RB003,Q,1995,L,,12,31,23,59,CST,19.200000762939453,B,Minimum
05RB003,Q,1996,H,,7,23,23,55,CST,120.0,,Maximum
05RB003,Q,1996,L,,3,29,14,31,CST,9.960000038146973,B,Minimum
05RB003,Q,1997,H,,10,17,15,0,CST,212.0,,Maximum
05RB003,Q,1997,L,,3,31,7,0,CST,14.100000381469728,,Minimum
05RB003,Q,1998,H,,4,16,0,47,CST,255.0,,Maximum
05RB003,Q,1998,L,,12,31,23,59,CST,5.760000228881836,,Minimum
05RB003,Q,1999,H,,11,1,14,52,CST,40.5, ,Maximum
05RB003,Q,1999,L,,2,23,17,5,CST,2.8399999141693115,B,Minimum
05RB003,Q,2000,H,,6,23,11,10,CST,200.0, ,Maximum
05RB003,Q,2000,L,,2,18,14,32,CST,14.600000381469728,B,Minimum
05RB003,Q,2001,H,,5,8,6,30,CST,102.0, ,Maximum
05RB003,Q,2001,L,,12,31,23,59,CST,13.600000381469728,B,Minimum
05RB003,Q,2002,H,,5,27,11,2,CST,125.0, ,Maximum
05RB003,Q,2002,L,,3,7,9,55,CST,9.729999542236328,B,Minimum
05RB003,Q,2003,H,,4,27,14,57,CST,46.20000076293945, ,Maximum
