Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
05RC001,10.010,"Using curve #10.0, changed the second offset to bring current measurements within 5%. high end extended for highwater event 2022, low end extnded for low water winter 2023",LogarithmicTable,Provisional/Provisoire,(25.3017:24.65);(24.8);
05RC001,10,Curve drawn to define lower end from 2011 low mmts.,LogarithmicTable,Final/Finales,(25.3017:24.65);(24.8);
05RC001,9,Curve drawn to define lower end from 2011 low mmts.,LogarithmicTable,Final/Finales,(24.8);
05RC001,8.010,"Stn reinstalled, Table 8.0 re-established.",LinearTable,Final/Finales,
05RC001,8.010-SC2,,LinearTable,Final/Finales,
05RC001,8.000,,LinearTable,Final/Finales,
05RC001,8.000-SC1,,LinearTable,Final/Finales,
05RC001,7.000,,LinearTable,Final/Finales,
05RC001,6.000,,LinearTable,Final/Finales,
05RC001,5.000,,LinearTable,Final/Finales,
05RC001,4.000,,LinearTable,Final/Finales,
