date,STATION_NUMBER,flow_cms,quality_symbol
1957-06-01,05RD008,,
1957-07-01,05RD008,189.0,
1957-08-01,05RD008,159.0,
1957-09-01,05RD008,100.0,
1957-10-01,05RD008,54.70000076293945,
1957-11-01,05RD008,32.29999923706055,
1957-12-01,05RD008,25.399999618530277,
1958-01-01,05RD008,21.700000762939453,
1958-02-01,05RD008,22.200000762939453,
1958-03-01,05RD008,21.200000762939453,
1958-04-01,05RD008,21.0,
1958-05-01,05RD008,25.399999618530277,
1958-06-01,05RD008,42.5,
1958-07-01,05RD008,79.0,
1958-08-01,05RD008,94.3000030517578,
1958-09-01,05RD008,89.5,
1958-10-01,05RD008,75.5999984741211,
1958-11-01,05RD008,58.29999923706055,
1958-12-01,05RD008,78.69999694824219,
1959-01-01,05RD008,89.80000305175781,
1959-02-01,05RD008,67.0999984741211,
1959-03-01,05RD008,40.79999923706055,
1959-04-01,05RD008,20.700000762939453,
1959-05-01,05RD008,51.29999923706055,E
1959-06-01,05RD008,334.0,
1959-07-01,05RD008,303.0,
1959-08-01,05RD008,199.0,
1959-09-01,05RD008,123.0,E
1959-10-01,05RD008,82.4000015258789,
1959-11-01,05RD008,78.19999694824219,E
1959-12-01,05RD008,93.4000015258789,
1960-01-01,05RD008,72.5,E
1960-02-01,05RD008,56.400001525878906,E
1960-03-01,05RD008,39.59999847412109,
1960-04-01,05RD008,32.29999923706055,
1960-05-01,05RD008,45.29999923706055,E
1960-06-01,05RD008,93.6999969482422,
1960-07-01,05RD008,153.0,
1960-08-01,05RD008,108.0,
1960-09-01,05RD008,73.9000015258789,
1960-10-01,05RD008,68.80000305175781,
1960-11-01,05RD008,70.80000305175781,E
1960-12-01,05RD008,55.79999923706055,
1961-01-01,05RD008,49.59999847412109,
1961-02-01,05RD008,47.59999847412109,
1961-03-01,05RD008,38.79999923706055,
1961-04-01,05RD008,32.599998474121094,
1961-05-01,05RD008,41.09999847412109,
1961-06-01,05RD008,74.80000305175781,
1961-07-01,05RD008,91.6999969482422,
1961-08-01,05RD008,67.69999694824219,
1961-09-01,05RD008,36.79999923706055,
1961-10-01,05RD008,26.799999237060547,
1961-11-01,05RD008,21.100000381469727,
1961-12-01,05RD008,21.299999237060547,
1962-01-01,05RD008,34.5,
1962-02-01,05RD008,37.09999847412109,
1962-03-01,05RD008,33.099998474121094,
1962-04-01,05RD008,27.5,
1962-05-01,05RD008,19.700000762939453,
1962-06-01,05RD008,50.400001525878906,
1962-07-01,05RD008,149.0,
1962-08-01,05RD008,121.0,
1962-09-01,05RD008,81.0,
1962-10-01,05RD008,68.5,
1962-11-01,05RD008,83.30000305175781,
1962-12-01,05RD008,75.9000015258789,
1963-01-01,05RD008,69.9000015258789,
1963-02-01,05RD008,58.29999923706055,
1963-03-01,05RD008,47.59999847412109,
1963-04-01,05RD008,36.20000076293945,
1963-05-01,05RD008,45.59999847412109,
1963-06-01,05RD008,148.0,
1963-07-01,05RD008,217.0,
1963-08-01,05RD008,150.0,
1963-09-01,05RD008,88.0999984741211,
1963-10-01,05RD008,47.29999923706055,
1963-11-01,05RD008,34.79999923706055,
1963-12-01,05RD008,28.600000381469727,
1964-01-01,05RD008,28.600000381469727,
1964-02-01,05RD008,27.700000762939453,
1964-03-01,05RD008,26.700000762939453,
1964-04-01,05RD008,25.299999237060547,
1964-05-01,05RD008,26.700000762939453,
1964-06-01,05RD008,140.0,
1964-07-01,05RD008,174.0,
1964-08-01,05RD008,106.0,
1964-09-01,05RD008,72.19999694824219,
1964-10-01,05RD008,52.09999847412109,
1964-11-01,05RD008,49.79999923706055,
1964-12-01,05RD008,64.80000305175781,
1965-01-01,05RD008,62.0,A
1965-02-01,05RD008,62.29999923706055,A
1965-03-01,05RD008,45.29999923706055,A
1965-04-01,05RD008,34.79999923706055,A
1965-05-01,05RD008,42.5,E
1965-06-01,05RD008,90.9000015258789,A
1965-07-01,05RD008,213.0,
1965-08-01,05RD008,161.0,
1965-09-01,05RD008,110.0,
1965-10-01,05RD008,93.4000015258789,
1965-11-01,05RD008,103.0,
