date,STATION_NUMBER,water_level_m,quality_symbol
2012-07-01,05SD004,,
2012-08-01,05SD004,225.26199340820312,
2012-09-01,05SD004,225.23399353027344,
2012-10-01,05SD004,225.23800659179688,
2013-03-01,05SD004,225.2729949951172,
2013-04-01,05SD004,225.2749938964844,
2013-05-01,05SD004,226.6219940185547,
2013-06-01,05SD004,225.3370056152344,
2013-07-01,05SD004,225.3500061035156,
2013-08-01,05SD004,225.3780059814453,
2013-09-01,05SD004,225.46499633789065,
2013-10-01,05SD004,225.3860015869141,
2014-04-01,05SD004,,
2014-05-01,05SD004,226.49899291992188,
2014-06-01,05SD004,225.44200134277344,
2014-07-01,05SD004,226.73399353027344,
2014-08-01,05SD004,225.56300354003903,
2014-09-01,05SD004,225.7239990234375,
2014-10-01,05SD004,225.64100646972656,
2015-03-01,05SD004,225.3580017089844,
2015-04-01,05SD004,226.44400024414065,
2015-05-01,05SD004,225.3679962158203,
2015-06-01,05SD004,225.36099243164065,
2015-07-01,05SD004,225.25999450683597,
2015-08-01,05SD004,225.2949981689453,
2015-09-01,05SD004,225.26199340820312,
2015-10-01,05SD004,225.2749938964844,
2016-03-01,05SD004,225.33799743652344,
2016-04-01,05SD004,225.50100708007807,
2016-05-01,05SD004,225.36599731445312,
2016-06-01,05SD004,225.35299682617188,
2016-07-01,05SD004,225.25100708007807,
2016-08-01,05SD004,225.2610015869141,
2016-09-01,05SD004,225.3209991455078,
2016-10-01,05SD004,225.2469940185547,
2017-03-01,05SD004,225.2350006103516,
2017-04-01,05SD004,227.46600341796875,
2017-05-01,05SD004,,
2017-06-01,05SD004,225.30499267578125,
2017-07-01,05SD004,225.3090057373047,
2017-08-01,05SD004,225.2729949951172,
2017-09-01,05SD004,225.23699951171875,
2017-10-01,05SD004,225.29400634765625,
2018-03-01,05SD004,225.50100708007807,
2018-04-01,05SD004,225.2400054931641,
2018-05-01,05SD004,225.3000030517578,
2018-06-01,05SD004,225.2729949951172,
2018-07-01,05SD004,225.44700622558597,
2018-08-01,05SD004,225.50999450683597,
2018-09-01,05SD004,225.2669982910156,
2018-10-01,05SD004,225.44400024414065,
2019-03-01,05SD004,,
2019-04-01,05SD004,225.58099365234372,
2019-05-01,05SD004,,
2019-06-01,05SD004,225.3500061035156,
2019-07-01,05SD004,225.2910003662109,
2019-08-01,05SD004,225.21299743652344,
2019-09-01,05SD004,225.22000122070312,
2019-10-01,05SD004,225.46800231933597,
2019-11-01,05SD004,225.44500732421875,
2020-03-01,05SD004,,
2020-04-01,05SD004,225.79299926757807,
2020-05-01,05SD004,225.3249969482422,
2020-06-01,05SD004,225.2729949951172,
2020-07-01,05SD004,225.41000366210935,
2020-08-01,05SD004,225.61099243164065,
2020-09-01,05SD004,225.2559967041016,
2020-10-01,05SD004,225.8470001220703,
2021-03-01,05SD004,225.5679931640625,
2021-04-01,05SD004,225.6529998779297,
2021-05-01,05SD004,225.6660003662109,
2021-06-01,05SD004,225.75,
2021-07-01,05SD004,225.5059967041016,
2021-08-01,05SD004,225.3509979248047,
2021-09-01,05SD004,225.6540069580078,
2021-10-01,05SD004,225.71800231933597,
2022-03-01,05SD004,225.4900054931641,
2022-04-01,05SD004,225.3470001220703,
2022-05-01,05SD004,228.49899291992188,
2022-06-01,05SD004,227.197998046875,
2022-07-01,05SD004,226.41099548339844,
2022-08-01,05SD004,225.8249969482422,
2022-09-01,05SD004,,
2022-10-01,05SD004,226.0,
2023-03-01,05SD004,225.51199340820312,A
2023-04-01,05SD004,225.41400146484372,
2023-05-01,05SD004,225.73199462890625,
2023-06-01,05SD004,225.77200317382807,
2023-07-01,05SD004,225.81700134277344,
2023-08-01,05SD004,225.97300720214844,
2023-09-01,05SD004,226.0410003662109,
2023-10-01,05SD004,226.1840057373047,
2012-07-02,05SD004,,
2012-08-02,05SD004,225.2610015869141,
2012-09-02,05SD004,225.23599243164065,
2012-10-02,05SD004,225.22799682617188,
2013-03-02,05SD004,225.27099609375,
2013-04-02,05SD004,225.2760009765625,
2013-05-02,05SD004,226.3090057373047,
2013-06-02,05SD004,225.3300018310547,
2013-07-02,05SD004,225.33999633789065,
2013-08-02,05SD004,225.3769989013672,
2013-09-02,05SD004,225.46499633789065,
2013-10-02,05SD004,225.39100646972656,
2014-04-02,05SD004,,
2014-05-02,05SD004,226.29299926757807,
2014-06-02,05SD004,225.4129943847656,
2014-07-02,05SD004,226.7050018310547,
2014-08-02,05SD004,225.5760040283203,
2014-09-02,05SD004,225.7270050048828,
2014-10-02,05SD004,225.63800048828125,
2015-03-02,05SD004,225.36300659179688,
2015-04-02,05SD004,226.26800537109372,
2015-05-02,05SD004,225.3679962158203,
2015-06-02,05SD004,225.36099243164065,
2015-07-02,05SD004,225.25799560546875,
2015-08-02,05SD004,225.29200744628903,
2015-09-02,05SD004,225.27099609375,
2015-10-02,05SD004,225.2790069580078,
2016-03-02,05SD004,225.33099365234372,
2016-04-02,05SD004,225.4620056152344,
2016-05-02,05SD004,225.35899353027344,
2016-06-02,05SD004,225.4019927978516,
2016-07-02,05SD004,225.2449951171875,
2016-08-02,05SD004,225.26600646972656,
2016-09-02,05SD004,225.2989959716797,
2016-10-02,05SD004,225.25900268554688,
2017-03-02,05SD004,225.23599243164065,
2017-04-02,05SD004,227.18299865722656,
2017-05-02,05SD004,,
2017-06-02,05SD004,225.29800415039065,
2017-07-02,05SD004,225.31700134277344,
2017-08-02,05SD004,225.2610015869141,
2017-09-02,05SD004,225.23800659179688,
2017-10-02,05SD004,225.3029937744141,
2018-03-02,05SD004,225.47000122070312,
2018-04-02,05SD004,225.23800659179688,
2018-05-02,05SD004,225.2689971923828,
2018-06-02,05SD004,225.26300048828125,
2018-07-02,05SD004,225.44700622558597,
2018-08-02,05SD004,225.49899291992188,
2018-09-02,05SD004,225.25799560546875,
2018-10-02,05SD004,225.4579925537109,
2019-03-02,05SD004,,
2019-04-02,05SD004,225.593994140625,
2019-05-02,05SD004,,
2019-06-02,05SD004,225.3500061035156,
2019-07-02,05SD004,225.2969970703125,
2019-08-02,05SD004,225.2050018310547,
2019-09-02,05SD004,225.19500732421875,
2019-10-02,05SD004,225.4579925537109,
2019-11-02,05SD004,225.43899536132807,
2020-03-02,05SD004,,
2020-04-02,05SD004,225.85499572753903,
2020-05-02,05SD004,225.3390045166016,
2020-06-02,05SD004,225.2749938964844,
2020-07-02,05SD004,225.4029998779297,
2020-08-02,05SD004,225.52999877929688,
