Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
06AD006,2024-06-18T23:00:00,-7,Stage/Niveau d'eau,7.605,,,,,,,,,HG: 7.622 Found (FD),,,,,,Provisional/Provisoire,
06AD006,2024-05-07T23:40:00,-7,Discharge/Débit,,6.697,12.5,16.0,-0.0425,-0.0832,-0.0832,"Measurement condition : Clear; Clear , Light Rain , Light Wind ",clear,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ purge reset, the roof is leaking took insulation panel s off  Mid-section",38.9,27.1,0.462,,,Provisional/Provisoire,3.54
06AD006,2024-05-07T22:55:00,-7,Stage/Niveau d'eau,6.697,,,,,,,,,HG: 6.697 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
06AD006,2024-02-27T20:36:30,-7,Discharge/Débit,,6.781,0.716,16.0,-0.858,-0.9553,-0.9469,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",80 cm of ice cover,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",20.0,4.16,0.172,-20.0,0.0,Provisional/Provisoire,7.49
06AD006,2024-02-27T19:55:00,-7,Stage/Niveau d'eau,6.781,,,,,,,,,GC: 0.000 HG: 6.792 Found (FD),,,,,,Provisional/Provisoire,
06AD006,2024-01-30T23:19:30,-7,Discharge/Débit,,6.705,0.457,16.0,-96.7,-0.96699995,-0.9625,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ","CIC, some water pooling downstream on top of ice below bridge","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",22.0,3.14,0.146,4.0,,Provisional/Provisoire,9.64
06AD006,2024-01-30T22:50:00,-7,Stage/Niveau d'eau,6.707,,,,,,,,,GC: 0.000 HG: 6.705 Found (FD),,,,,,Provisional/Provisoire,
06AD006,2023-12-12T18:05:00,-7,Discharge/Débit,,6.439,1.18,16.0,-0.45,-0.84279996,-0.791,"Measurement condition : Ice; Clear , No Precipitation , Very Light Wind Blowing Cross Stream","cic, 30cm of ice","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Changed ft2 start and end time @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",33.5,6.62,0.178,-11.0,0.0,Final/Finales,12.4
06AD006,2023-12-12T17:30:00,-7,Stage/Niveau d'eau,6.436,,,,,,,,,HG: 6.439 No Reset (NR),,,,,,Final/Finales,
06AD006,2023-10-26T18:45:00,-7,Stage/Niveau d'eau,6.304,,,,,,,,,GC: 0.000 HG: 6.301 Found (FD),,,,,,Final/Finales,
