Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
06BA002,CopyPaste,QR,2024-01-14T04:10:00,2024-01-31T13:30:00,2024-02-13T15:15:17,-6,OR - ice affected. Temps warming. Override: Freehand‌Override: Freehand‌,,Normal
06BA002,CopyPaste,QR,2023-11-05T02:30:00,2024-01-14T01:20:00,2024-01-25T16:06:40,-6,OR - Ice affected. Override: Freehand‌Override: Freehand‌,,Normal
06BA002,Drift,HG,2023-09-30T19:30:00,2024-01-13T21:05:00,2024-01-15T17:30:04,-6,SRC (0.000 TO 0.005m) RESET,"DriftPoints:(Offset:0,Time:2023-09-30T19:30:00Z);(Offset:0.005,Time:2024-01-13T21:05:00Z)",Normal
06BA002,AdjustableTrim,HG,2023-08-27T02:15:00,2023-08-27T02:35:00,2023-08-28T13:21:58,-6,DR - spike,"UpperThresholdPoints:(Time:2023-08-27T02:15:00Z,Value:96401.9930792917);(Time:2023-08-27T02:35:00Z,Value:96401.9930792917),TrimAction:Delete",Normal
06BA002,Drift,HG,2023-07-23T20:45:00,2023-09-30T19:25:00,2023-10-03T21:12:36,-6,SRC - (0.000 TO -0.007) RESET,"DriftPoints:(Offset:0,Time:2023-07-23T20:45:00Z);(Offset:-0.007,Time:2023-09-30T19:25:00Z)",Normal
06BA002,AdjustableTrim,HG,2023-07-05T06:40:00,2023-07-05T08:10:00,2024-01-23T03:13:46,-6,TRIM SPIKE,"UpperThresholdPoints:(Time:2023-07-05T06:40:00Z,Value:2.053196052508338);(Time:2023-07-05T08:10:00Z,Value:2.053196052508338),TrimAction:Delete",Normal
06BA002,DeleteRegion,HG,2023-05-08T21:55:00,2023-05-08T21:55:00,2023-07-24T20:32:40,-6,DELETE SPIKE,,Normal
06BA002,Drift,HG,2023-04-13T15:45:00,2023-07-23T20:40:00,2023-07-24T20:33:36,-6,SRC - APR 13 (0.000) TO JUL 23 (0.006),"DriftPoints:(Offset:0,Time:2023-04-13T15:45:00Z);(Offset:0.006,Time:2023-07-23T20:40:00Z)",Normal
06BA002,Drift,HG,2023-02-28T20:05:00,2023-04-13T15:40:00,2023-04-14T17:21:35,-6,SRC Reset Apr 13,"DriftPoints:(Offset:0,Time:2023-02-28T20:05:00Z);(Offset:-0.007,Time:2023-04-13T15:40:00Z)",Normal
06BA002,CopyPaste,QR,2023-02-08T10:00:00,2023-04-11T12:40:00,2023-05-02T14:23:54,-6,OR - ice affected.Override: Freehand‌,,Normal
06BA002,Drift,HG,2023-01-13T20:35:00,2023-02-28T20:00:00,2023-01-16T15:00:02,-6,SRC Reset Feb 28,"DriftPoints:(Offset:0.009,Time:2023-01-13T20:35:00Z);(Offset:0.008,Time:2023-02-28T20:00:00Z)",Normal
06BA002,CopyPaste,QR,2023-01-13T11:15:00,2023-02-08T09:55:00,2023-03-07T14:39:08,-6,OR - ice affected. Override: Freehand‌,,Normal
06BA002,CopyPaste,QR,2022-11-09T08:40:00,2023-01-13T08:05:00,2023-02-08T15:17:16,-6,OR - Ice affected. Variable backwater. Override: Freehand‌Override: Freehand‌,,Normal
06BA002,Drift,HG,2022-09-23T17:30:00,2023-01-13T20:30:00,2022-09-27T15:12:00,-6,SRC ,"DriftPoints:(Offset:0.006,Time:2022-09-23T17:30:00Z);(Offset:0.01,Time:2023-01-13T20:30:00Z)",Normal
06BA002,Drift,HG,2022-06-22T19:20:00,2022-09-23T17:25:00,2022-09-27T15:11:29,-6,SRC BLENDED  VISIT TO VISIT NR,"DriftPoints:(Offset:0.031,Time:2022-06-22T19:20:00Z);(Offset:0.006,Time:2022-09-23T17:25:00Z)",Normal
06BA002,Drift,HG,2022-04-20T21:45:00,2022-06-22T19:15:00,2022-07-06T21:35:18,-6,SRC - visit to visit,"DriftPoints:(Offset:0.024,Time:2022-04-20T21:45:00Z);(Offset:0.031,Time:2022-06-22T19:15:00Z)",Normal
06BA002,CopyPaste,QR,2022-04-12T08:15:00,2022-04-13T15:45:00,2023-02-07T16:54:32,-6,OR - jamming on control.Override: Freehand‌,,Normal
06BA002,CopyPaste,QR,2022-04-12T05:05:00,2022-04-13T22:15:00,2024-01-23T03:46:18,-6,ICEOverride: Freehand‌,,Normal
06BA002,CopyPaste,QR,2022-03-29T13:15:00,2022-03-29T16:30:00,2024-01-23T03:45:19,-6,ICEOverride: Freehand‌,,Normal
