Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
06DA002,CopyPaste,QR,2023-11-21T08:50:00,2023-12-03T05:30:00,2024-01-04T14:37:15,-6,ADJUSTED DISCHARGE BW ICE Override: Log Linear‌Q(t) = 88.02122467748404e^(-0.018347560717987908t)‌,,Normal
06DA002,CopyPaste,HG,2023-06-19T17:35:00,2023-08-24T17:40:00,2023-08-25T22:32:29,-6,"OC - C&P FROM LOGGER TO FILL TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@06DA002, time shift: 00:00 minutes.‌",,PreProcessing
06DA002,DeleteRegion,HG,2023-05-12T12:00:00,2023-05-12T12:00:00,2023-05-15T15:00:19,-6,REMOVE INVALID DATA SPIKE,,Normal
06DA002,DeleteRegion,HG,2023-04-23T20:35:00,2023-04-23T20:40:00,2023-04-24T12:18:08,-6,REMOVE INVALID DATA SPIKE,,Normal
06DA002,CopyPaste,HG,2023-03-28T21:35:00,2023-03-29T09:40:00,2023-08-25T22:31:41,-6,"OC - C&P FROM LOGGER TO FILL TELEMETRY GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@06DA002, time shift: 00:00 minutes.‌",,PreProcessing
06DA002,DeleteRegion,HG,2023-03-23T12:05:00,2023-03-23T12:05:00,2023-03-28T13:37:47,-6,REMOVE INVALID DATA SPIKE,,Normal
06DA002,Drift,HG,2023-03-21T15:25:00,2023-08-24T17:15:00,2023-08-25T22:35:23,-6,SRC (0.000 TO 0.012m) RESET,"DriftPoints:(Offset:0,Time:2023-03-21T15:25:00Z);(Offset:0.012,Time:2023-08-24T17:15:00Z)",Normal
06DA002,Offset,HG,2023-01-19T15:50:00,2023-02-15T19:50:00,2023-03-01T21:37:08,-6,OFFSET CORRECTION ? ORIFICE MOVEMENT,Offset:0.009,Normal
06DA002,CopyPaste,QR,2023-01-06T22:25:00,2023-03-21T15:45:00,2023-04-20T15:10:04,-6,ADJUST Q BW ICEOverride: Linear‌Q(t) = (-0.4584777694046721)t + 100.2‌,,Normal
06DA002,DeleteRegion,HG,2022-12-06T16:00:00,2022-12-06T16:00:00,2023-02-23T21:19:19,-6,REMOVE INVALID DATA SPIKE,,Normal
06DA002,Offset,HG,2022-11-17T20:25:00,2023-02-15T19:50:00,2023-03-01T21:25:25,-6,OFFSET CORRECTION ? ORIFICE MOVEMENT,Offset:-0.02,Normal
06DA002,CopyPaste,QR,2022-11-04T06:20:00,2023-01-07T04:00:00,2023-02-23T21:32:23,-6,REMOVE HUMPS FOR BW ICE PERIODOverride: Linear‌Q(t) = (-0.6237536571243089)t + 139.9‌,,Normal
06DA002,CopyPaste,QR,2022-11-03T13:55:00,2023-04-20T12:50:00,2023-08-29T14:47:32,-6,ESIMATED Q BACKWATER ICE Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
06DA002,DeleteRegion,HG,2022-10-30T20:10:00,2022-10-30T20:10:00,2022-10-31T12:55:01,-6,REMOVE INVALID DATA SPIKE,,Normal
06DA002,Offset,HG,2022-10-02T21:40:00,2023-02-15T19:50:00,2023-02-23T21:14:45,-6,OFFSET CORRECTION FOR ORIFICE MOVEMENT,Offset:0.21,Normal
06DA002,DeleteRegion,HG,2022-10-02T21:35:00,2022-10-02T21:35:00,2023-02-23T21:02:52,-6,REMOVE INVALID DATA POINT,,Normal
06DA002,DeleteRegion,HG,2022-09-04T06:00:00,2022-09-04T06:00:00,2022-10-25T13:47:45,-6,REMOVE INVALID LOWER DATA SPIKE,,Normal
