STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
06FA001,H,2002,H,8.0,6,10,8,5,CST,29.69700050354004, ,Maximum
06FA001,H,2003,H,8.0,3,19,20,56,CST,29.319000244140625, ,Maximum
06FA001,H,2003,L,8.0,9,18,4,25,CST,28.683000564575195, ,Minimum
06FA001,H,2004,L,8.0,1,8,23,59,CST,28.86899948120117,,Minimum
06FA001,H,2005,H,8.0,10,19,17,58,CST,31.89299964904785,,Maximum
06FA001,H,2005,L,8.0,4,18,7,59,CST,29.141000747680664,,Minimum
06FA001,H,2006,H,8.0,8,27,16,4,CST,30.048999786376957,,Maximum
06FA001,H,2006,L,8.0,4,17,8,58,CST,29.040000915527344,,Minimum
06FA001,H,2008,L,8.0,9,19,10,20,CST,28.87299919128418,,Minimum
06FA001,H,2009,H,8.0,8,2,19,10,CST,30.613000869750977,,Maximum
06FA001,H,2009,L,8.0,5,13,6,0,CST,29.132999420166016,,Minimum
06FA001,H,2010,H,8.0,9,19,15,35,CST,29.81800079345703,,Maximum
06FA001,H,2010,L,8.0,8,4,15,10,CST,28.7450008392334,,Minimum
06FA001,H,2011,H,8.0,9,4,15,35,CST,30.051000595092773, ,Maximum
06FA001,H,2011,L,8.0,6,26,19,10,CST,28.923999786376957, ,Minimum
06FA001,H,2012,H,8.0,5,15,0,35,CST,29.530000686645508,,Maximum
06FA001,H,2012,L,8.0,8,15,14,15,CST,28.993000030517575,,Minimum
06FA001,H,2013,H,8.0,11,24,12,10,CST,29.604999542236328,,Maximum
06FA001,H,2013,L,8.0,9,3,1,20,CST,28.834999084472656,,Minimum
06FA001,H,2014,H,8.0,7,20,7,30,CST,29.80699920654297,,Maximum
06FA001,H,2014,L,8.0,10,5,10,55,CST,28.929000854492188,,Minimum
06FA001,H,2015,H,8.0,10,2,14,0,CST,29.32900047302246,,Maximum
06FA001,H,2015,L,8.0,4,27,3,50,CST,29.052000045776367,,Minimum
06FA001,H,2016,H,8.0,6,17,6,20,CST,29.417999267578125,,Maximum
06FA001,H,2016,L,8.0,9,20,15,15,CST,28.91200065612793,,Minimum
06FA001,H,2017,H,8.0,6,12,6,55,CST,33.42300033569336, ,Maximum
06FA001,H,2017,L,8.0,10,4,10,35,CST,28.92200088500977, ,Minimum
06FA001,H,2018,H,8.0,5,11,0,40,CST,29.577999114990234, ,Maximum
06FA001,H,2018,L,8.0,8,22,18,35,CST,28.98600006103516, ,Minimum
06FA001,H,2019,H,8.0,9,23,19,50,CST,29.242000579833984, ,Maximum
