date,STATION_NUMBER,water_level_m,quality_symbol
2002-01-01,06FD002,30.32099914550781,
2002-02-01,06FD002,30.21500015258789,A
2002-03-01,06FD002,30.18600082397461,A
2002-04-01,06FD002,30.200000762939453,
2002-05-01,06FD002,30.231000900268555,
2002-06-01,06FD002,33.87699890136719,
2002-07-01,06FD002,,
2002-08-01,06FD002,30.597999572753903,
2002-09-01,06FD002,30.73500061035156,
2002-10-01,06FD002,30.89900016784668,
2002-11-01,06FD002,30.645000457763672,
2002-12-01,06FD002,30.530000686645508,
2003-01-01,06FD002,30.457000732421875,
2003-02-01,06FD002,30.46299934387207,
2003-03-01,06FD002,30.80500030517578,
2003-04-01,06FD002,30.989999771118164,
2003-05-01,06FD002,30.530000686645508,
2003-06-01,06FD002,30.940000534057617,
2003-07-01,06FD002,30.756999969482425,
2003-08-01,06FD002,30.184999465942383,
2003-09-01,06FD002,30.16699981689453,
2003-10-01,06FD002,30.60400009155273,
2003-11-01,06FD002,30.25200080871582,
2003-12-01,06FD002,30.11000061035156,
2004-01-01,06FD002,30.138999938964844,
2004-02-01,06FD002,30.231000900268555,
2004-05-01,06FD002,,
2004-06-01,06FD002,32.20000076293945,A
2004-07-01,06FD002,30.840999603271484,A
2004-08-01,06FD002,32.0099983215332,
2004-09-01,06FD002,30.83099937438965,
2004-10-01,06FD002,30.624000549316406,
2004-11-01,06FD002,30.631999969482425,
2004-12-01,06FD002,30.52899932861328,
2005-01-01,06FD002,30.604999542236328,
2005-02-01,06FD002,30.43400001525879,
2005-03-01,06FD002,30.66900062561035,A
2005-04-01,06FD002,30.73699951171875,A
2005-05-01,06FD002,32.79499816894531,A
2005-06-01,06FD002,32.72700119018555,A
2005-07-01,06FD002,30.586000442504883,
2005-08-01,06FD002,30.913000106811523,
2005-09-01,06FD002,32.03400039672852,
2005-10-01,06FD002,31.618000030517575,A
2005-11-01,06FD002,30.886999130249023,E
2005-12-01,06FD002,30.5939998626709,A
2006-01-01,06FD002,30.55900001525879,
2006-02-01,06FD002,30.413000106811523,
2006-03-01,06FD002,30.349000930786133,
2006-04-01,06FD002,30.333999633789062,
2006-05-01,06FD002,32.33700180053711,
2006-06-01,06FD002,30.65900039672852,
2006-08-01,06FD002,,
2006-09-01,06FD002,30.548999786376957,
2006-10-01,06FD002,30.32900047302246,
2006-11-01,06FD002,30.68199920654297,
2006-12-01,06FD002,30.55900001525879,
2007-01-01,06FD002,30.3799991607666,
2007-02-01,06FD002,30.381999969482425,
2007-03-01,06FD002,30.3439998626709,
2007-04-01,06FD002,30.429000854492188,
2007-05-01,06FD002,33.59199905395508,
2007-06-01,06FD002,31.215999603271484,
2007-07-01,06FD002,30.61400032043457,
2007-08-01,06FD002,30.32099914550781,
2007-09-01,06FD002,30.729999542236328,
2007-10-01,06FD002,32.03499984741211,
2007-11-01,06FD002,31.863000869750977,A
2007-12-01,06FD002,30.777000427246094,A
2008-01-01,06FD002,30.54800033569336,
2008-02-01,06FD002,30.500999450683597,E
2008-03-01,06FD002,30.493000030517575,
2008-04-01,06FD002,30.687000274658203,
2008-05-01,06FD002,31.298999786376957,
2008-06-01,06FD002,32.525001525878906,
2008-07-01,06FD002,30.79599952697754,
2008-08-01,06FD002,30.288000106811523,
2008-09-01,06FD002,30.292999267578125,
2008-10-01,06FD002,30.61199951171875,
2008-11-01,06FD002,31.39299964904785,
2008-12-01,06FD002,30.652999877929688,E
2009-01-01,06FD002,30.30299949645996,
2009-02-01,06FD002,30.29199981689453,
2009-03-01,06FD002,30.21999931335449,
2009-04-01,06FD002,,
2009-07-01,06FD002,,
2009-10-01,06FD002,,
2009-11-01,06FD002,31.218000411987305,
2009-12-01,06FD002,30.642000198364254,
2010-01-01,06FD002,30.569000244140625,
2010-02-01,06FD002,30.513999938964844,
2010-03-01,06FD002,30.518999099731445,
2010-04-01,06FD002,30.339000701904297,
2010-05-01,06FD002,31.86599922180176,
2010-06-01,06FD002,31.24099922180176,
2010-07-01,06FD002,30.30599975585937,
2010-08-01,06FD002,30.274999618530277,
2010-09-01,06FD002,32.8849983215332,
2010-10-01,06FD002,31.774999618530277,
2010-11-01,06FD002,31.48900032043457,
2010-12-01,06FD002,30.83799934387207,
2011-01-01,06FD002,30.5939998626709,
2011-02-01,06FD002,30.415000915527344,
2011-03-01,06FD002,30.39900016784668,
2011-04-01,06FD002,30.375,
2011-05-01,06FD002,30.37700080871582,
2011-06-01,06FD002,31.336000442504883,
2011-07-01,06FD002,30.63599967956543,
2011-08-01,06FD002,30.506999969482425,
2011-09-01,06FD002,31.43899917602539,
2011-10-01,06FD002,30.54700088500977,
2011-11-01,06FD002,31.11000061035156,
2011-12-01,06FD002,30.63599967956543,
2012-01-01,06FD002,30.520999908447266,
2012-02-01,06FD002,30.43899917602539,
2012-03-01,06FD002,30.285999298095703,
2012-04-01,06FD002,30.405000686645508,
2012-05-01,06FD002,31.00300025939941,
2012-06-01,06FD002,31.21699905395508,
2012-07-01,06FD002,31.025999069213867,
2012-09-01,06FD002,,
2012-10-01,06FD002,30.750999450683597,
2012-11-01,06FD002,30.9060001373291,
2012-12-01,06FD002,30.53899955749512,
2013-01-01,06FD002,30.459999084472656,
2013-02-01,06FD002,30.559999465942383,
2013-03-01,06FD002,30.562000274658203,
2013-04-01,06FD002,30.395000457763672,
2013-05-01,06FD002,30.36899948120117,
2013-06-01,06FD002,31.541000366210938,
2013-07-01,06FD002,30.30900001525879,
2013-08-01,06FD002,30.19300079345703,
2013-09-01,06FD002,30.90399932861328,
2013-10-01,06FD002,31.399999618530277,
2013-11-01,06FD002,31.53199958801269,
2013-12-01,06FD002,30.78300094604492,
2014-01-01,06FD002,30.636999130249023,
2014-02-01,06FD002,30.665000915527344,
2014-03-01,06FD002,30.77300071716309,
2014-05-01,06FD002,,
2014-06-01,06FD002,31.60700035095215,
2014-07-01,06FD002,32.16899871826172,
2014-08-01,06FD002,30.702999114990234,
