Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
06GD001,DeleteRegion,HG,2024-01-02T04:05:00,2024-01-02T04:05:00,2024-01-02T15:39:25,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-12-17T11:40:00,2023-12-17T11:40:00,2023-12-22T14:09:46,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-11-29T06:05:00,2023-11-29T06:05:00,2023-11-29T21:19:50,-6,SPIKE,,Normal
06GD001,CopyPaste,QR,2023-11-16T11:40:00,2023-12-13T15:05:00,2023-12-13T19:58:21,-6,OVERRIDE TO CUT DISCHARGEOverride: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
06GD001,DeleteRegion,HG,2023-11-05T06:35:00,2023-11-05T06:35:00,2023-11-06T14:48:20,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-10-28T17:20:00,2023-10-28T17:20:00,2023-10-30T14:57:14,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-10-21T07:40:00,2023-10-21T07:40:00,2023-10-27T18:41:17,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-10-07T07:15:00,2023-10-07T07:15:00,2023-10-10T13:38:14,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-09-26T08:45:00,2023-09-26T08:45:00,2023-09-29T14:12:10,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-09-25T01:55:00,2023-09-25T01:55:00,2023-09-25T14:16:47,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-09-24T22:10:00,2023-09-24T22:10:00,2023-09-25T14:16:23,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2023-09-15T16:20:00,2023-09-15T16:20:00,2023-09-18T13:23:50,-6,,,Normal
06GD001,AdjustableTrim,HG,2023-08-13T03:00:00,2023-08-13T23:15:00,2023-08-14T13:44:56,-6,INVALID SPIKE,"UpperThresholdPoints:(Time:2023-08-13T03:00:00Z,Value:121.91324455811144);(Time:2023-08-13T23:15:00Z,Value:121.91324455811144),TrimAction:Delete",Normal
06GD001,Offset,HG,2023-05-15T23:15:00,2023-07-25T15:25:00,2023-07-26T18:04:53,-6,SRC - JUL 25 CARRIED BACK TO SUSPECTED ORIFICE MOVEMENT ,Offset:0.104,Normal
06GD001,Drift,HG,2023-05-13T21:20:00,2023-05-15T23:10:00,2023-11-07T19:33:18,-6,ESTIMATED MOVEMENT USE WITH CAUTION,"DriftPoints:(Offset:0,Time:2023-05-13T21:20:00Z);(Offset:-0.050814017952134805,Time:2023-05-15T23:10:00Z)",Normal
06GD001,CopyPaste,QR,2023-05-13T19:50:00,2023-05-16T01:20:00,2023-11-07T19:53:48,-6,CUT DISCHARGE LARGE ICE CHUNKS STILL FLOWINGOverride: Freehand‌,,Normal
06GD001,DeleteRegion,HG,2023-04-23T02:35:00,2023-04-23T07:00:00,2023-04-24T12:13:01,-6,BUBBLER ISSUES,,Normal
06GD001,DeleteRegion,HG,2023-04-20T13:05:00,2023-04-20T14:30:00,2023-04-20T20:57:37,-6,BUBBLER ISSUES,,Normal
06GD001,DeleteRegion,HG,2023-04-20T11:25:00,2023-04-20T14:35:00,2023-04-20T20:58:05,-6,BUBBLER ISSUES,,Normal
06GD001,AdjustableTrim,HG,2023-04-14T23:35:00,2023-04-15T06:25:00,2023-04-17T13:24:08,-6,SPIKE,"LowerThresholdPoints:(Time:2023-04-14T23:35:00Z,Value:104.6043653007716);(Time:2023-04-15T06:25:00Z,Value:104.6043653007716),TrimAction:Delete",Normal
06GD001,CopyPaste,HG,2023-03-09T06:30:00,2023-07-24T07:40:00,2023-07-26T18:02:50,-6,"INPUT LOGGER DATA TO FILL NUMEROUS GAPS IN PERIODOverride: Copy & Paste‌Source Data Set: Stage.Logger@06GD001, time shift: 00:00 minutes.‌",,PreProcessing
06GD001,DeleteRegion,HG,2023-01-06T12:45:00,2023-01-06T12:45:00,2023-01-09T14:21:19,-6,SPIKE,,Normal
06GD001,DeleteRegion,HG,2022-12-21T08:40:00,2022-12-21T08:40:00,2022-12-22T14:00:46,-6,SPIKE,,Normal
06GD001,CopyPaste,QR,2022-12-01T19:00:00,2023-02-11T14:30:00,2023-06-01T17:38:54,-6,OVERRIDE DURING ICE PERIODOverride: Freehand‌,,Normal
