Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
06LC001,2024-04-30T23:40:00,-7,Stage/Niveau d'eau,74.484,,,,,,,,,GC: 0.000 HG: 74.670 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
06LC001,2024-04-30T22:22:30,-7,Discharge/Débit,,74.484,78.3,7.0,-1.76,-0.8715,-0.8715,"Measurement condition : Ice; Clear , No Precipitation , Moderate Wind Blowing Upstream",Complete ice cover at gauge.  open lead at rapids upstream of gauge,"Ice cover ADCP measurement.   @ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ SxS measurement notes: ORIGINAL MMNT TIME OFF BY 1 HR.  MINUS HOUR FOR CORRECT TIME (EHSN IS CORRECTED). STATION MISTAKENLY LABELLED 06LC002 INSTEAD OF 06LC001 LARGE EDGE ESTIMATE ON LHB.  DEEP DRIFT, COULD NOT GET TO ICE WITH 8 FEET OF AUGER FLIGHTING.  CABIN HAD SNOW DRIFTED INSIDE, SO EXTRA EFFORT NEEDED TO CLEAN UP SITE BEFORE LEAVING.  EDGE INFO EDITED TO GIVE MORE WATER UP TO EDGE WHICH IS A STEEP TRIANGULAR EDGE DURING OPEN WATER AND FAIRLY CONSISTENT WITH PREVIOUS PANEL CHARACTERISTICS.  1% OF MMNT FLOW WHICH IS MORE REPRESENTATIVE THAN A ZERO DEPTH AND ZERO FLOW EDGE.  Reset by changing offsets. OLD OFFSET 72.931999, NEW OFFSET 72.746 DWL was made far out as gauge pool seems like it could be isolated from the river as could not find water at regular DWL location.  expect that there may be a reverse SRC once in OWC in event that sensor was isolated from river. Mid-section",251.0,370.0,0.211,-8.0,0.5,Provisional/Provisoire,4.47
06LC001,2023-08-02T16:25:00,-7,Stage/Niveau d'eau,74.979,,,,,,,,,HG: 2.047 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
06LC001,2022-09-14T17:45:00,-7,Stage/Niveau d'eau,74.567,,,,,,,,,HG: 74.543 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
06LC001,2022-09-14T16:55:00,-7,Discharge/Débit,,74.567,646.0,7.0,-0.00468,-0.0034,-0.0034,"Measurement condition : ; Clear , No Precipitation , Calm Wind Blowing Cross Stream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Used Latter SRC for MGH as that is what was used to Reset/Calibrate the gauge. ADCP by Moving Boat",282.0,728.0,0.887,,7.9,Provisional/Provisoire,4.3
06LC001,2022-09-14T15:45:00,-7,Stage/Niveau d'eau,74.57,,,,,,,,,HG: 74.543 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
06LC001,2022-06-28T02:37:00,-7,Discharge/Débit,,75.843,1370.0,7.0,-0.0663,-0.0339,-0.0339,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Blowing Downstream",open water conditions ,"mmt at usual mmt section in front of the cabin/gauge high wind day, 5mm surge, did not reset.  ADCP by Moving Boat",301.0,1080.0,1.26,10.0,5.5,Provisional/Provisoire,3.5
06LC001,2022-06-28T01:45:00,-7,Stage/Niveau d'eau,75.843,,,,,,,,,HG: 75.848 No Reset (NR),,,,,,Provisional/Provisoire,
06LC001,2021-08-31T17:20:00,-7,Discharge/Débit,,75.589,1200.0,,,,,,,"same mmt section as per usual; in front of cabin. good edge estimates, first pass, boat speed was slightly higher than water speed, corrected on second pass.   Corrected M.G.H. includes Sensor Reset Correction of -0.023 and Gage Correction of 0.000 applied to Weighted M.G.H of 75.612 n/a ADCP by Moving Boat",302.0,978.0,1.23,15.3,11.4,Final/Finales,3.9
06LC001,2021-08-31T17:20:00,-7,Stage/Niveau d'eau,75.589,,,,,,,,,HG: 75.612 SRC: -0.023 No Reset (NR),,,,,,Final/Finales,
06LC001,2021-06-24T01:50:00,-7,Stage/Niveau d'eau,76.522,,,,,,,,,HG: 76.553 SRC: -0.031 No Reset (NR),,,,,,Final/Finales,
06LC001,2021-06-23T22:59:00,-7,Discharge/Débit,,76.52,1840.0,7.0,-0.141,-0.0615,0.0,"Measurement condition : Clear; Cloudy , Moderate Rain , Moderate Wind Blowing Cross Stream","Open with ice pans and candle ice occasionally flowing past
ice on shores but not affecting flow",RHB poorly measured due to heavy winds blowing cross-stream towards RHB -last transect as winds picked up substantially. Trimaran jumped on waves a few times dropping bottom track -MBT abandoned due to rapidly increasing wind  Corrected M.G.H. includes Sensor Reset Correction of -0.031 and Gage Correction of 0.000 applied to Weighted M.G.H of 76.551 DWL taken in pool where lines enter water. Minimal surge dispite heavy wind. ADCP by Moving Boat,299.0,1230.0,1.5,4.0,,Final/Finales,5.8
06LC001,2020-09-09T17:35:00,-7,Stage/Niveau d'eau,75.356,,,,,,,,,HG: 75.348 SRC: 0.008 No Reset (NR),,,,,,Final/Finales,
06LC001,2020-09-09T17:32:00,-7,Discharge/Débit,,75.356,1030.0,7.0,0.09,-0.0515,0.0,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind Blowing Upstream","nothing of concern, water was freely moving","Corrected M.G.H. includes Sensor Reset Correction of 0.008 and Gage Correction of 0.000 applied to Weighted M.G.H of 75.348 ADCP by Moving Boat  COMMENT ADDED BY BA 20221125 THERE WAS MISSING DATA FROM THE LOGGER AND TELEMETRY FROM 10:35-10:45, HOWEVER READINGS FROM 10:20,10:25,10:30 WERE 75.348m. WITH THE DATA AVAILABLE - THE REPORTED MEAN GAUGE HEIGHT OF 75.348 PRIOR TO SRC CORRECTION IS THE BEST INFORMATION AVAILABLE.",278.0,912.0,1.13,7.0,,Final/Finales,3.5
06LC001,2020-02-21T18:40:00,-7,Stage/Niveau d'eau,74.941,,,,,,,,,,,,,,,Final/Finales,
06LC001,2019-08-21T22:40:30,-7,Discharge/Débit,,75.211,963.0,,,,,,,Sources:Manual,282.0,884.0,1.09,16.5,13.3,Final/Finales,3.6
06LC001,2019-08-21T22:35:00,-7,Stage/Niveau d'eau,75.21,,,,,,,,,Source:Manual Sensor Reset Correction of -0.007,,,,,,Final/Finales,
06LC001,2019-07-03T21:00:00,-7,Stage/Niveau d'eau,75.095,,,,,,,,,Source:Manual Sensor Reset Correction of -0.014,,,,,,Final/Finales,
06LC001,2019-04-27T20:10:00,-7,Stage/Niveau d'eau,74.911,,,,,,,,,Source:Manual Sensor Reset Correction of -0.020,,,,,,Final/Finales,
06LC001,2019-04-27T18:42:30,-7,Discharge/Débit,,74.91,77.9,,,,,,,CLOCK SET NOT USED Sources:Import,213.0,291.99,0.27,-18.0,0.96,Final/Finales,2.0
06LC001,2019-02-20T19:00:00,-7,Stage/Niveau d'eau,74.599,,,,,,,,,Source:Manual Sensor Reset Correction of -0.020,,,,,,Final/Finales,
06LC001,2019-02-20T18:20:30,-7,Discharge/Débit,,74.6,56.0,,,,,,,M9 time not set Sources:Import  20221109 BA COMMENT: PLEASE REFERENCE PAPER SHEET FOR DETAILED MEASUREMENT RESULTS FOR PANEL DISCHARGE VALUES AND DISCHARGE WAS UNDER ICE,286.0,374.5,0.15,-34.0,0.0,Final/Finales,2.21
06LC001,2018-09-14T01:25:00,-7,Stage/Niveau d'eau,74.353,,,,,,,,,Source:Manual Sensor Reset Correction of 0.012,,,,,,Final/Finales,
06LC001,2018-06-19T04:16:55,-7,Discharge/Débit,,75.407,1000.0,,,,,,,"Sources:Import,Manual",289.0,947.0,1.07,4.0,0.7,Final/Finales,
06LC001,2018-06-19T01:55:00,-7,Stage/Niveau d'eau,75.421,,,,,,,,,Source:Manual Reference point and method not documented.,,,,,,Final/Finales,
06LC001,2018-04-18T22:00:00,-7,Discharge/Débit,,75.049,103.0,,,,,,,Sources:Manual,217.0,390.0,0.265,-2.0,0.8,Final/Finales,
06LC001,2018-04-18T20:25:00,-7,Stage/Niveau d'eau,75.045,,,,,,,,,Source:Manual Sensor Reset Correction of 0.017,,,,,,Final/Finales,
06LC001,2017-09-13T13:55:00,-7,Stage/Niveau d'eau,74.533,,,,,,,,,Source:Manual Sensor Reset Correction of 72.444,,,,,,Final/Finales,
06LC001,2017-09-12T23:45:00,-7,Stage/Niveau d'eau,74.54,,,,,,,,,Source:Manual Sensor Reset Correction of 0.028,,,,,,Final/Finales,
06LC001,2017-07-04T13:44:30,-7,Discharge/Débit,,76.187,1640.0,,,,,,,Q=1647 as collected in WinRiver / Q=1637 through QRev (Pow/Pow 0.2358) MBT had multiple/repeated error in D/S direction. DMG ~15m. Abandoned due to time constraints Sources:Manual,304.0,1190.0,1.38,,,Final/Finales,
06LC001,2017-07-04T02:00:00,-7,Stage/Niveau d'eau,76.194,,,,,,,,,Source:Manual Sensor Reset Correction of -0.221,,,,,,Final/Finales,
06LC001,2017-03-15T17:55:00,-7,Stage/Niveau d'eau,75.018,,,,,,,,,Source:Manual Sensor Reset Correction of -2.890,,,,,,Final/Finales,
06LC001,2017-03-15T16:38:00,-7,Discharge/Débit,,75.018,92.8,,,,,,,Used estabished spacing from past measurements for mmt. Sources:Manual,262.0,285.0,0.326,-28.0,,Final/Finales,
