Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07AG003,2024-06-10T21:37:30,-7,Discharge/Débit,,1.322,4.37,15.0,0.045,0.2159,0.0,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Downstream",Section downstream barely visible;,"High quality FT2 wading measurement. Decent downstream wind at mmnt section. Low end of curve has experienced scour from 2023 June high water. Reset the orifice line, record showed some painting, also upped the bubble rate. Mid-section",18.4,8.12,0.538,20.0,12.1,Provisional/Provisoire,7.07
07AG003,2024-06-10T21:00:00,-7,Stage/Niveau d'eau,1.323,,,,,,,,,GC: 0.000 HG: 1.321 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07AG003,2024-04-29T19:05:00,-7,Discharge/Débit,,1.399,5.52,15.0,0.0274,0.1104,0.1104,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Cross Stream",Start of section control visible downstream,"Good quality FT2 wading mmnt, 100 m downstream of gauge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",20.5,12.5,0.44,9.0,5.0,Provisional/Provisoire,7.09
07AG003,2024-04-29T18:35:00,-7,Stage/Niveau d'eau,1.401,,,,,,,,,GC: 0.000 HG: 1.394 Found (FD),,,,,,Provisional/Provisoire,
07AG003,2024-03-04T23:55:00,-7,Stage/Niveau d'eau,1.302,,,,,,,,,HG: 1.305 No Reset (NR),,,,,,Provisional/Provisoire,
07AG003,2024-03-04T23:45:00,-7,Discharge/Débit,,1.302,0.683,15.0,-0.237,-0.79150003,-0.8328,"Measurement condition : Ice; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream","Narrow section of flow, not a lot of effective depth. Ice about 50 cm",Good quality FT2 under ice mmnt Mid-section,9.5,2.01,0.339,-16.0,0.0,Provisional/Provisoire,8.76
07AG003,2024-01-29T22:05:30,-7,Discharge/Débit,,1.359,0.508,15.0,-0.322,-0.8798,-0.90129995,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Light Wind Swirling/Variable",Complete ice cover ranging from 30-60cm.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.5,2.64,0.192,3.0,0.1,Final/Finales,22.6
07AG003,2024-01-29T21:35:00,-7,Stage/Niveau d'eau,1.359,,,,,,,,,GC: 0.000 HG: 1.329 Found (FD),,,,,,Final/Finales,
07AG003,2023-12-18T22:05:00,-7,Stage/Niveau d'eau,1.233,,,,,,,,,GC: 0.000 HG: 1.212 Recovered (RC),,,,,,Final/Finales,
07AG003,2023-12-18T21:40:30,-7,Discharge/Débit,,1.233,0.706,15.0,-0.164,-0.693,-0.7626,"Measurement condition : Ice; Cloudy , No Precipitation , Very Light Wind Blowing Cross Stream","CIC at gauge, open sections downstream","Good quality FT2 under ice mmnt, some velocity angles, 19 measured panels (under 10%)  Drilled hole for MP, water flowing up out of hole. Took a bit to settle out, mmnt upstream, also flowing out of holes. Using second WL as MGH since it took a bit of time for the water level to equalize. Mid-section",11.0,1.86,0.38,1.0,0.0,Final/Finales,17.0
