STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
07AG003,2,1989,1989 MAXIMUM INSTANTANEOUS DISCHARGE WAS DERIVED FROM HIGH WATER MARKS.,DEBIT INSTANTANE MAXIMAL OBTENU A PARTIR DE LA LAISSE DES HAUTES EAUX
07AG003,2,1990,1990 MAXIMUM INSTANTANEOUS DISCHARGE WAS DERIVED FROM HIGH WATER MARKS.,DEBIT INSTANTANE MAXIMAL OBTENU A PARTIR DE LA LAISSE DES HAUTES EAUX
07AG003,2,2001,2001 MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ORIFICE MOVEMENT,DEBIT INSTANTANE MAXIMAL NON VALIDE ? DEPLACEMENTS D'ORIFICE
07AG003,2,2004,2004 MAXIMUM INSTANTANEOUS DISCHARGE CONSIDERED VALID FOR THE SEASON.,
07AG003,2,2011,2011 STATION SHUTDOWN FOR CONSTRUCTION NOVEMBER 10 - DECEMBER 31,STATION FERMEE POUR CONSTRUCTION DU 10 NOVEMBRE AU 31 DECEMBRE
07AG003,2,2014,MAXIMUM INSTANTANEOUS AND MAXIMUM DAILY DISCHARGES ARE NOT VALID DUE TO EQUIPMENT MALFUNCTION.,
07AG003,2,2015,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
07AG003,2,2017,MAXIMUM INSTANTANEOUS DISCHARGE ARE NOT VALID DUE TO EQUIPMENT MALFUNCTION.,
07AG003,2,2018,MAXIMUM INSTANTANEOUS DISCHARGE ARE NOT VALID DUE TO EQUIPMENT MALFUNCTION.,
07AG003,2,2019,MAXIMUM INSTANTANEOUS DISCHARGE ARE NOT VALID DUE TO EQUIPMENT MALFUNCTION.,
