Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07AG007,Offset,HG,2024-01-30T15:45:00,2024-01-30T15:50:00,2024-01-31T18:19:16,-7,"SRC (-0.011m) RESET, BUMPED FLOAT WHILE BREAKING UP ICE",Offset:-0.011,Normal
07AG007,DeleteRegion,HG,2024-01-30T15:40:00,2024-01-30T15:40:00,2024-01-31T18:17:59,-7,"DR - INVALID, BUMPED FLOAT WHEN BREAKING UP ICE",,Normal
07AG007,CopyPaste,QR,2023-12-19T16:49:00,2024-01-30T16:31:30,2024-02-05T21:18:18,-7,OVERRIDE CORRECTION - ESTIMATING ICE AFFECTED DISCHARGE.Override: Linear‌Q(t) = (-0.06716229067603885)t + 9.28‌,,Normal
07AG007,CopyPaste,QR,2023-10-26T16:05:00,2023-12-19T16:45:00,2023-12-27T16:59:51,-7,OVERRIDE CORRECTION - ESTIMATING ICE AFFECTED DISCHARGEOverride: Log Linear‌Q(t) = 13.435006075113206e^(-0.0068483687960789056t)‌with freehand adjustment‌,,Normal
07AG007,Drift,HG,2023-10-23T21:25:00,2023-12-19T15:40:00,2023-12-20T18:38:24,-7,SRC (0.000 TO -0.004m) NO RESET,"DriftPoints:(Offset:0,Time:2023-10-23T21:25:00Z);(Offset:-0.004,Time:2023-12-19T15:40:00Z)",Normal
07AG007,DeleteRegion,HG,2023-08-21T18:35:00,2023-08-21T18:40:00,2023-08-22T19:17:51,-7,DR - MAINTENANCE,,Normal
07AG007,Offset,HG,2023-08-14T12:05:00,2023-08-21T18:20:00,2023-08-22T19:21:50,-7,SRC (-0.475m) RESET,Offset:-0.475,Normal
07AG007,Offset,HG,2023-07-26T16:45:00,2023-07-27T20:10:00,2023-07-26T20:12:03,-7,VISIT ERROR,Offset:-3.073,Normal
07AG007,CopyPaste,HG,2023-07-26T15:35:00,2023-07-26T16:30:00,2023-07-27T16:14:40,-7,"OC - C&P FROM LOGGER TO FILL TELEMETRY GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@07AG007, time shift: 00:00 minutes.‌",,PreProcessing
07AG007,Offset,HG,2023-06-22T18:25:00,2023-06-22T18:30:00,2023-06-22T19:57:07,-7,SRC (-0.013m) RESET,Offset:-0.013,Normal
07AG007,Offset,HG,2023-06-22T01:30:00,2023-06-22T18:05:00,2023-06-22T19:50:32,-7,"SRC (5.181m) RESET, FLOAT SUBMERGED/BEADS SLIPPED",Offset:5.181,Normal
07AG007,DeleteRegion,HG,2023-06-21T04:00:00,2023-06-22T01:25:00,2023-06-22T12:47:35,-7,GAUGE UNDER WATER,,Normal
07AG007,DeleteRegion,HG,2023-06-20T13:55:00,2023-06-22T07:25:00,2024-02-07T18:25:52,-7,"DELETE REGION - INVALID STAGE, FLOAT TO TOP OF COUNTER.",,Normal
07AG007,CopyPaste,QR,2023-01-18T16:24:00,2023-03-06T21:25:30,2023-03-20T22:34:19,-7,OVERRIDE CORRECTION - ESTIMATING ICE AFFECTED DISCHARGEOverride: Linear‌Q(t) = (-0.0023300456741907794)t + 5.16‌,,Normal
07AG007,CopyPaste,QR,2022-12-14T16:56:30,2023-01-18T16:24:00,2023-01-23T16:33:22,-7,OVERRIDE CORRECITON - ESTIMATING ICE AFFECTED DISCHARGEOverride: Log Linear‌Q(t) = 6.95e^(-0.008514206885786479t)‌,,Normal
07AG007,CopyPaste,QR,2022-11-02T21:35:00,2022-12-14T16:55:00,2022-12-19T20:56:02,-7,Override: Log Linear‌Q(t) = 10.421876655603754e^(-0.00968603411714764t)‌with freehand adjustment‌,,Normal
07AG007,CopyPaste,QR,2022-03-07T20:40:00,2022-04-25T14:35:00,2023-09-26T21:59:33,-7,OVERRIDE CORRECTION - ESTIMATING ICE AFFECTED DISCHARGEOverride: Log Linear‌Q(t) = 7.34e^(0.030523225233440348t)‌with freehand adjustment‌,,Normal
07AG007,CopyPaste,QR,2022-02-01T16:45:00,2022-03-07T20:35:00,2022-03-21T19:58:55,-7,OVERRIDE CORRECTION - ESTIMATING ICE AFFECTED DISCHARGEOverride: Log Linear‌Q(t) = 8.139902776464815e^(-0.0030281099102779825t)‌,,Normal
07AG007,Drift,HG,2022-02-01T15:55:00,2022-03-07T21:15:00,2022-03-08T09:06:18,-7,SRC - (0.000 TO 0.004m) RESET,"DriftPoints:(Offset:0,Time:2022-02-01T15:55:00Z);(Offset:0.004,Time:2022-03-07T21:15:00Z)",Normal
07AG007,CopyPaste,QR,2022-01-23T06:30:00,2022-02-06T09:20:00,2023-12-11T15:37:05,-7,OC- ADJUST BW TO PEAK JAN 29 AND THEN RECEDE BASED ON MET DATA. ,,Normal
