STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07BE001,H,2012,H,8.0,7,28,4,15,MST,5.572999954223633,,Maximum
07BE001,H,2012,L,8.0,11,13,9,30,MST,0.5509999990463257,,Minimum
07BE001,H,2013,H,8.0,6,24,10,45,MST,4.436999797821045,,Maximum
07BE001,H,2013,L,8.0,11,13,11,0,MST,0.5230000019073486,,Minimum
07BE001,H,2014,H,8.0,4,22,10,30,MST,3.3550000190734863,,Maximum
07BE001,H,2014,L,8.0,11,14,8,0,MST,0.5,,Minimum
07BE001,H,2015,H,8.0,4,5,10,46,MST,4.256999969482422,,Maximum
07BE001,H,2016,H,8.0,5,30,22,5,MST,3.0160000324249268,,Maximum
07BE001,H,2016,L,8.0,12,8,6,45,MST,0.6039999723434448,,Minimum
07BE001,H,2017,H,8.0,6,13,11,5,MST,4.421999931335449,,Maximum
07BE001,H,2017,L,8.0,11,11,7,35,MST,0.7020000219345093,,Minimum
07BE001,H,2018,H,8.0,5,1,15,20,MST,4.255000114440918,,Maximum
07BE001,H,2018,L,8.0,11,13,7,25,MST,0.8629999756813049,,Minimum
07BE001,H,2019,H,8.0,7,2,4,40,MST,5.133999824523926, ,Maximum
07BE001,H,2019,L,8.0,12,8,6,15,MST,0.734000027179718, ,Minimum
07BE001,H,2020,H,8.0,7,5,23,10,MST,6.0970001220703125, ,Maximum
07BE001,H,2020,L,8.0,11,20,20,50,MST,0.8069999814033508, ,Minimum
07BE001,H,2021,H,8.0,6,7,9,25,MST,3.11899995803833, ,Maximum
07BE001,H,2021,L,8.0,11,19,19,55,MST,0.3230000138282776, ,Minimum
07BE001,H,2022,L,8.0,11,9,4,50,MST,0.2160000056028366, ,Minimum
07BE001,H,2023,H,8.0,6,23,22,25,MST,6.749000072479248, ,Maximum
07BE001,H,2023,L,8.0,12,3,15,5,MST,0.6420000195503235, ,Minimum
07BE001,Q,1922,H,,6,8,9,0,MST,940.0,,Maximum
07BE001,Q,1923,H,,6,17,8,0,MST,1910.0,,Maximum
07BE001,Q,1924,H,,9,1,8,0,MST,1580.0,,Maximum
07BE001,Q,1928,H,,6,19,19,0,MST,2240.0,,Maximum
07BE001,Q,1944,H,,6,18,16,30,MST,5040.0,,Maximum
07BE001,Q,1947,H,,8,1,23,0,MST,2080.0,,Maximum
07BE001,Q,1950,H,,6,18,14,0,MST,1630.0,,Maximum
07BE001,Q,1952,H,,6,26,10,30,MST,2450.0,,Maximum
07BE001,Q,1954,H,,6,10,14,30,MST,5660.0,,Maximum
