Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07BE001,2024-05-29T18:29:00,-7,Discharge/Débit,,1.843,559.0,11.0,-0.0179,-0.0145000005,-0.0145000005,Measurement condition : Clear; Mostly Cloudy  No Precipitation  Light Wind Blowing Cross Stream,Open water bridge construction downstream (not causing any backwater),@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @. Excellent quality MMT sporadic D/S wind.Slower currents on both left and right bank. Fairly windy outside so considerable surge impacting stage activity. The stage increased throughout visit and during boat MMT. Slight variation in record but consistent with surge. ADCP by Moving Boat,234.0,542.0,1.03,12.0,15.0,Provisional/Provisoire,8.0
07BE001,2024-05-29T16:25:00,-7,Stage/Niveau d'eau,1.823,,,,,,,,,GC: 0.000 HG2: 1.822 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07BE001,2024-05-17T18:50:00,-7,Stage/Niveau d'eau,1.392,,,,,,,,,GC: 0.000 HG2: 2.438 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07BE001,2024-04-25T14:45:00,-7,Stage/Niveau d'eau,1.814,,,,,,,,,GC: 0.000 HG: -0.477 DWL,,,,,,Provisional/Provisoire,
07BE001,2024-03-06T16:30:00,-7,Stage/Niveau d'eau,1.128,,,,,,,,,GC: 0.000 HG: 2.162 DWL,,,,,,Provisional/Provisoire,
07BE001,2024-02-21T17:55:00,-7,Stage/Niveau d'eau,1.233,,,,,,,,,GC: 0.000 HG: 1.243 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2024-01-29T22:50:00,-7,Stage/Niveau d'eau,1.237,,,,,,,,,GC: 0.000 HG2: 1.238 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-12-13T21:15:00,-7,Stage/Niveau d'eau,1.457,,,,,,,,,GC: 0.000 HG: 1.366 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-10-26T16:00:00,-7,Stage/Niveau d'eau,1.142,,,,,,,,,GC: 0.000 HG: 1.141 DWL,,,,,,Provisional/Provisoire,
07BE001,2023-10-26T15:20:00,-7,Stage/Niveau d'eau,1.141,,,,,,,,,GC: 0.000 HG: 1.189 DWL,,,,,,Provisional/Provisoire,
07BE001,2023-07-06T18:25:00,-7,Stage/Niveau d'eau,2.863,,,,,,,,,GC: 0.000 HG: 2.868 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-06-22T16:15:00,-7,Stage/Niveau d'eau,5.707,,,,,,,,,GC: 0.000 HG: 5.723 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07BE001,2023-06-13T16:30:00,-7,Stage/Niveau d'eau,1.561,,,,,,,,,GC: 0.000 HG: 1.563 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-06-09T13:50:00,-7,Stage/Niveau d'eau,1.784,,,,,,,,,GC: 0.000 HG: 1.904 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-06-08T14:10:00,-7,Stage/Niveau d'eau,1.84,,,,,,,,,GC: 0.000 HG: 1.806 DWL,,,,,,Provisional/Provisoire,
07BE001,2023-05-18T19:45:00,-7,Stage/Niveau d'eau,1.78,,,,,,,,,***CHANGED WL FROM 1.772 TO 1.780 - SUSPECT ERROR ON FIELD SHEET HG2: 1.780 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-05-18T17:47:00,-7,Discharge/Débit,,1.768,533.0,11.0,0.0157,-0.0002,-0.0002,Measurement condition : Altered; Clear  No Precipitation  Calm Wind Swirling/Variable,New bridge construction downstream of gauge pillar in right side of channel riprap built up on both banks. Construction is d/s of existing bridge over the river. Otherwise clear channel.,Manned boat ADCP measurement at boat launch roughly 200m d/s of gauge. Good quality measurement water was calm good SNR and GPS. Some moving bed found.  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Removed damaged ott cabling from gauge house so it is less cluttered. Left outside of shelter on ground coiled up. Labeled temp line and perm line as it was unclear which was which. TEMP LINE STILL BEING USED I THINK?! Couldn't get sensor to reset. Purged temp line again. Observed bubbles on temp line. Then connected perm line  and purged Better bubbles observed closer to shore. Attempted to hook up perm line again. Finally perm line settled out. MMT conducted before sensor calibration - applied found SRC to the MGH. ADCP by Moving Boat,233.0,526.0,1.01,20.0,16.5,Provisional/Provisoire,3.3
07BE001,2023-05-10T14:40:00,-7,Stage/Niveau d'eau,1.968,,,,,,,,,HG2: 1.975 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-02-10T21:00:00,-7,Stage/Niveau d'eau,1.045,,,,,,,,,GC: 0.000 HG2: 1.045 Reset (RS),,,,,,Provisional/Provisoire,
07BE001,2023-02-10T20:55:00,-7,Stage/Niveau d'eau,1.039,,,,,,,,,GC: -0.006 HG: 0.992 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-02-10T20:00:30,-7,Discharge/Débit,,1.042,70.7,11.0,-0.765,-0.72400004,-0.72400004,Measurement condition : Ice; Clear  Light Rain   ,CIC with ongoing bridge construction downstream. ,Good quality under-ice mmt. Encountered very high pressure pocket in centre of channel - water shot 10ft out of hole blew auger out along with it. Ice thickness significantly less in that area.  @ Uncertainty: ISO method 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ FIrst DWL/comparison done using BM 09-1 (with a GC of -0.006m found today). Second comparison done using TBM 21-2 (no GC stable). switching reference point @ 1400. Large SRC found to both sensors completed circuit twice to confirm results and then completed a third partial circuit from today's turning point into a different DWL hole just to ensure elevation of ice/water surface was consistent throughout x-section and it was. Reset sensors following visit. Used DWL values (from BM 09-1) with GC of -0.006m applied (found today).  Mid-section,132.0,175.0,0.405,6.0,0.0,Provisional/Provisoire,3.43
07BE001,2023-02-10T18:15:00,-7,Stage/Niveau d'eau,1.044,,,,,,,,,GC: -0.006 HG: 0.990 Found (FD),,,,,,Provisional/Provisoire,
07BE001,2023-01-04T18:29:30,-7,Discharge/Débit,,1.056,63.4,11.0,-0.823,-0.7567,-0.7567,Measurement condition : Ice; Clear  No Precipitation  Light Wind ,CIC. First observance of downstream bridge construction & channel in-fill (same as Wapati River),@ Uncertainty: ISO method 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Mid-section,150.0,194.0,0.326,-18.0,0.0,Provisional/Provisoire,3.06
07BE001,2023-01-04T17:30:00,-7,Stage/Niveau d'eau,1.054,,,,,,,,,GC: -0.007 REVISED. GC : -0.008 APPLIED HG: 1.063 No Reset (NR),,,,,,Provisional/Provisoire,
