Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
07BK005,12.000,New rating curve with one segment. Used of mmt from 2011 to 2019 with more weighted on mmt using ADCP (2017-2019) and flowtracker technology. Used of few historial mmt for high end.,LogarithmicTable,Provisional/Provisoire,(0.051);
07BK005,11.1,Extended Rating 11.0 to encompass 2011 high water,LinearTable,Final/Finales,
07BK005,11.000,Same as Curve #9.,LinearTable,Final/Finales,
07BK005,11.000-SC4,,LinearTable,Final/Finales,
07BK005,10.000,Same as Curve #8,LinearTable,Final/Finales,
07BK005,9.000,,LinearTable,Final/Finales,
07BK005,9.000-SC3,,LinearTable,Final/Finales,
07BK005,9.000-SC2,,LinearTable,Final/Finales,
07BK005,9.000-SC1,,LinearTable,Final/Finales,
07BK005,8.000,,LinearTable,Final/Finales,
