Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07BK005,DeleteRegion,HG,2024-01-01T07:00:00,2024-02-01T07:00:00,2024-02-09T22:08:09,-7,DR: SEASONAL DISCHARGE STATION. STAGE DELETED OUTSIDE OF OPERATING PERIOD,,Normal
07BK005,DeleteRegion,HG,2023-11-01T07:00:00,2024-01-01T06:59:59,2023-12-18T16:38:37,-7,DR: OUTSIDE OF SEASONAL STATION OPERATING PERIOD.,,Normal
07BK005,CopyPaste,QR,2023-10-30T09:45:00,2023-11-01T07:00:00,2023-12-19T00:16:32,-7,ICE ESTIMATE OVERRIDESOverride: Log Linear‌Q(t) = 1.0049710546429713e^(-0.0042501323561710685t)‌,,Normal
07BK005,CopyPaste,QR,2023-10-24T10:25:00,2023-11-01T07:00:00,2023-11-07T18:21:10,-7,FALL ICE OVERRIDEOverride: Freehand‌,,Normal
07BK005,Drift,QR,2023-10-24T10:25:00,2023-11-01T07:00:00,2023-11-07T18:20:02,-7,FALL ICE OVERRIDE. REDUCTION FOR BACKWATER DUE TO ICE,"DriftPoints:(Offset:0,Time:2023-10-24T10:25:00Z);(Offset:-0.04,Time:2023-11-01T07:00:00Z)",Normal
07BK005,Offset,HG,2023-10-19T19:20:00,2023-11-01T07:00:00,2023-10-20T19:07:30,-7,"GC (-0.009m) [OCTOBER 19,2023]",Offset:-0.009,Normal
07BK005,CopyPaste,HG,2023-10-19T18:05:00,2023-10-19T19:15:00,2023-12-18T21:15:17,-7,"C&P FROM STAGE LOGGER TO FILL GAP CREATED DURING FIRMWARE UPDATE  ON SITE.Override: Copy & Paste‌Source Data Set: Stage.Logger@07BK005, time shift: 00:00 minutes.‌",,PreProcessing
07BK005,Drift,HG,2023-06-30T19:25:00,2023-10-19T19:15:00,2023-10-20T19:06:16,-7,"GC (0.000 TO -0.009m) [JUNE 30 TO OCTOBER 19, 2023]","DriftPoints:(Offset:0,Time:2023-06-30T19:25:00Z);(Offset:-0.009,Time:2023-10-19T19:15:00Z)",Normal
07BK005,Drift,HG,2023-06-30T18:55:00,2023-08-15T21:15:00,2023-08-16T18:43:58,-7,SRC (0.000 TO -0.005m) RESET,"DriftPoints:(Offset:0,Time:2023-06-30T18:55:00Z);(Offset:-0.005,Time:2023-08-15T21:15:00Z)",Normal
07BK005,CopyPaste,QR,2023-06-12T01:00:00,2023-06-30T18:50:00,2023-12-18T23:08:31,-7,OPEN WATER DISCHARGE ESTIMATE. COMPARISON WITH 07BK007 AND 07BK009.Override: Freehand‌Override: Freehand‌,,Normal
07BK005,CopyPaste,HG,2023-06-11T05:05:00,2023-06-12T01:00:00,2023-12-18T21:10:05,-7,"C&P FROM STAGE LOGGER TO FILL IN MISASING TELM GAPS PRIOR TO STATION POWER OUTAGE.Override: Copy & Paste‌Source Data Set: Stage.Logger@07BK005, time shift: 00:00 minutes.‌",,PreProcessing
07BK005,CopyPaste,HG,2023-05-05T07:05:00,2023-05-05T09:10:00,2023-12-18T21:08:01,-7,"C&P FROM STAGE LOGGER TO FILL MISSING TELM. GAP.Override: Copy & Paste‌Source Data Set: Stage.Logger@07BK005, time shift: 00:00 minutes.‌",,PreProcessing
07BK005,CopyPaste,HG,2023-03-28T22:05:00,2023-03-29T10:10:00,2023-12-18T21:06:26,-7,"C&P FROM STAGE LOGGER TO FILL MISING TELEM GAP.Override: Copy & Paste‌Source Data Set: Stage.Logger@07BK005, time shift: 00:00 minutes.‌",,PreProcessing
07BK005,CopyPaste,QR,2023-02-27T22:10:00,2023-03-23T11:00:00,2023-12-19T00:05:40,-7,ICE ESTIMATE OVERRIDESOverride: Log Linear‌Q(t) = 0.16199362372887952e^(0.00012935017344287473t)‌,,Normal
07BK005,Drift,HG,2023-02-27T20:55:00,2023-05-04T20:50:00,2023-05-05T16:00:21,-7,SRC (0.000m TO 0.015m) RESET,"DriftPoints:(Offset:0,Time:2023-02-27T20:55:00Z);(Offset:0.015,Time:2023-05-04T20:50:00Z)",Normal
07BK005,CopyPaste,QR,2023-02-27T07:05:00,2023-02-27T22:10:00,2023-12-18T23:54:47,-7,ICE ESTIMATE OVERRIDESOverride: Linear‌Q(t) = (0)t + 0.162‌,,Normal
07BK005,SinglePoint,QR,2023-02-27T07:00:00,2023-02-27T07:00:00,2023-05-17T21:45:48,-7,OFFSET DATA POINT - AQ ERROR MESSAGE,Value:0.162,Normal
07BK005,DeleteRegion,HG,2023-01-01T07:00:00,2023-02-27T06:59:59,2023-03-01T04:35:04,-7,DR: OUTSIDE OF SEASONAL STATION OPERATING PERIOD.,,Normal
07BK005,DeleteRegion,HG,2022-11-01T07:00:00,2023-01-01T06:59:59,2023-03-01T04:33:49,-7,DR: OUTSIDE OF SEASONAL STATION OPERATING PERIOD,,Normal
07BK005,DeleteRegion,HG,2022-10-28T17:50:00,2022-10-28T17:50:00,2022-10-31T14:02:51,-7,DR - INVALID,,Normal
07BK005,DeleteRegion,HG,2022-09-05T10:05:00,2022-09-05T10:30:00,2022-09-06T17:41:37,-7,DR - INVALID,,Normal
07BK005,Drift,HG,2022-08-27T15:55:00,2022-10-28T17:05:00,2022-10-31T14:03:33,-7,SRC - (0.000 TO -0.010m) RESET,"DriftPoints:(Offset:0,Time:2022-08-27T15:55:00Z);(Offset:-0.01,Time:2022-10-28T17:05:00Z)",Normal
07BK005,CopyPaste,QR,2022-04-04T01:40:00,2022-04-15T04:15:00,2024-01-12T19:32:49,-7,MINOR ADJUSTMENT TO SLOPEOverride: Freehand‌,,Normal
07BK005,CopyPaste,QR,2022-03-23T15:25:00,2022-04-21T23:15:00,2022-06-16T14:07:09,-7,In situ erosion of ice cover was thermally driven. Slow contributions of snow melt over a large area with a low slope. Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07BK005,Drift,HG,2022-03-16T19:25:00,2022-04-30T19:55:00,2022-05-01T08:34:58,-7,SRC - (0.000 TO -0.012m) RESET,"DriftPoints:(Offset:0,Time:2022-03-16T19:25:00Z);(Offset:-0.012,Time:2022-04-30T19:55:00Z)",Normal
07BK005,CopyPaste,QR,2022-03-16T18:55:00,2022-03-24T04:05:00,2022-06-16T14:03:21,-7,"DISCHARGE STABLE DURING CIC, THICK SNOW AND ICE, GAUGE POOL PARTIALLY SHADED. SOME PONDING.Override: Linear‌Q(t) = (0.0004063969896519289)t + 0.209‌with freehand adjustment‌",,Normal
07BK005,CopyPaste,QR,2022-03-01T07:05:00,2022-03-16T16:05:00,2024-01-12T19:42:04,-7,ADJUSTMENT TO ICE ESTIMATEOverride: Freehand‌,,Normal
07BK005,SinglePoint,QR,2022-03-01T07:00:00,2022-03-01T07:00:00,2024-01-12T19:39:33,-7,ESTIMATE TO START OPERATING PERIOD,Value:0.212,Normal
07BK005,DeleteRegion,HG,2022-01-01T07:00:00,2022-03-01T06:59:59,2022-03-01T16:11:35,-7,OUTSIDE OF OPERATING PERIOD,,Normal
07BK005,DeleteRegion,HG,2021-11-02T07:00:00,2022-01-01T06:59:59,2022-01-25T23:48:59,-7,OUTSIDE OF OPERATING PERIOD,,Normal
07BK005,CopyPaste,QR,2021-10-30T15:30:00,2021-11-02T06:55:00,2021-12-22T21:29:17,-7,"CIC AT VISIT ON NOV 1, SUSPECT DIURNAL ICE DEVELOPMENT. WATER TEMPERATURE 0 DEGREES. Override: Freehand‌",,Normal
07BK005,CopyPaste,QR,2021-10-28T12:40:00,2021-11-02T06:55:00,2021-12-22T21:38:18,-7,3MM TOTAL RAIN AT METEO STATION FROM OCT 25 TO NOV 1. WATER TEMP STARTING AT 2 DEGREES SUBMERGED BY APPROX A METER. SUSPECT ICE DEVELOPEMENT ON SURFACE CREATING BACKWATER AS COLUMN COOLS. Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07BK005,Drift,HG,2021-09-24T17:45:00,2021-11-01T17:05:00,2021-11-10T21:07:37,-7,SRC - (0.000 TO 0.061m) RESET.  ,"DriftPoints:(Offset:0,Time:2021-09-24T17:45:00Z);(Offset:0.061,Time:2021-11-01T17:05:00Z)",Normal
07BK005,CopyPaste,HG,2021-09-24T17:45:00,2021-11-01T18:40:00,2021-11-10T21:05:15,-7,"HG OUT OF WATER, USE HG2, CURRENTLY UNABLE TO CHANGE PROCESSING PERIOD INPUT.Override: Copy & Paste‌Source Data Set: Stage.Telemetry2@07BK005, time shift: 00:00 minutes.‌",,PreProcessing
07BK005,Drift,HG,2021-09-18T01:10:00,2021-09-24T17:40:00,2021-09-27T14:08:12,-7,ESTIMATED SRC - (0.289 TO 0.235m) RESET.  [ORIFICE MOVEMENT],"DriftPoints:(Offset:0.289,Time:2021-09-18T01:10:00Z);(Offset:0.235,Time:2021-09-24T17:40:00Z)",Normal
07BK005,CopyPaste,HG,2021-09-17T14:20:00,2021-09-18T01:10:00,2022-11-30T22:45:03,-7,"COPY AND PASTE FROM HG2 TELEMETRY (OTT)Override: Copy & Paste‌Source Data Set: Stage.Telemetry2@07BK005, time shift: 00:00 minutes.‌",,Normal
