Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07DA008,2024-06-18T20:15:00,-7,Stage/Niveau d'eau,1.863,,,,,,,,,GC: 0.000 HG: 1.836 HG2: 1.844 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07DA008,2024-06-18T20:06:00,-7,Discharge/Débit,,1.864,15.4,9.0,0.0289,0.0462,0.0462,"Measurement condition : Clear; Mostly Cloudy , No Precipitation ,  ","Some debris on left bank of control, minor influence. Willow brush along right edge. ","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement, medium sized wade.  Standard error across panels.  Unknown Reset to both sensors, possible movement or sliding block. Trouble with DWL, possible errors with level or rods.  Mid-section",20.8,14.1,1.1,17.0,11.3,Provisional/Provisoire,4.27
07DA008,2024-05-08T15:29:30,-7,Discharge/Débit,,1.334,2.54,9.0,0.0455,0.3717,0.0,"Measurement condition : Clear; Cloudy , No Precipitation ,  ","Gravel bar control mostly clear, previous debris from old beaver on left bank. Possible dam starting on right. ","Easy wade above control, 50m DS @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",17.0,6.42,0.395,10.0,10.3,Provisional/Provisoire,3.51
07DA008,2024-05-08T15:20:00,-7,Stage/Niveau d'eau,1.333,,,,,,,,,HG: 1.321 HG2: 1.322 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07DA008,2024-03-21T18:22:30,-7,Discharge/Débit,,1.455,0.188,9.0,-0.29,-0.9517,-0.96239996,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",Full ice cover. Approx 10cm snow in area. ,"Few boundary n angle errors based on low effective depths. SNR warnings but over 4 so ok @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Purged orifice (HG)3x, stable record. Programmed on m8 command, reason for erroneous data. Chgd. stable logged readings. s/r. Fd cap on dessicant tube. removed. Suspect reason for invalid submersible likely invalid data.  CHGD SUBMERSIBLE TO HG N BUBBLER TO HG2 AFTER SITE VISIT.  Mid-section",5.5,0.729,0.258,-14.0,0.0,Provisional/Provisoire,12.7
07DA008,2024-03-21T17:35:00,-7,Stage/Niveau d'eau,1.458,,,,,,,,,HG: 1.458 Found (FD),,,,,,Provisional/Provisoire,
07DA008,2024-01-18T21:11:30,-7,Discharge/Débit,,1.174,0.144,9.0,0.00375,-0.396,-0.7723,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind ",Full ice cover,"Full ice cover at gauge. Low snr, above 4 so mmnt quality not affected.  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ CHGD HG TO BUBBLER N HG2 TO OTT DURING VISIT. POOR RECORD ON HG, SENSOR REQUIRES REPLACEMENT. Stable record on bubbler. Hardware failure. pulled power, fixed. s/r. Use dwl for cmgh.  Mid-section",7.75,1.93,0.075,-21.0,0.0,Final/Finales,9.29
07DA008,2024-01-18T20:20:00,-7,Stage/Niveau d'eau,1.174,,,,,,,,,HG: 1.152 HG2: 1.177 Found (FD),,,,,,Final/Finales,
07DA008,2023-09-15T16:33:00,-7,Discharge/Débit,,1.141,0.374,9.0,0.0543,3.4888,0.0054,"Measurement condition : Clear; Clear , No Precipitation ,  ",Clear gravel control. Some weeds in eddies and minimal debris.Very low condition not seen on this curve,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Easy shallow wade upstream of gauge near exposed gravel bar. Low SNR INVALID DATA FROM 9:30-10:10. HG=OTT, HG2 CFB BUBBLER AT 10:15.   Mid-section",6.1,1.68,0.223,10.0,13.0,Final/Finales,7.34
07DA008,2023-09-15T16:15:00,-7,Stage/Niveau d'eau,1.141,,,,,,,,,GC: 0.000 HG: 1.147 Maintenance (MT),,,,,,Final/Finales,
07DA008,2023-07-29T16:50:00,-7,Discharge/Débit,,1.282,1.63,9.0,0.0358,0.377,0.0124,"Measurement condition : Debris; Clear , No Precipitation , Calm Wind Blowing Cross Stream",Partial remains of beaver dam present along left edge of control. Control is still gravel bar 50m below gauge. ,"easy wade above control. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",17.0,4.9,0.333,23.0,19.3,Final/Finales,4.56
07DA008,2023-07-29T16:30:00,-7,Stage/Niveau d'eau,1.282,,,,,,,,,GC: 0.000 HG: 1.289 Maintenance (MT),,,,,,Final/Finales,
07DA008,2023-06-17T15:30:00,-7,Discharge/Débit,,1.623,7.42,9.0,-0.0127,-0.043,-0.043,"Measurement condition : Debris; Partly Cloudy , No Precipitation , Light Wind Blowing Upstream",parts of destroyed beaver remain on control. Large section of control open and clear. Water level is also reaching brush on banks. ,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Medium wade, with good velocities. Even gravel bed contour Raising stage from past precipitation. Good record and SRC's are typical  Mid-section",20.5,10.1,0.733,18.0,14.2,Provisional/Provisoire,4.07
07DA008,2023-06-17T15:20:00,-7,Stage/Niveau d'eau,1.623,,,,,,,,,GC: 0.000 HG: 1.617 Found (FD),,,,,,Provisional/Provisoire,
07DA008,2023-05-05T17:22:00,-7,Discharge/Débit,,1.362,2.62,9.0,0.0224,0.157,0.0023,"Measurement condition : Debris; Clear , No Precipitation ,  ","Beaver dam still present, blown in center after ice. Backwater visible, scour trend over last two year. ","easy wade 50m downstream just above dam.  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",20.2,4.93,0.531,25.0,14.2,Provisional/Provisoire,6.39
07DA008,2023-05-05T17:10:00,-7,Stage/Niveau d'eau,1.362,,,,,,,,,HG: 1.357 Found (FD),,,,,,Provisional/Provisoire,
07DA008,2023-03-20T17:22:30,-7,Discharge/Débit,,1.325,0.161,9.0,-0.166,-0.90680003,-0.85220003,"Measurement condition : Ice; Cloudy , Light Snow ,  ","Complete ice cover, 0.25m of snow. Beaver dam control 50m downstream ","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Slow due to beaver dam RESET may due previous visit.  Mid-section",11.5,2.27,0.071,-8.0,0.0,Provisional/Provisoire,11.5
07DA008,2023-03-20T16:55:00,-7,Stage/Niveau d'eau,1.325,,,,,,,,,HG: 1.225 Found (FD),,,,,,Provisional/Provisoire,
07DA008,2023-01-20T21:26:30,-7,Discharge/Débit,,1.415,0.176,9.0,-0.243,-0.944,-0.66330004,"Measurement condition : Ice; Clear , No Precipitation ,  ",Beaver dam control under ice 100m downstream ,"INCORRECT CMGH USED BASED ON INCORRECT WL. AMENDED IN AQUARIUS.   @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Painting record at visit, very stable prior (1.422m), invalid stage at 13:55. purged Reset once water levels settled. Mid-section",13.0,4.05,0.044,-5.0,0.0,Final/Finales,6.99
07DA008,2023-01-20T20:55:00,-7,Stage/Niveau d'eau,1.414,,,,,,,,,GC: 0.000 Found (FD),,,,,,Final/Finales,
07DA008,2022-09-23T17:13:00,-7,Discharge/Débit,,1.478,0.185,,0.314,-0.9575,0.0047999998,"Measurement condition : Altered; Clear , No Precipitation , Light Wind Blowing Upstream","Large beaver over control, 0.5m in height. ","Easy chest wade at gauge, 1m at deepest  Stagnant or negative flow on both banks. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @",14.5,9.87,0.019,15.0,11.0,Final/Finales,11.2
07DA008,2022-09-23T16:45:00,-7,Stage/Niveau d'eau,1.478,,,,,,,,,HG: 1.478 Found (FD),,,,,,Final/Finales,
07DA008,2022-08-11T15:54:30,-7,Discharge/Débit,,1.269,1.27,9.0,0.0203,0.2242,0.0032,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Downstream","Gravel section control, small amount of Woody debris caught on gravel bar. Some weeds in channel along right bank","Easy wade at gauge, right slow with some weeds causing negative Q @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.9,6.75,0.187,20.0,19.5,Final/Finales,7.43
07DA008,2022-08-11T15:25:00,-7,Stage/Niveau d'eau,1.269,,,,,,,,,HG: 1.271 Found (FD),,,,,,Final/Finales,
07DA008,2022-06-24T15:40:00,-7,Stage/Niveau d'eau,1.48,,,,,,,,,HG: 1.510 Found (FD),,,,,,Final/Finales,
07DA008,2022-06-24T15:24:30,-7,Discharge/Débit,,1.481,5.76,0.0,-0.062,0.3059,-0.0016,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ","Very minor vegetation along edges, clear","Easy wade just u/s control. Purged 5x, stable record. s/r. Need new sitemap.  Mid-section",20.2,7.27,0.791,18.0,17.0,Final/Finales,3.92
07DA008,2022-05-13T19:38:30,-7,Discharge/Débit,,2.016,21.4,0.0,-0.097,0.1476,-0.0001,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",No snow or ice in channel or area. ,"Very minor shrubs along edges. No mb used bt. slight shrubs along edges. little movement on edges, tough with 1 damaged prop. 1 transect outside 5% unsure of reason.  ARCBOAT, coulda used lite, not rqpod at 1.75m/s.  Purged 5x, stable record. s/r. upgraded app sw to 314.0.9 n tx firmware to 11.12.  ADCP by Moving Boat",17.1,17.6,1.21,14.0,10.0,Final/Finales,4.5
07DA008,2022-05-13T18:35:00,-7,Stage/Niveau d'eau,2.017,,,,,,,,,HG: 1.990 Found (FD),,,,,,Final/Finales,
07DA008,2022-03-25T18:13:30,-7,Discharge/Débit,,1.524,0.448,0.0,0.318,-0.916,-0.92260003,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ","50cm ice,",Good ft2. To narrow to get to 10% Q. Stable stage. Mid-section Low SNR readings but didn't appear to adversely impact mmnt.,8.5,2.48,0.181,-15.0,0.0,Final/Finales,6.87
07DA008,2022-03-25T17:30:00,-7,Stage/Niveau d'eau,1.522,,,,,,,,,HG: 1.525 Found (FD),,,,,,Final/Finales,
07DA008,2021-09-29T18:32:30,-7,Discharge/Débit,,1.328,2.04,0.0,-0.019,0.1538,0.00059999997,"Measurement condition : Clear; Clear , No Precipitation ,  ",some debris caught on gravel bar control. Likely washed away with rise in water level,Repaired FT2 cable to measure Mid-section,12.5,7.4,0.276,,10.0,Final/Finales,1.77
07DA008,2021-09-29T17:10:00,-7,Stage/Niveau d'eau,1.327,,,,,,,,,GC: 0.000 HG: 1.325 SRC: 0.002 Found (FD),,,,,,Final/Finales,
07DA008,2021-08-06T17:23:00,-7,Discharge/Débit,,1.235,0.879,0.0,-0.019,0.264,-0.0002,"Measurement condition : Clear; Smokey , No Precipitation ,  ",Open and clear gravel control,"Wade at gauge, some algae present Mid-section",12.2,5.15,0.171,28.0,20.0,Final/Finales,6.14
07DA008,2021-08-06T17:15:00,-7,Stage/Niveau d'eau,1.236,,,,,,,,,GC: 0.000 HG: 1.317 SRC: -0.081 Maintenance (MT),,,,,,Final/Finales,
07DA008,2021-06-20T18:52:00,-7,Discharge/Débit,,1.94,19.4,0.0,-0.103,0.1671,0.00029999999,"Measurement condition : Clear; Clear , No Precipitation ,  ","River is swollen into willow brush along edges, moving gravel bottom","High wade, near max.  Willow brush on edges Orifice block is possibly sliding with scour of gravel bottom, frequent resets with good data Mid-section",19.8,15.7,1.24,16.0,16.4,Final/Finales,3.43
07DA008,2021-06-20T18:50:00,-7,Stage/Niveau d'eau,1.94,,,,,,,,,GC: 0.000 HG: 1.928 SRC: 0.012 Purged  (PU),,,,,,Final/Finales,
07DA008,2021-05-15T20:16:30,-7,Discharge/Débit,,1.749,12.8,0.0,-0.044,0.1241,0.0002,"Measurement condition : Clear; Partly Cloudy , No Precipitation ,  ","Open, sand gravel","Good measurement, consistent velocities across channel Stage very stable, possible movement during ice out Mid-section",19.0,12.0,1.06,19.0,12.1,Final/Finales,3.59
07DA008,2021-05-15T20:05:00,-7,Stage/Niveau d'eau,1.749,,,,,,,,,HG: 1.707 SRC: 0.042 Found (FD),,,,,,Final/Finales,
07DA008,2021-03-13T19:04:00,-7,Discharge/Débit,,1.352,0.727,8.0,-0.242,-0.65589994,-0.77760005,"Measurement condition : Ice; Cloudy , No Precipitation ,  ","CIC, 10-20cm of snow","very low SNR, probe readings were accurate  Stable water, reset from last visit in JAN. Mid-section",11.0,3.27,0.222,-7.0,0.0,Final/Finales,5.61
07DA008,2021-03-13T18:35:00,-7,Stage/Niveau d'eau,1.349,,,,,,,,,HG: 1.368 SRC: -0.019 Found (FD),,,,,,Final/Finales,
07DA008,2021-01-11T19:48:00,-7,Discharge/Débit,,1.507,2.11,8.0,-0.268,-0.5747,-0.5747,"Measurement condition : Ice; Clear , No Precipitation ,  ","Small open leads over riffles, CIC at gauge. 
25cm of snow in area","no slush, with lots of effective depth  Corrected M.G.H. includes Sensor Reset Correction of -0.021 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.528 Mid-section",13.5,7.65,0.276,-4.0,0.0,Final/Finales,5.13
07DA008,2021-01-11T19:15:00,-7,Stage/Niveau d'eau,1.508,,,,,,,,,HG: 1.529 SRC: -0.021 No Reset (NR),,,,,,Final/Finales,
07DA008,2020-10-22T18:25:00,-7,Stage/Niveau d'eau,1.79,,,,,,,,,HG: 1.777 SRC: 0.013 Found (FD),,,,,,Final/Finales,
07DA008,2020-10-22T17:53:00,-7,Discharge/Débit,,1.773,14.2,8.0,-0.0447,0.169,-0.0005,"Measurement condition : Clear; Clear , No Precipitation ,  ","clear control, minimal edge ice or slush ","Wade, with some slush in channel  Corrected M.G.H. includes Sensor Reset Correction of -0.013 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.785 Mid-section",18.3,12.3,1.15,-5.0,0.5,Final/Finales,3.35
07DA008,2020-10-22T17:25:00,-7,Stage/Niveau d'eau,1.807,,,,,,,,,HG: 1.795 SRC: 0.012 Purged  (PU),,,,,,Final/Finales,
07DA008,2020-08-15T16:36:30,-7,Discharge/Débit,,1.584,7.9,8.0,-0.094,0.1697,-0.0015,"Measurement condition : Clear; Clear , No Precipitation ,  ","clear, willows on edges within little effect",good measurement Mid-section,19.4,8.33,0.948,14.0,18.0,Final/Finales,3.94
07DA008,2020-08-15T16:15:00,-7,Stage/Niveau d'eau,1.584,,,,,,,,,HG: 1.597 SRC: -0.013 Reset (RS),,,,,,Final/Finales,
07DA008,2020-06-06T17:37:30,-7,Discharge/Débit,,1.876,15.9,8.0,-0.036,0.059499998,-0.00029999999,"Measurement condition : Clear; Cloudy , No Precipitation ,  ","clear control, water level into willow branches on edges","near maximum wade, above control 50m downstream  max velocity 1.2m   Corrected M.G.H. includes Sensor Reset Correction of 0.002 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.874 steady stage, slight riffle through gauge pool Mid-section",19.5,13.9,1.14,15.0,12.0,Final/Finales,
07DA008,2020-06-06T17:15:00,-7,Stage/Niveau d'eau,1.877,,,,,,,,,HG: 1.875 SRC: 0.002 No Reset (NR),,,,,,Final/Finales,
07DA008,2020-05-09T17:40:30,-7,Discharge/Débit,,1.753,12.1,,-0.102,0.0511,-0.0011999999,"Measurement condition : Clear; Cloudy , No Precipitation ,  ","no ice, section control with downstream riffle ","Max wade at 1.753 50m d/s (waist deep), good measurement  Peak this spring, leveling off over last day. Steady WL",19.5,11.3,1.07,9.0,6.0,Final/Finales,
07DA008,2020-05-09T17:05:00,-7,Stage/Niveau d'eau,1.752,,,,,,,,,HG: 1.775 Sensor Reset Correction of -0.023 Reset (RS),,,,,,Final/Finales,
07DA008,2020-03-20T17:35:30,-7,Discharge/Débit,,1.405,0.234,8.0,-0.409,-0.92120004,-0.9202,"Measurement condition : Ice; Clear , No Precipitation ,  ","CIC, nearly to bottom. 10cm of snow in area","good mmnt, flow centered in channel  Corrected M.G.H. includes Sensor Reset Correction of -0.013 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.418 same SRC as Jan 9, small jump due to drilling",7.5,1.75,0.134,-10.0,0.1,Final/Finales,
07DA008,2020-03-20T17:00:00,-7,Stage/Niveau d'eau,1.406,,,,,,,,,HG: 1.419 Sensor Reset Correction of -0.013 No Reset (NR),,,,,,Final/Finales,
07DA008,2020-01-13T21:50:00,-7,Stage/Niveau d'eau,1.276,,,,,,,,,Source:eHSN v1.3 Upgraded from 'Logger Value' field.,,,,,,Final/Finales,
07DA008,2020-01-09T20:33:00,-7,Discharge/Débit,,1.281,0.543,,,,,,,Discharge Remarks: good mmnt Control Condition Remarks: cic  5.00 metres above gauge MGH has had sensor reset applied at upload (1.293 + -0.012) Sources:eHSN v1.3,10.5,2.89,0.188,-22.0,0.0,Final/Finales,
07DA008,2020-01-09T19:45:00,-7,Stage/Niveau d'eau,1.281,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of -0.012,,,,,,Final/Finales,
07DA008,2019-10-04T17:41:00,-7,Discharge/Débit,,1.405,2.94,,,,,,,30.0 metres below gauge MGH has had sensor reset applied at upload (1.403 + 0.002) Sources:eHSN v1.3,18.5,6.99,0.42,10.0,5.0,Final/Finales,
07DA008,2019-10-04T17:15:00,-7,Stage/Niveau d'eau,1.405,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of 0.002,,,,,,Final/Finales,
07DA008,2019-08-23T18:26:30,-7,Discharge/Débit,,1.795,12.4,,,,,,,Discharge Remarks: River swollen Control Condition Remarks: clear 50.0 metres above gauge Sources:eHSN v1.3,18.8,12.1,1.03,15.0,14.5,Final/Finales,
07DA008,2019-08-23T17:40:00,-7,Stage/Niveau d'eau,1.794,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of 0.040,,,,,,Final/Finales,
07DA008,2019-06-16T15:56:30,-7,Discharge/Débit,,1.287,1.11,,,,,,,Discharge Remarks: some gravel bars evident 5.00 metres above gauge MGH has had sensor reset applied at upload (1.287 + 0.000) Sources:eHSN v1.3,11.9,5.31,0.208,19.0,18.0,Final/Finales,
07DA008,2019-06-16T15:20:00,-7,Stage/Niveau d'eau,1.287,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of -0.010,,,,,,Final/Finales,
07DA008,2019-05-09T19:33:30,-7,Discharge/Débit,,1.355,2.24,,,,,,,30.0 metres below gauge MGH has had sensor reset applied at upload (1.365 + -0.010) Sources:eHSN v1.3,17.5,6.52,0.344,18.0,9.0,Final/Finales,
07DA008,2019-05-09T19:20:00,-7,Stage/Niveau d'eau,1.357,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of -0.010,,,,,,Final/Finales,
07DA008,2019-03-15T16:10:00,-7,Stage/Niveau d'eau,1.323,,,,,,,,,Source:eHSN v1.3 Sensor Reset Correction of -0.267,,,,,,Final/Finales,
07DA008,2019-03-15T16:01:30,-7,Discharge/Débit,,1.323,0.284,,,,,,,Discharge Remarks: cic some open leads d/s. ice surface re frozen Control Condition Remarks: cic 5.00 metres above gauge MGH has had sensor reset applied at upload (1.590 + -0.267) Sources:eHSN v1.3,11.0,2.05,0.139,4.0,0.0,Final/Finales,
