Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07DD001,AdjustableTrim,HG,2023-10-14T11:25:00,2023-10-15T15:55:00,2023-10-16T15:32:23,-7,,"LowerThresholdPoints:(Time:2023-10-14T11:25:00Z,Value:212.8265176445929);(Time:2023-10-15T15:55:00Z,Value:212.81180584936322),TrimAction:Delete",Normal
07DD001,AdjustableTrim,HG,2023-09-17T00:35:00,2023-09-17T02:50:00,2023-10-06T13:21:57,-7,TRIM ISOLATED SPIKE,"LowerThresholdPoints:(Time:2023-09-17T00:35:00Z,Value:213.3306881752979);(Time:2023-09-17T02:50:00Z,Value:213.3306881752979),TrimAction:Delete",Normal
07DD001,AdjustableTrim,HG,2023-09-07T22:10:00,2023-09-07T23:25:00,2023-10-06T13:21:23,-7,TRIM ISOLATED SPIKE,"UpperThresholdPoints:(Time:2023-09-07T22:10:00Z,Value:213.74956155591602);(Time:2023-09-07T23:25:00Z,Value:213.74956155591602),TrimAction:Delete",Normal
07DD001,AdjustableTrim,HG,2023-07-17T09:30:00,2023-07-17T11:25:00,2023-07-17T13:27:15,-7,TRIM ISOLATED SPIKE,"LowerThresholdPoints:(Time:2023-07-17T09:30:00Z,Value:214.12126587551876);(Time:2023-07-17T11:25:00Z,Value:214.12126587551876),TrimAction:Delete",Normal
07DD001,AdjustableTrim,HG,2023-06-23T15:30:00,2023-06-23T20:45:00,2023-06-23T21:55:23,-7,TRIM SPIKES - MAINTENANCE,"LowerThresholdPoints:(Time:2023-06-23T15:30:00Z,Value:215.0334588463574);(Time:2023-06-23T20:45:00Z,Value:215.0334588463574),UpperThresholdPoints:(Time:2023-06-23T15:30:00Z,Value:215.14354685719871);(Time:2023-06-23T15:59:34.789Z,Value:215.15006520173412);(Time:2023-06-23T20:45:00Z,Value:215.29073511405494),TrimAction:Delete",Normal
07DD001,CopyPaste,QR,2023-06-23T15:15:00,2023-06-23T20:30:00,2023-11-22T14:47:37,-7,ESTIMATE DISCHARGE DURING PERIOD OF INVALID STAGE. PARTIAL DAY - PARTIAL STAGE RECORDOverride: Linear‌Q(t) = (169.0339535202802)t + 1540.578666385984‌,,Normal
07DD001,Drift,HG,2023-06-23T14:55:00,2023-08-20T15:55:00,2023-08-21T15:38:43,-7,SRC (0.000 TO 0.014m) RESET,"DriftPoints:(Offset:0,Time:2023-06-23T14:55:00Z);(Offset:0.014,Time:2023-08-20T15:55:00Z)",Normal
07DD001,AdjustableTrim,HG,2023-06-23T07:00:00,2023-06-23T15:15:00,2023-11-21T20:58:16,-7,TRIM INVALID RECORD - SILTING,"LowerThresholdPoints:(Time:2023-06-23T07:00:00Z,Value:215.02231751315725);(Time:2023-06-23T09:22:33.418Z,Value:215.0581860622038);(Time:2023-06-23T12:21:04.74Z,Value:215.08337036259815);(Time:2023-06-23T15:15:00Z,Value:215.02231751315725),UpperThresholdPoints:(Time:2023-06-23T07:00:00Z,Value:215.06429134714784);(Time:2023-06-23T07:57:48.246Z,Value:215.0658176683839);(Time:2023-06-23T09:44:11.76Z,Value:215.0848966838342);(Time:2023-06-23T10:52:43.177Z,Value:215.10244937804845);(Time:2023-06-23T12:17:28.35Z,Value:215.11542310855464);(Time:2023-06-23T15:15:00Z,Value:215.1543443000732),TrimAction:Delete",Normal
07DD001,Offset,HG,2023-06-21T10:10:00,2023-06-22T09:15:00,2023-06-22T20:48:19,-7,eSRC OFFSET -0.020mSUSPECT ORIFICE PARTIALLY BLOCKED (SILT),Offset:-0.02,Normal
07DD001,AdjustableTrim,HG,2023-06-21T07:00:00,2023-06-23T07:00:00,2023-11-21T20:55:10,-7,TRIM INVALID RECORD - SILTING,"LowerThresholdPoints:(Time:2023-06-21T07:00:00Z,Value:214.48817467987132);(Time:2023-06-21T08:39:12.421Z,Value:214.48867928748945);(Time:2023-06-21T17:25:57.69Z,Value:214.53813083406766);(Time:2023-06-21T22:07:54.349Z,Value:214.5694165063927);(Time:2023-06-22T03:48:59.373Z,Value:214.6168887231782);(Time:2023-06-22T09:43:49.607Z,Value:214.69604334490268);(Time:2023-06-22T14:06:30.974Z,Value:214.76263346700406);(Time:2023-06-23T07:00:00Z,Value:215.01640168778107),UpperThresholdPoints:(Time:2023-06-21T07:00:00Z,Value:214.50380089435362);(Time:2023-06-21T08:54:23.713Z,Value:214.49985225856344);(Time:2023-06-21T11:57:58.786Z,Value:214.51728263593841);(Time:2023-06-21T16:39:51.877Z,Value:214.54566592260926);(Time:2023-06-21T21:45:49.829Z,Value:214.58347419788703);(Time:2023-06-22T01:49:20.49Z,Value:214.61757913678554);(Time:2023-06-22T06:01:24.813Z,Value:214.6740518065373);(Time:2023-06-22T07:11:05.271Z,Value:214.68825058645965);(Time:2023-06-22T09:22:07.194Z,Value:214.7120487995602);(Time:2023-06-22T10:17:31.569Z,Value:214.73287947311508);(Time:2023-06-22T14:28:28.008Z,Value:214.80340905291874);(Time:2023-06-22T17:19:53.037Z,Value:214.840103164732);(Time:2023-06-23T02:50:34.767Z,Value:215.0078298312332);(Time:2023-06-23T05:42:46.709Z,Value:215.03210393032566);(Time:2023-06-23T07:00:00Z,Value:215.0806886596034),TrimAction:Delete",Normal
