STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07FC003,H,2011,H,8.0,5,12,5.0,20.0,PST,4.73199987411499, ,Maximum
07FC003,H,2012,H,8.0,6,7,22.0,5.0,PST,7.335000038146973, ,Maximum
07FC003,H,2012,L,8.0,2,19,11.0,5.0,PST,1.725000023841858, ,Minimum
07FC003,H,2013,H,8.0,6,28,11.0,15.0,PST,7.446000099182129, ,Maximum
07FC003,H,2014,H,8.0,5,2,4.0,0.0,PST,4.910999774932861, ,Maximum
07FC003,H,2014,L,8.0,7,27,21.0,5.0,PST,1.840999960899353, ,Minimum
07FC003,H,2015,H,8.0,4,29,10.0,0.0,PST,3.788000106811523, ,Maximum
07FC003,H,2015,L,8.0,7,5,22.0,30.0,PST,1.875, ,Minimum
07FC003,H,2016,H,8.0,9,3,8.0,30.0,PST,4.946000099182129, ,Maximum
07FC003,H,2016,L,8.0,7,31,20.0,5.0,PST,1.8819999694824217, ,Minimum
07FC003,H,2017,H,8.0,5,13,17.0,5.0,PST,9.234000205993652, ,Maximum
07FC003,H,2017,L,8.0,9,10,12.0,15.0,PST,1.5180000066757202, ,Minimum
07FC003,H,2018,H,8.0,6,27,7.0,25.0,PST,4.797999858856201, ,Maximum
07FC003,H,2018,L,8.0,8,19,4.0,55.0,PST,1.5329999923706057, ,Minimum
07FC003,H,2019,H,8.0,8,20,0.0,30.0,PST,3.5969998836517334, ,Maximum
07FC003,H,2019,L,8.0,6,23,18.0,15.0,PST,1.6460000276565552, ,Minimum
07FC003,H,2020,H,8.0,6,16,11.0,45.0,PST,5.968999862670898, ,Maximum
07FC003,H,2021,L,8.0,8,7,3.0,55.0,PST,1.5679999589920044, ,Minimum
07FC003,H,2022,H,8.0,5,28,18.0,0.0,PST,4.230000019073486, ,Maximum
07FC003,H,2023,H,8.0,5,23,21.0,35.0,PST,3.259000062942505, ,Maximum
