Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07FD009,2024-06-10T19:21:00,-7,Discharge/Débit,,1.156,0.968,15.0,0.0827,2.4264998,0.0,"Measurement condition : Scour; Partly Cloudy , No Precipitation , Calm Wind ",Channel is scoured indicated by measured value,Channel seems clear of debris. Had to manually enter measurement due to misnaming file. Purged orifice at 12:04 did not reset until after the measurement. WL holding steady after purge. Mid-section,13.5,2.02,0.479,15.0,16.8,Provisional/Provisoire,4.0
07FD009,2024-06-10T18:55:00,-7,Stage/Niveau d'eau,1.156,,,,,,,,,HG: 1.152 Purged  (PU),,,,,,Provisional/Provisoire,
07FD009,2024-04-30T19:30:30,-7,Discharge/Débit,,1.171,1.33,15.0,0.1,2.4972,0.2736,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",Free of ice.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",13.0,2.18,0.609,5.0,7.0,Provisional/Provisoire,8.63
07FD009,2024-04-30T19:10:00,-7,Stage/Niveau d'eau,1.171,,,,,,,,,HG: 1.167 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
07FD009,2024-04-10T16:43:30,-7,Discharge/Débit,,1.138,0.207,15.0,0.00481,0.1374,-0.7115,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",Downstream of gauge still ice covered. Snow in the trees surrounding site. Water level falling during measurement.,"Still 80% ice cover. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ WL Falling during mmt. Mid-section",8.0,1.49,0.139,6.0,0.0,Provisional/Provisoire,29.3
07FD009,2024-04-10T16:10:00,-7,Stage/Niveau d'eau,1.164,,,,,,,,,HG: 1.163 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07FD009,2024-03-13T17:00:00,-7,Discharge/Débit,,0.91,0.0,15.0,,,,"Measurement condition : No Flow; Clear , No Precipitation , Light Wind ","Channel is dry, there is no water. 30cm of ice, with 15cm air space beneath it. ",Zero fow - channel dry! Tank empty on arrival: accubar reading atmospheric pressure in dry space beneath the ice. Changed tank @  Other Methods Estimated,,,,-3.0,,Provisional/Provisoire,
07FD009,2023-10-19T16:47:00,-7,Discharge/Débit,,1.038,0.076,15.0,-0.075,,0.0087,"Measurement condition : Scour; Clear , No Precipitation , Calm Wind ",Persistent scour still present. Section control. ,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Channel will likely freeze solid/dry again this winter. Orifice is in deepest spot. Did not purge, no need, did not want to disturb pressure system - working well.  Mid-section",5.75,0.576,0.131,6.0,6.0,Provisional/Provisoire,17.4
07FD009,2023-10-19T16:30:00,-7,Stage/Niveau d'eau,1.039,,,,,,,,,HG: 1.047 Found (FD),,,,,,Provisional/Provisoire,
07FD009,2023-09-20T20:40:00,-7,Stage/Niveau d'eau,0.986,,,,,,,,,GC: 0.000 HG: 0.983 No Reset (NR),,,,,,Provisional/Provisoire,
