Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07GB001,DeleteRegion,HG,2024-01-01T07:00:00,2024-03-01T06:59:59,2024-02-01T17:57:52,-7,DR - OUTSIDE OF OPERATING PERIOD,,Normal
07GB001,DeleteRegion,HG,2023-11-01T07:00:00,2024-01-01T06:59:59,2023-10-30T21:06:28,-7,DR - OUTSIDE OF OPERATING PERIOD,,Normal
07GB001,CopyPaste,QR,2023-10-24T17:10:00,2023-11-01T06:55:00,2023-12-12T16:17:19,-7,ESTIMATED ICE RECORDOverride: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07GB001,DeleteRegion,HG,2023-08-03T22:15:00,2023-08-03T22:15:00,2023-08-04T14:33:32,-7,DURING VISIT,,Normal
07GB001,Deviation,HG,2023-06-22T10:45:00,2023-08-03T22:20:00,2024-02-01T17:54:03,-7,REDUCED SIGNAL NOISE FROM SILTATION,"DeviationValue:0.005,DeviationType:DeviationFromAverage,WindowSizeInMinutes:60",Normal
07GB001,Offset,HG,2023-06-19T21:50:00,2023-08-03T22:10:00,2023-08-04T14:35:54,-7,SRC - 0.263- CARRIED BACK TO PEAK DURING HIGH WATER - RESET,Offset:-0.263,Normal
07GB001,AdjustableTrim,HG,2023-06-19T21:20:00,2023-06-19T23:05:00,2023-12-12T17:05:10,-7,DR - SPIKING AT PEAK IS TRIMMED OFF,"UpperThresholdPoints:(Time:2023-06-19T21:20:00Z,Value:3.051841297756942);(Time:2023-06-19T22:01:47.513Z,Value:3.0345223733334747);(Time:2023-06-19T22:13:43.132Z,Value:2.987513864184065);(Time:2023-06-19T23:05:00Z,Value:2.9405053644727195),TrimAction:Delete",Normal
07GB001,Offset,HG,2023-06-19T21:10:00,2023-06-19T22:10:00,2023-12-11T21:10:48,-7,est src -0.064 - OFFSET TO BETTER ALIGN THE RECORD - SUSPECT MULTIPLE ORIFICE MOVEMENTS,Offset:-0.064,Normal
07GB001,DeleteRegion,HG,2023-06-15T18:50:00,2023-06-15T18:55:00,2023-06-16T15:44:22,-7,LINE PURGED,,Normal
07GB001,Drift,HG,2023-05-02T21:40:00,2023-06-15T18:45:00,2023-06-16T15:43:13,-7,"SRC - (0.000 TO -0.015) RESET, APPLY FROM PREVIOUS VISIT WHERE NO SRC WAS ASSUMED DUE TO SURGE","DriftPoints:(Offset:0,Time:2023-05-02T21:40:00Z);(Offset:-0.015,Time:2023-06-15T18:45:00Z)",Normal
07GB001,CopyPaste,QR,2023-04-24T23:30:00,2023-04-28T05:15:00,2024-01-15T21:25:49,-7,ESTIMATED DISCHARGE DURING ICE PERIODOverride: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07GB001,CopyPaste,QR,2023-04-24T17:45:00,2023-04-28T05:15:00,2024-02-01T20:34:00,-7,MINOR ADJUSTMENTS FOR MELTOverride: Freehand‌,,Normal
07GB001,CopyPaste,QR,2023-04-07T17:05:00,2023-04-12T06:35:00,2023-12-19T15:57:38,-7,ICEOverride: Linear‌Q(t) = (0.629600263904051)t + 1.0289593114047384‌,,Normal
07GB001,Offset,QR,2023-04-05T18:00:00,2023-04-05T18:00:00,2023-05-17T14:21:57,-7,OFFSET FOR OWE,Offset:-0.646,Normal
07GB001,CopyPaste,QR,2023-04-05T18:00:00,2023-04-24T23:25:00,2023-12-11T22:54:50,-7,ICE AFFECTED PERIODOverride: Linear‌Q(t) = (0.5503814067704216)t + 0.44882011001094424‌with freehand adjustment‌,,Normal
07GB001,CopyPaste,QR,2023-04-05T15:50:00,2023-04-07T19:05:00,2023-12-19T15:56:37,-7,ICEOverride: Log Linear‌Q(t) = 0.44873824121863e^(0.4044004664161845t)‌,,Normal
07GB001,CopyPaste,HG,2023-03-28T21:55:00,2023-03-29T10:00:00,2023-12-12T16:55:57,-7,"C&P FROM LOGGED DATA FOR TELEMETRY GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@07GB001, time shift: 00:00 minutes.‌",,Normal
