Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07JC002,DeleteRegion,HG,2023-11-01T07:00:00,2024-02-28T07:00:00,2023-11-01T14:04:02,-7,OUT OF OPERATING PERIOD,,Normal
07JC002,CopyPaste,HG,2023-10-15T21:00:00,2023-11-01T07:00:00,2023-11-16T18:40:01,-7,"USING HG2 RECORDOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JC002, time shift: 00:00 minutes.‌",,Normal
07JC002,DeleteRegion,HG,2023-10-09T20:00:00,2023-10-09T20:00:00,2023-10-10T14:12:25,-7,DR - SPIKE,,Normal
07JC002,DeleteRegion,HG,2023-09-20T17:25:00,2023-09-20T17:25:00,2023-09-21T13:36:47,-7,DR - SPIKE,,Normal
07JC002,DeleteRegion,HG,2023-08-11T08:15:00,2023-08-11T08:15:00,2023-09-21T13:36:17,-7,DR - SPIKE,,Normal
07JC002,Drift,HG,2023-08-08T20:05:00,2023-10-15T20:55:00,2023-10-16T15:26:25,-7,SRC (0.000 TO -0.044m) RESET,"DriftPoints:(Offset:0,Time:2023-08-08T20:05:00Z);(Offset:-0.044,Time:2023-10-15T20:55:00Z)",Normal
07JC002,DeleteRegion,HG,2023-07-26T07:55:00,2023-07-26T07:55:00,2023-08-02T17:23:05,-7,SPIKE FROM PUMPING,,Normal
07JC002,Drift,HG,2023-06-25T20:15:00,2023-08-08T20:00:00,2023-08-09T15:28:25,-7,SRC (0.010 m) - RESET,"DriftPoints:(Offset:0,Time:2023-06-25T20:15:00Z);(Offset:0.01,Time:2023-08-08T20:00:00Z)",Normal
07JC002,Drift,HG,2023-05-09T20:55:00,2023-06-25T20:10:00,2023-06-26T16:30:00,-7,SRC (0.000 TO -0.016m) RESET,"DriftPoints:(Offset:0,Time:2023-05-09T20:55:00Z);(Offset:-0.016,Time:2023-06-25T20:10:00Z)",Normal
07JC002,CopyPaste,QR,2023-04-06T21:40:00,2023-04-26T20:25:00,2023-05-23T17:59:43,-7,Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07JC002,Drift,HG,2023-03-13T19:20:00,2023-05-09T20:50:00,2023-05-10T21:58:26,-7,EST SRC (0.284m TO 0.236m) RESETALIGNING FOUND SRC WITH PRIOR DWL THAT WAS NOT RESET,"DriftPoints:(Offset:0.284,Time:2023-03-13T19:20:00Z);(Offset:0.236,Time:2023-05-09T20:50:00Z)",Normal
07JC002,SinglePoint,HG,2023-03-13T19:07:00,2023-03-13T19:07:00,2023-03-15T18:08:40,-7,INSERT DWL VALUE,Value:0.605,Normal
07JC002,CopyPaste,QR,2023-03-13T19:05:00,2023-04-06T21:40:00,2023-05-23T17:57:11,-7,DISCHARGE ESTIMATED UNDER ICEOverride: Linear‌Q(t) = (-1.8122875978248248e-10)t + 0.023500004368997497‌,,Normal
07JC002,CopyPaste,QR,2023-03-01T07:05:00,2023-03-13T19:07:00,2023-05-23T17:56:21,-7,DISCHARGE ESTIMATED UNDER ICEOverride: Linear‌Q(t) = (-0.0000031456781969567105)t + 0.023539325346459455‌,,Normal
07JC002,DeleteRegion,HG,2023-03-01T07:00:00,2023-03-13T19:15:00,2023-03-15T18:08:19,-7,DR - WELL FROZEN,,Normal
07JC002,SinglePoint,QR,2023-03-01T07:00:00,2023-03-01T07:00:00,2023-05-23T17:54:53,-7,DISCHARGE ESTIMATED UNDER ICE,Value:0.0235,Normal
07JC002,DeleteRegion,HG,2022-11-05T07:00:00,2023-03-01T06:55:00,2023-09-12T15:12:44,-7,DR - OUTSIDE OF PERIOD OF OPERATION,,Normal
07JC002,CopyPaste,QR,2022-11-01T17:30:00,2022-11-05T06:55:00,2023-09-13T21:04:34,-7,Override: Freehand‌Override: Freehand‌,,Normal
07JC002,DeleteRegion,HG,2022-10-13T08:05:00,2022-10-13T08:35:00,2023-09-13T17:16:37,-7,DR - SPIKE,,Normal
