STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07JD002,H,2012,H,8.0,4,27,21.0,46.0,MST,3.4159998893737797,,Maximum
07JD002,H,2012,L,8.0,10,31,9.0,1.0,MST,1.3969999551773071,,Minimum
07JD002,H,2014,L,8.0,11,8,20.0,30.0,MST,1.2480000257492063,,Minimum
07JD002,H,2015,L,8.0,8,4,13.0,20.0,MST,1.1820000410079956,,Minimum
07JD002,H,2016,H,8.0,11,25,12.0,10.0,MST,3.319999933242798,,Maximum
07JD002,H,2016,L,8.0,8,1,15.0,0.0,MST,1.4049999713897705,,Minimum
07JD002,H,2017,H,8.0,5,18,12.0,0.0,MST,2.5850000381469727, ,Maximum
07JD002,H,2017,L,8.0,11,3,11.0,15.0,MST,1.2289999723434448, ,Minimum
07JD002,H,2018,H,8.0,7,2,9.0,15.0,MST,3.24399995803833,,Maximum
07JD002,H,2018,L,8.0,11,7,18.0,15.0,MST,1.3259999752044678,,Minimum
07JD002,H,2019,H,8.0,8,30,17.0,20.0,MST,2.4110000133514404, ,Maximum
07JD002,H,2020,H,8.0,11,6,7.0,5.0,MST,3.808000087738037, ,Maximum
07JD002,H,2020,L,8.0,1,24,7.0,5.0,MST,1.830000042915344, ,Minimum
07JD002,H,2021,L,8.0,8,31,6.0,0.0,MST,1.2979999780654907, ,Minimum
07JD002,H,2023,H,8.0,4,23,8.0,20.0,MST,2.838000059127808, ,Maximum
07JD002,H,2023,L,8.0,7,24,20.0,55.0,MST,1.496000051498413, ,Minimum
07JD002,Q,1973,H,,6,19,12.0,0.0,MST,1630.0,,Maximum
07JD002,Q,1974,H,,4,27,17.0,0.0,MST,1700.0,A,Maximum
07JD002,Q,1975,H,,9,2,23.0,0.0,MST,728.0,,Maximum
07JD002,Q,1976,H,,4,17,17.0,30.0,MST,416.0,,Maximum
07JD002,Q,1977,H,,6,5,21.0,30.0,MST,354.0,,Maximum
07JD002,Q,1978,H,,9,19,22.0,0.0,MST,442.0,,Maximum
07JD002,Q,1979,H,,5,30,14.0,0.0,MST,554.0,,Maximum
07JD002,Q,1980,H,,8,9,15.0,0.0,MST,228.0,,Maximum
07JD002,Q,1981,H,,4,27,16.0,0.0,MST,535.0,,Maximum
07JD002,Q,1982,H,,4,30,11.0,0.0,MST,325.0,,Maximum
07JD002,Q,1983,H,,7,29,16.0,30.0,MST,839.0,,Maximum
07JD002,Q,1984,H,,6,5,3.0,0.0,MST,730.0,,Maximum
07JD002,Q,1985,H,,5,8,6.0,30.0,MST,641.0,,Maximum
07JD002,Q,1986,H,,6,23,,,,579.0,A,Maximum
07JD002,Q,1987,H,,8,3,3.0,0.0,MST,596.0,,Maximum
07JD002,Q,1988,H,,7,17,14.0,0.0,MST,1020.0,,Maximum
07JD002,Q,1989,H,,5,3,1.0,0.0,MST,430.0,,Maximum
07JD002,Q,1990,H,,5,10,1.0,0.0,MST,522.0,,Maximum
07JD002,Q,1991,H,,6,17,,,,1120.0,,Maximum
07JD002,Q,1992,H,,6,12,17.0,0.0,MST,406.0,,Maximum
07JD002,Q,1994,H,,7,9,22.0,30.0,MST,251.0,,Maximum
07JD002,Q,1995,H,,4,29,12.0,0.0,MST,440.0,,Maximum
07JD002,Q,1996,H,,8,9,9.0,0.0,MST,720.0,,Maximum
07JD002,Q,1999,L,,12,17,0.0,0.0,MST,2.5299999713897705,B,Minimum
07JD002,Q,2000,H,,7,16,8.0,40.0,MST,165.0, ,Maximum
07JD002,Q,2000,L,,3,11,0.0,0.0,MST,1.3700000047683716,B,Minimum
07JD002,Q,2001,L,,3,20,0.0,0.0,MST,6.179999828338623,B,Minimum
07JD002,Q,2002,L,,12,31,14.0,15.0,MST,1.2599999904632568,B,Minimum
07JD002,Q,2003,H,,4,26,23.0,30.0,MST,309.0, ,Maximum
07JD002,Q,2003,L,,3,31,0.0,0.0,MST,0.14399999380111694,B,Minimum
07JD002,Q,2004,H,,4,24,5.0,55.0,MST,168.0, ,Maximum
07JD002,Q,2004,L,,2,16,1.0,30.0,MST,7.329999923706055,B,Minimum
07JD002,Q,2006,H,,7,12,7.0,1.0,MST,333.0, ,Maximum
07JD002,Q,2007,H,,5,9,6.0,1.0,MST,858.0, ,Maximum
07JD002,Q,2009,H,,4,24,2.0,1.0,MST,234.0, ,Maximum
07JD002,Q,2010,H,,4,24,10.0,16.0,MST,117.0, ,Maximum
07JD002,Q,2011,H,,5,10,4.0,46.0,MST,289.0, ,Maximum
07JD002,Q,2012,H,,5,1,23.0,31.0,MST,258.0,,Maximum
07JD002,Q,2016,H,,9,16,12.0,30.0,MST,119.0,,Maximum
07JD002,Q,2017,H,,5,18,12.0,0.0,MST,250.0, ,Maximum
07JD002,Q,2017,L,,12,31,23.0,55.0,MST,8.289999961853027,B,Minimum
07JD002,Q,2018,H,,7,2,9.0,15.0,MST,440.0,,Maximum
07JD002,Q,2019,H,,8,30,17.0,20.0,MST,202.0, ,Maximum
07JD002,Q,2020,H,,6,12,19.0,55.0,MST,528.0, ,Maximum
07JD002,Q,2021,H,,5,14,13.0,50.0,MST,205.0, ,Maximum
07JD002,Q,2023,H,,4,29,8.0,15.0,MST,176.0, ,Maximum
