Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07JD002,2024-05-09T21:35:30,-7,Discharge/Débit,,1.581,41.1,7.0,-0.00709,-0.0208,-0.0208,Measurement condition : Clear; Clear  No Precipitation  Heavy Wind Blowing Downstream,Clear,@ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @. .Max Wade. Standard errors over QA/QC due to water velocity making probe shake. Station out of gas sensor line found torn above water line pulled until it broke. No valid data after station ran out of gas.. No obvious high water marks. New orifice and tank installed set to water level prior to measurement. New orifice in 0.842m of water.  Mid-section,110.0,52.2,0.787,20.0,10.0,Provisional/Provisoire,7.37
07JD002,2024-05-09T20:40:00,-7,Stage/Niveau d'eau,1.583,,,,,,,,,HG: 1.594 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
07JD002,2024-03-14T16:00:00,-7,Stage/Niveau d'eau,1.85,,,,,,,,,GC: 0.000 HG: 1.807 DWL,,,,,,Provisional/Provisoire,
07JD002,2024-02-01T17:30:00,-7,Stage/Niveau d'eau,1.76,,,,,,,,,GC: 0.000 HG: 1.751 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-12-14T17:50:00,-7,Stage/Niveau d'eau,1.789,,,,,,,,,GC: 0.000 HG: 1.878 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-10-18T18:27:00,-7,Discharge/Débit,,1.92,37.3,,0.378,-0.602,-0.62409997,Measurement condition : ; Smokey  No Precipitation  Calm Wind Swirling/Variable,Control altered by bridge construction all flow restricted to left bank stage in gauge pool has no relation to downstream discharge.,FT2 wade downstream of construction too deep to wade above construction no way to perform ADCP due to construction. High standard error and velocity angles due to water velocity caused by construction. @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ In stream construction restricting flow to far left bank only 15m wide. Shallow high flow through this section the remainder of the river is dammed. Upstream  of bridge deep downstream shallow. Cannot perform ADCP measurements due to construction stage and discharge likely no relationship any more. WWG shaking significantly due to construction took DWL to confirm water level. No reset stage stable. Mid-section,95.0,44.3,0.842,3.0,,Provisional/Provisoire,6.16
07JD002,2023-10-18T17:10:00,-7,Stage/Niveau d'eau,1.92,,,,,,,,,GC: 0.000 HG: 1.921 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-08-13T19:10:00,-7,Stage/Niveau d'eau,1.866,,,,,,,,,GC: 0.000 HG: 1.866 Reset (RS),,,,,,Provisional/Provisoire,
07JD002,2023-08-13T18:35:00,-7,Stage/Niveau d'eau,1.866,,,,,,,,,GC: 0.000 HG: 3.918 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-08-13T17:36:00,-7,Discharge/Débit,,1.864,89.0,4.0,0.0286,0.0615,-0.0008,Measurement condition : Clear; Clear  No Precipitation  Calm Wind Swirling/Variable,Clear,@ Uncertainty: ISO method 2-sigma value (1 x Uncertainty Value reported in *.xml File). @  SXS measurement off of bridge. Extra panels to cover whole river and reduce 10% panels. Skipped panels in middle to avoid bridge pillar causing interference and eddies. Right bank has unusual flow angles due to eddie.  Stage painting purged after DWL. Reset after purge. Bubbler install caused invalid record from 11:15 to 12:10. Bubbler functioning and set to water level at 12:10. Mid-section,98.0,81.6,1.09,22.0,18.9,Provisional/Provisoire,1.81
07JD002,2023-08-13T16:20:00,-7,Stage/Niveau d'eau,1.861,,,,,,,,,GC: 0.000 HG: 1.872 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-06-29T15:50:00,-7,Discharge/Débit,,1.731,59.7,7.0,-0.0188,-0.0446,-0.0446,Measurement condition : Clear; Clear  No Precipitation  Calm Wind Swirling/Variable,Low water vegetation growing in channel along edges. New bridge construction causing altered banks. Large concrete adn steel supports being built in to banks altering channel monphology downstream of gauge.,@ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Wading measurement downstream of new bridge construction. Good measurement sonme standart error greater than QC. DWL from WWG. Initial reset did not take record painting. Purged after firsrt reset and then reset again. Mid-section,104.0,66.4,0.9,25.0,22.5,Provisional/Provisoire,3.71
07JD002,2023-06-29T14:40:00,-7,Stage/Niveau d'eau,1.732,,,,,,,,,GC: 0.000 HG: 1.719 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-05-10T18:05:00,-7,Stage/Niveau d'eau,1.97,,,,,,,,,HG: 1.978 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-02-02T19:05:00,-7,Stage/Niveau d'eau,1.7,,,,,,,,,GC: 0.000 HG: 1.720 Found (FD),,,,,,Provisional/Provisoire,
07JD002,2023-02-02T18:35:30,-7,Discharge/Débit,,1.7,9.85,7.0,-0.462,-0.83,-0.83,Measurement condition : Ice; Mostly Cloudy  No Precipitation  Light Wind Swirling/Variable,CIC,@ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement. Some various panels with spikes and low SNR mostly no errors. DWL from WWG no gauge correction.  Mid-section,66.0,25.1,0.392,-29.0,0.0,Provisional/Provisoire,8.46
07JD002,2022-12-15T18:01:00,-7,Discharge/Débit,,1.575,8.36,7.0,-0.38,-0.79730004,-0.79730004,Measurement condition : Ice; Clear  No Precipitation  Calm Wind Swirling/Variable,CIC  ~ 35 cm thick ice,Good quality ice mmnt no major issues Mid-section,68.0,19.0,0.44,-17.0,0.0,Final/Finales,9.48
07JD002,2022-11-03T16:50:00,-7,Stage/Niveau d'eau,1.46,,,,,,,,,GC: 0.000 HG: 1.458 Found (FD),,,,,,Final/Finales,
07JD002,2022-09-26T22:00:00,-7,Stage/Niveau d'eau,1.568,,,,,,,,,HG: 1.565 No Reset (NR),,,,,,Final/Finales,
07JD002,2022-08-15T21:30:30,-7,Discharge/Débit,,1.726,59.6,7.0,-0.0145,-0.0346,-0.0346,Measurement condition : Altered; Partly Cloudy  No Precipitation  Calm Wind ,Very large log jam attached to main bridge peir.,Bridge SxS Mid-section,105.0,72.9,0.818,22.0,19.0,Final/Finales,2.73
07JD002,2022-08-15T21:00:00,-7,Stage/Niveau d'eau,1.728,,,,,,,,,GC: 0.000 HG: 1.726,,,,,,Final/Finales,
07JD002,2022-06-26T18:35:00,-7,Stage/Niveau d'eau,2.562,,,,,,,,,HG: 2.436 Reset (RS),,,,,,Final/Finales,
07JD002,2022-05-12T17:24:00,-7,Discharge/Débit,,3.294,470.0,7.0,0.0746,0.0531,-0.0002,Measurement condition : Clear; Clear  No Precipitation  Calm Wind ,High Water,No Debris Reset orifice before mmt. Orifice unsettled during vcisit Mid-section,129.0,263.0,1.79,5.0,5.0,Final/Finales,2.31
07JD002,2022-05-12T16:10:00,-7,Stage/Niveau d'eau,3.296,,,,,,,,,GC: 0.000 HG: 3.151 Reset (RS),,,,,,Final/Finales,
07JD002,2022-05-09T18:05:00,-7,Stage/Niveau d'eau,3.255,,,,,,,,,HG: 2.375 Reset (RS),,,,,,Final/Finales,
07JD002,2022-03-14T23:00:00,-7,Stage/Niveau d'eau,1.878,,,,,,,,,HG: 1.888 SRC: -0.010 Found (FD),,,,,,Final/Finales,
07JD002,2022-02-10T17:59:00,-7,Discharge/Débit,,1.737,6.81,7.0,-0.552,-0.8926,-0.88449997,Measurement condition : Ice; Cloudy  No Precipitation  Light Wind ,CIC some slush on top of ice (0.100m mostly near RB),Named mmt file incorrectly (07JC002) corrected in FT2 software. Very good qualirt under-ice mmt.  Some painting in record but average values = WWG no SRC.  Mid-section,102.0,29.7,0.23,,,Final/Finales,13.2
07JD002,2022-02-10T17:10:00,-7,Stage/Niveau d'eau,1.736,,,,,,,,,HG: 1.738 SRC: -0.002 No Reset (NR),,,,,,Final/Finales,
07JD002,2022-01-13T19:45:00,-7,Stage/Niveau d'eau,1.672,,,,,,,,,HG: 1.663 SRC: 0.009 Found (FD),,,,,,Final/Finales,
07JD002,2022-01-13T18:57:30,-7,Discharge/Débit,,1.672,7.61,7.0,-0.472,-0.859,-0.84730005,Measurement condition : Ice; Cloudy  No Precipitation  Calm Wind ,Full ice cover a few jumbled areas in vicinity,Named MMT file incorrectly (07JC002). Manually entered Q values. Good quality measurement with many panels.   Corrected M.G.H. includes Sensor Reset Correction of 0.009 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.663 MMT conducted prior to sensor reset applied SRC to MGH as found. Used WWG for DWL held wheel manually in place on the reel.  Mid-section,108.0,34.5,0.221,-14.0,0.0,Final/Finales,
07JD002,2021-10-29T16:25:00,-7,Stage/Niveau d'eau,1.545,,,,,,,,,HG: 1.543 SRC: 0.002 No Reset (NR),,,,,,Final/Finales,
07JD002,2021-10-07T19:00:30,-7,Discharge/Débit,,1.506,29.9,7.0,-0.0302,-0.0986,-0.0007,Measurement condition : Clear; Clear  No Precipitation  Light Wind Blowing Cross Stream,No debris on control,Good MMT Stable stage.  Mid-section,90.0,47.6,0.629,5.0,5.0,Final/Finales,6.62
07JD002,2021-10-07T17:45:00,-7,Stage/Niveau d'eau,1.506,,,,,,,,,GC: 0.000 HG: 1.515 SRC: -0.009 Maintenance (MT),,,,,,Final/Finales,
07JD002,2021-08-05T20:38:00,-7,Discharge/Débit,,1.407,21.9,7.0,-0.0125,-0.05,-0.0021,Measurement condition : Clear; Partly Cloudy  No Precipitation  Light Wind ,Gravel beds visible.,Mid-section,78.0,42.4,0.518,20.0,23.0,Final/Finales,7.33
07JD002,2021-08-05T19:50:00,-7,Stage/Niveau d'eau,1.406,,,,,,,,,GC: 0.000 HG: 1.396 SRC: 0.010,,,,,,Final/Finales,
07JD002,2021-06-18T18:04:00,-7,Discharge/Débit,,2.195,142.0,7.0,-0.0343,-0.0511,-0.0005,Measurement condition : ; Mostly Cloudy  No Precipitation  Moderate Wind Blowing Cross Stream,,Mid-section,109.0,117.0,1.21,17.0,13.0,Final/Finales,2.35
07JD002,2021-06-18T17:00:00,-7,Stage/Niveau d'eau,2.192,,,,,,,,,GC: 0.000 HG: 2.200 SRC: -0.008,,,,,,Final/Finales,
07JD002,2021-05-04T17:35:00,-7,Stage/Niveau d'eau,2.26,,,,,,,,,HG: 2.531 SRC: -0.271 Reset (RS),,,,,,Final/Finales,
07JD002,2021-03-21T16:30:00,-7,Stage/Niveau d'eau,1.97,,,,,,,,,HG: 2.085 SRC: -0.115 Purged  (PU),,,,,,Final/Finales,
07JD002,2021-01-21T18:35:30,-7,Discharge/Débit,,2.293,42.5,7.0,-0.708,-0.7537,-0.56270003,Measurement condition : Ice; Mostly Cloudy  Light Snow  Calm Wind ,CIC,Measured 70m d/s bridge at usual winter section. Mid-section,98.0,66.4,0.64,-8.0,0.0,Final/Finales,6.52
07JD002,2021-01-21T17:30:00,-7,Stage/Niveau d'eau,2.296,,,,,,,,,GC: 0.000 HG: 2.309 SRC: -0.013,,,,,,Final/Finales,
07JD002,2020-12-07T21:20:00,-7,Stage/Niveau d'eau,2.905,,,,,,,,,HG: 2.915 SRC: -0.010 Reset (RS),,,,,,Final/Finales,
07JD002,2020-10-30T18:15:00,-7,Stage/Niveau d'eau,2.051,,,,,,,,,HG: 2.208 SRC: -0.157 Reset (RS),,,,,,Final/Finales,
07JD002,2020-08-19T17:56:00,-7,Stage/Niveau d'eau,2.312,,,,,,,,,HG: 2.316 SRC: -0.004 No Reset (NR),,,,,,Final/Finales,
07JD002,2020-06-19T18:00:00,-7,Stage/Niveau d'eau,3.233,,,,,,,,,GC: 0.000 HG: 3.227 SRC: 0.006 No Reset (NR),,,,,,Final/Finales,
07JD002,2020-06-19T17:39:30,-7,Discharge/Débit,,3.233,435.0,,-0.025,0.018,0.018,Measurement condition : Clear; Clear  No Precipitation  Calm Wind ,High Flow,,125.0,247.0,1.76,24.0,16.0,Final/Finales,
07JD002,2020-05-02T19:07:30,-7,Discharge/Débit,,2.795,308.0,11.0,-0.022,0.019,0.019,Measurement condition : Clear; Partly Cloudy  No Precipitation  Calm Wind ,Very light ice and debris flowing.,ADCP RSSL from trestle bridge. RSSL Comments: Parameters and settings marked with a * are not constant for all files. Report generated using SonTek RiverSurveyor Stationary Live v4.1,124.0,187.0,1.65,6.0,5.0,Final/Finales,
07JD002,2020-05-02T18:50:00,-7,Stage/Niveau d'eau,2.794,,,,,,,,,HG: 2.793 Sensor Reset Correction of 0.001,,,,,,Final/Finales,
07JD002,2020-04-24T15:55:00,-7,Stage/Niveau d'eau,2.5,,,,,,,,,HG: 2.501 Sensor Reset Correction of -0.001 No Reset (NR),,,,,,Final/Finales,
07JD002,2020-03-03T17:28:00,-7,Discharge/Débit,,1.914,15.9,7.0,-0.59,-0.82839996,-0.82839996,Measurement condition : Ice; Mostly Cloudy  No Precipitation  Calm Wind ,CIC Good Quality Mmnt,Measurement done at usual section 60m d/s from gauge.,87.0,31.2,0.511,-11.0,0.0,Final/Finales,
07JD002,2020-03-03T17:00:00,-7,Stage/Niveau d'eau,1.914,,,,,,,,,HG: 1.907 Sensor Reset Correction of 0.007,,,,,,Final/Finales,
07JD002,2020-01-28T22:14:00,-7,Discharge/Débit,,1.837,16.7,,,,,,,Discharge Remarks: Measured at usual section 60m below bridge Control Condition Remarks: CIC  60.0 metres below gauge MGH has had sensor reset applied at upload (1.837 + 0.000) Sources:eHSN v1.3.2,87.0,33.3,0.502,-5.0,0.0,Final/Finales,
07JD002,2020-01-28T21:40:00,-7,Stage/Niveau d'eau,1.836,,,,,,,,,Source:eHSN v1.3.2 Sensor Reset Correction of -0.001,,,,,,Final/Finales,
07JD002,2019-12-13T17:30:00,-7,Stage/Niveau d'eau,1.959,,,,,,,,,Source:eHSN v1.3.2 Sensor Reset Correction of -0.001 NO GC APPLIED,,,,,,Final/Finales,
07JD002,2019-10-21T23:00:00,-7,Stage/Niveau d'eau,1.908,,,,,,,,,Source:eHSN v1.3.2 Sensor Reset Correction of -0.001 NO GC APPLIED,,,,,,Final/Finales,
