Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07JD004,DeleteRegion,HG,2024-01-11T15:50:00,2024-02-26T07:00:00,2024-01-17T14:40:03,-7,,,Normal
07JD004,CopyPaste,HG,2023-10-24T05:45:00,2023-11-01T07:00:00,2023-12-18T20:50:04,-7,"GAP FILL WITH LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JD004, time shift: 00:00 minutes.‌",,Normal
07JD004,CopyPaste,HG,2023-10-23T21:45:00,2023-10-23T23:50:00,2023-12-18T20:51:29,-7,"GAP FILL WITH LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JD004, time shift: 00:00 minutes.‌",,Normal
07JD004,DeleteRegion,HG,2023-10-22T01:50:00,2023-10-22T01:50:00,2023-11-14T21:14:36,-7,DR - SPIKE,,Normal
07JD004,CopyPaste,HG,2023-10-18T21:40:00,2023-10-24T05:45:00,2023-11-14T21:12:24,-7,"USING HG2 INSTEAD OF HG, HG INTAKES PARTIALLY BLOCKEDOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JD004, time shift: 00:00 minutes.‌",,Normal
07JD004,DeleteRegion,HG,2023-10-18T19:20:00,2023-10-18T19:20:00,2023-11-14T21:30:25,-7,DR - SPIKE,,Normal
07JD004,DeleteRegion,HG,2023-10-12T20:00:00,2023-10-12T20:00:00,2023-11-14T21:31:15,-7,DR - SPIKE,,Normal
07JD004,Drift,HG,2023-08-12T21:30:00,2023-10-18T21:35:00,2023-10-19T17:18:30,-7,SRC (0.000 TO 0.009m) RESET,"DriftPoints:(Offset:0,Time:2023-08-12T21:30:00Z);(Offset:0.009,Time:2023-10-18T21:35:00Z)",Normal
07JD004,CopyPaste,HG,2023-08-12T21:30:00,2023-10-18T21:35:00,2023-11-14T21:20:24,-7,"USING HG2 INSTEAD OF HG, HG INTAKES PARTIALLY BLOCKEDOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JD004, time shift: 00:00 minutes.‌",,Normal
07JD004,DeleteRegion,HG,2023-06-30T09:25:00,2023-06-30T09:25:00,2023-11-15T20:22:08,-7,SPIKE - UNKNOWN CAUSE,,Normal
07JD004,CopyPaste,HG,2023-06-29T22:35:00,2023-08-12T21:25:00,2023-11-14T21:52:46,-7,"USING HG2 INSTEAD OF HG, HG INTAKES PARTIALLY BLOCKEDOverride: Copy & Paste‌Source Data Set: Stage.Telemetry2@07JD004, time shift: 00:00 minutes.‌",,Normal
