Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07SB010,CopyPaste,HG,2023-09-25T17:00:00,2024-01-19T21:15:00,2024-01-22T20:05:59,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,Drift,HG,2023-09-25T17:00:00,2024-01-19T21:15:00,2024-01-22T20:08:11,-7,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-09-25T17:00:00Z);(Offset:-0.006,Time:2024-01-19T21:15:00Z)",Normal
07SB010,CopyPaste,HG,2023-09-20T19:40:00,2023-09-25T17:00:00,2023-09-26T22:07:49,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,Offset,HG,2023-09-20T19:15:00,2023-09-20T19:35:00,2024-01-22T22:05:50,-7,New OTT offset prior to logger reset.,Offset:0.597,Normal
07SB010,CopyPaste,HG,2023-05-12T21:30:00,2023-09-20T19:35:00,2023-09-21T20:04:42,-7,"Filling telemetry gaps with logger dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,Drift,HG,2023-05-12T21:10:00,2023-09-20T17:50:00,2023-09-21T20:23:38,-7,SRC,"DriftPoints:(Offset:0,Time:2023-05-12T21:10:00Z);(Offset:-0.006,Time:2023-09-20T17:50:00Z)",Normal
07SB010,Drift,HG,2023-04-18T19:30:00,2023-05-12T21:25:00,2023-05-15T21:39:56,-7,SRC - VISIT TO VISIT AND JUST PRIOR TO RESET,"DriftPoints:(Offset:0,Time:2023-04-18T19:30:00Z);(Offset:0.009,Time:2023-05-12T21:25:00Z)",Normal
07SB010,CopyPaste,HG,2023-04-18T18:19:54,2023-05-12T21:25:00,2023-09-21T20:13:34,-7,"Filling telemetry gaps with logger dataOverride: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,CopyPaste,HG,2023-01-19T21:00:00,2023-04-18T18:20:00,2023-04-20T18:27:06,-7,"RFT: FILL VARIOUS DATA GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,Drift,HG,2023-01-19T21:00:00,2023-04-18T19:25:00,2023-04-20T18:29:46,-7,RFT: SRC VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-01-19T21:00:00Z);(Offset:-0.008,Time:2023-04-18T19:25:00Z)",Normal
07SB010,CopyPaste,HG,2022-11-24T19:20:00,2023-01-19T18:40:00,2023-01-20T18:53:56,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
07SB010,CopyPaste,HG,2022-11-09T00:30:00,2022-11-24T18:00:00,2022-11-28T13:13:18,-7,"OC- TELEM GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@07SB010, time shift: 00:00 minutes.‌",,PreProcessing
