STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08CE001,H,2011,H,8.0,5,29,19,1,PST,5.870999813079834, ,Maximum
08CE001,H,2011,L,8.0,4,26,13,31,PST,0.7170000076293945, ,Minimum
08CE001,H,2012,H,8.0,6,8,20,20,PST,6.97599983215332, ,Maximum
08CE001,H,2012,L,8.0,4,14,16,10,PST,0.7400000095367432, ,Minimum
08CE001,H,2013,H,8.0,6,1,16,20,PST,6.39900016784668, ,Maximum
08CE001,H,2013,L,8.0,4,23,14,10,PST,0.4429999887943268, ,Minimum
08CE001,H,2014,H,8.0,5,18,6,45,PST,5.579999923706055, ,Maximum
08CE001,H,2015,H,8.0,5,27,5,40,PST,5.857999801635742, ,Maximum
08CE001,H,2018,H,8.0,5,21,19,10,PST,4.565000057220459, ,Maximum
08CE001,H,2018,L,8.0,4,23,16,25,PST,0.5640000104904175, ,Minimum
08CE001,H,2019,H,8.0,8,25,19,45,PST,4.669000148773193, ,Maximum
08CE001,H,2019,L,8.0,4,26,19,50,PST,0.6570000052452087, ,Minimum
08CE001,H,2020,H,8.0,6,17,9,40,PST,6.3480000495910645, ,Maximum
08CE001,H,2021,H,8.0,6,3,23,35,PST,7.210999965667725, ,Maximum
08CE001,H,2022,H,8.0,6,7,17,35,PST,6.270999908447266, ,Maximum
08CE001,H,2023,H,8.0,5,20,14,0,PST,6.410999774932861, ,Maximum
08CE001,H,2023,L,8.0,4,21,16,20,PST,0.5210000276565552, ,Minimum
08CE001,Q,1972,H,,5,31,20,17,PST,3370.0,,Maximum
08CE001,Q,1973,H,,6,14,21,2,PST,2040.0,,Maximum
08CE001,Q,1974,H,,7,17,20,19,PST,1870.0,,Maximum
08CE001,Q,1975,H,,6,30,20,35,PST,1820.0,,Maximum
08CE001,Q,1976,H,,7,2,0,7,PST,2420.0,,Maximum
08CE001,Q,1977,H,,6,16,18,40,PST,1980.0,,Maximum
08CE001,Q,1978,H,,6,6,18,30,PST,1400.0,,Maximum
08CE001,Q,1979,H,,6,3,14,57,PST,2240.0,,Maximum
08CE001,Q,1980,H,,7,24,14,50,PST,2160.0,,Maximum
08CE001,Q,1981,H,,5,27,16,27,PST,2940.0,,Maximum
08CE001,Q,1982,H,,6,13,15,43,PST,2370.0,,Maximum
08CE001,Q,1983,H,,6,2,22,48,PST,2520.0,,Maximum
08CE001,Q,1984,H,,6,25,6,45,PST,1750.0,,Maximum
08CE001,Q,1985,H,,7,12,13,10,PST,2700.0,,Maximum
08CE001,Q,1986,H,,6,8,23,59,PST,1970.0,,Maximum
08CE001,Q,1987,H,,6,22,22,27,PST,2430.0,,Maximum
08CE001,Q,1988,H,,6,11,18,56,PST,2600.0,,Maximum
08CE001,Q,1989,H,,6,1,2,39,PST,1980.0,,Maximum
08CE001,Q,1990,H,,6,2,2,21,PST,3590.0,,Maximum
08CE001,Q,1991,H,,6,23,19,26,PST,1580.0,,Maximum
08CE001,Q,1992,H,,6,16,13,48,PST,3010.0,,Maximum
08CE001,Q,1993,H,,5,22,0,39,PST,2580.0,,Maximum
08CE001,Q,1994,H,,6,13,1,31,PST,1720.0,,Maximum
08CE001,Q,1995,H,,5,15,13,5,PST,1770.0,,Maximum
08CE001,Q,1996,H,,6,7,14,20,PST,1990.0,,Maximum
08CE001,Q,1997,H,,6,6,11,0,PST,2300.0,,Maximum
08CE001,Q,1998,H,,5,29,17,0,PST,2270.0,,Maximum
08CE001,Q,1999,H,,6,17,18,0,PST,2770.0, ,Maximum
08CE001,Q,2000,H,,6,12,3,45,PST,2240.0, ,Maximum
08CE001,Q,2001,H,,6,14,18,15,PST,2180.0, ,Maximum
08CE001,Q,2002,H,,6,17,2,45,PST,1990.0, ,Maximum
08CE001,Q,2003,H,,6,7,22,0,PST,1870.0, ,Maximum
08CE001,Q,2004,H,,5,26,17,15,PST,1940.0, ,Maximum
08CE001,Q,2005,H,,5,16,23,35,PST,1820.0, ,Maximum
08CE001,Q,2006,H,,6,16,17,45,PST,2900.0, ,Maximum
08CE001,Q,2007,H,,6,7,18,0,PST,4040.0, ,Maximum
08CE001,Q,2008,H,,5,29,14,45,PST,2210.0, ,Maximum
08CE001,Q,2009,H,,6,7,11,1,PST,3750.0, ,Maximum
08CE001,Q,2010,H,,5,29,21,46,PST,1160.0, ,Maximum
08CE001,Q,2011,H,,5,29,19,1,PST,2210.0, ,Maximum
08CE001,Q,2012,H,,6,8,20,20,PST,2900.0, ,Maximum
08CE001,Q,2013,H,,6,1,16,20,PST,2540.0, ,Maximum
08CE001,Q,2014,H,,5,18,5,30,PST,1960.0, ,Maximum
08CE001,Q,2015,H,,5,27,5,20,PST,2130.0, ,Maximum
08CE001,Q,2018,H,,5,21,19,10,PST,1410.0, ,Maximum
08CE001,Q,2018,L,,4,6,0,0,PST,56.70000076293945,B,Minimum
08CE001,Q,2019,H,,8,25,19,45,PST,1460.0, ,Maximum
08CE001,Q,2020,H,,6,17,9,40,PST,2440.0, ,Maximum
08CE001,Q,2021,H,,6,3,23,35,PST,3030.0, ,Maximum
08CE001,Q,2022,H,,6,7,17,35,PST,2390.0, ,Maximum
08CE001,Q,2023,H,,5,20,14,0,PST,2480.0, ,Maximum
