STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08FF001,H,2011,H,8.0,9,23,8.0,35.0,PST,4.498000144958496, ,Maximum
08FF001,H,2011,L,8.0,1,9,1.0,50.0,PST,-0.125, ,Minimum
08FF001,H,2012,H,8.0,10,1,9.0,31.0,PST,3.0980000495910645, ,Maximum
08FF001,H,2013,H,8.0,10,6,14.0,1.0,PST,3.99399995803833, ,Maximum
08FF001,H,2013,L,8.0,3,24,22.0,6.0,PST,-0.06800000369548798, ,Minimum
08FF001,H,2014,H,8.0,10,19,4.0,11.0,PST,3.7079999446868896, ,Maximum
08FF001,H,2014,L,8.0,3,1,9.0,1.0,PST,0.1449999958276749, ,Minimum
08FF001,H,2015,H,8.0,10,10,17.0,45.0,PST,4.896999835968018, ,Maximum
08FF001,H,2015,L,8.0,1,12,19.0,36.0,PST,0.33399999141693115, ,Minimum
08FF001,H,2016,H,8.0,11,8,6.0,55.0,PST,4.730999946594238, ,Maximum
08FF001,H,2016,L,8.0,1,25,9.0,0.0,PST,0.5960000157356262, ,Minimum
08FF001,H,2017,H,8.0,10,25,2.0,25.0,PST,5.890999794006348, ,Maximum
08FF001,H,2017,L,8.0,1,2,11.0,20.0,PST,0.5239999890327454, ,Minimum
08FF001,H,2018,H,8.0,5,28,1.0,45.0,PST,2.884999990463257,,Maximum
08FF001,H,2018,L,8.0,10,6,6.0,50.0,PST,0.5960000157356262,,Minimum
08FF001,H,2019,H,8.0,10,25,4.0,10.0,PST,3.1029999256134038, ,Maximum
08FF001,H,2020,H,8.0,9,28,10.0,10.0,PST,5.01200008392334, ,Maximum
08FF001,H,2020,L,8.0,3,14,9.0,20.0,PST,0.628000020980835, ,Minimum
08FF001,H,2021,H,8.0,9,21,7.0,35.0,PST,4.538000106811523, ,Maximum
08FF001,H,2021,L,8.0,12,16,14.0,25.0,PST,0.4830000102519989, ,Minimum
08FF001,H,2022,H,8.0,10,27,8.0,0.0,PST,4.026999950408936, ,Maximum
08FF001,H,2023,H,8.0,5,16,2.0,40.0,PST,3.013000011444092, ,Maximum
08FF001,H,2023,L,8.0,3,6,10.0,30.0,PST,0.19900000095367432, ,Minimum
08FF001,Q,1964,H,,10,12,8.0,45.0,PST,1140.0,,Maximum
08FF001,Q,1965,H,,10,22,,,,1680.0,,Maximum
08FF001,Q,1966,H,,10,24,8.0,10.0,PST,1680.0,,Maximum
08FF001,Q,1967,H,,9,23,16.0,30.0,PST,1250.0,,Maximum
08FF001,Q,1968,H,,1,23,11.0,40.0,PST,1080.0,,Maximum
08FF001,Q,1969,H,,11,30,15.0,50.0,PST,1540.0,,Maximum
08FF001,Q,1970,H,,6,3,1.0,4.0,PST,648.0,,Maximum
