Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08HF013,Drift,HG,2023-11-02T18:00:00,2023-12-19T21:10:00,2023-12-20T19:41:04,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0.022,Time:2023-11-02T18:00:00Z);(Offset:0.026,Time:2023-12-19T21:10:00Z)",Normal
08HF013,Drift,HG,2023-11-02T16:55:00,2023-11-02T17:55:00,2023-11-03T18:53:31,-8,SRC.,"DriftPoints:(Offset:0,Time:2023-11-02T16:55:00Z);(Offset:-0.008,Time:2023-11-02T17:55:00Z)",Normal
08HF013,DeleteRegion,HG,2023-09-19T18:35:00,2023-09-19T19:05:00,2023-09-22T18:10:57,-8,DR: DURING INSTALLATION/ PURGE,,Normal
08HF013,Drift,HG,2023-07-05T22:00:00,2023-08-01T18:15:00,2023-08-03T17:12:45,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-07-05T22:00:00Z);(Offset:-0.011,Time:2023-08-01T18:15:00Z)",Normal
08HF013,Drift,HG,2023-05-09T21:15:00,2023-07-05T21:30:00,2023-07-07T19:33:59,-8,RFT: SRC visit to visit.,"DriftPoints:(Offset:0,Time:2023-05-09T21:15:00Z);(Offset:0.009,Time:2023-07-05T21:30:00Z)",Normal
08HF013,CopyPaste,HG,2022-12-23T08:05:00,2022-12-24T09:45:00,2023-03-28T15:56:10,-8,"OC: COPY/PASTE FROM STAGE LOGGEROverride: Copy & Paste‌Source Data Set: Stage.Logger@08HF013, time shift: 00:00 minutes.‌",,Normal
08HF013,DeleteRegion,HG,2022-12-14T18:25:00,2022-12-14T18:35:00,2023-01-03T17:09:21,-8,DR: ERRONEOUS DATA WHILE DIGGING OUT ORIFICE ,,Normal
08HF013,CopyPaste,HG,2022-11-30T00:05:00,2022-11-30T06:30:00,2023-01-03T17:11:32,-8,"OC: MISSING TELEMETRY DATA Override: Copy & Paste‌Source Data Set: Stage.Logger@08HF013, time shift: 00:00 minutes.‌",,Normal
08HF013,CopyPaste,QR,2022-10-25T17:00:00,2022-10-25T18:10:00,2023-05-24T20:29:20,-8,Override: Freehand‌,,Normal
08HF013,CopyPaste,QR,2022-10-25T16:00:00,2022-10-25T18:10:00,2023-05-26T16:00:37,-8,,,Normal
08HF013,Offset,QR,2022-10-13T04:10:00,2022-10-25T17:50:00,2023-05-24T20:05:43,-8,OC: ,Offset:-0.3089124821475091,Normal
08HF013,DeleteRegion,QR,2022-10-13T04:00:00,2022-10-13T04:05:00,2023-05-24T20:09:58,-8,,,Normal
08HF013,CopyPaste,QR,2022-10-13T03:55:00,2022-10-25T17:50:00,2023-05-24T20:24:24,-8,OC: USING ORIGINAL TRACE AND OCT 19 MMNT AS GUIDE,,Normal
08HF013,Drift,HG,2022-04-12T17:30:00,2022-06-21T20:05:00,2022-06-22T16:31:56,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2022-04-12T17:30:00Z);(Offset:0.009,Time:2022-06-21T20:05:00Z)",Normal
08HF013,CopyPaste,HG,2021-12-24T04:20:00,2021-12-24T06:25:00,2022-03-30T21:56:16,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08HF013, time shift: 00:00 minutes.‌",,PreProcessing
08HF013,Offset,HG,2021-12-14T19:10:00,2022-02-01T18:05:00,2022-03-30T21:47:55,-8,GC: BM3 used for the reset requiring the 0.005m GC.  Carried through to next visit when the OG was used again.  ,Offset:0.005,Normal
08HF013,Offset,HG,2021-11-30T23:15:00,2021-12-14T18:30:00,2022-03-12T21:56:24,-8,OC: 0.037m ORIFICE MOVEMENT ACCOUNTING FOR A PORTION OF THE 0.105m RESET NEXT VISIT ,Offset:-0.037,Normal
08HF013,Offset,HG,2021-11-30T15:45:00,2021-12-14T18:30:00,2022-03-12T21:54:20,-8,OC: 0.056m ORIFICE MOVEMENT ACCOUNTING FOR PORTION OF THE 0.105m RESET FOUND NEXT VISIT,Offset:-0.056,Normal
08HF013,Drift,HG,2021-10-20T17:05:00,2021-12-14T18:30:00,2022-03-12T21:57:50,-8,"SRC: REMAINING 0.012m OF THE 0.105m RESET NEXT VISIT, WITH COMBINATION OF -0.056 AND -0.037 ORIFICE MOVEMENTS ","DriftPoints:(Offset:0,Time:2021-10-20T17:05:00Z);(Offset:-0.012,Time:2021-12-14T18:30:00Z)",Normal
