STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08JB002,H,2011,H,8.0,6,6,18.0,36.0,PST,3.315000057220459, ,Maximum
08JB002,H,2011,L,8.0,2,9,5.0,6.0,PST,1.656000018119812, ,Minimum
08JB002,H,2012,H,8.0,6,6,9.0,41.0,PST,2.822999954223633, ,Maximum
08JB002,H,2012,L,8.0,12,31,8.0,31.0,PST,1.5410000085830688, ,Minimum
08JB002,H,2013,H,8.0,6,7,17.0,16.0,PST,2.424999952316284, ,Maximum
08JB002,H,2013,L,8.0,1,2,4.0,6.0,PST,1.4919999837875366, ,Minimum
08JB002,H,2014,H,8.0,6,4,11.0,1.0,PST,2.525000095367432, ,Maximum
08JB002,H,2014,L,8.0,2,11,12.0,36.0,PST,1.5190000534057615, ,Minimum
08JB002,H,2015,H,8.0,5,22,17.0,51.0,PST,3.312999963760376, ,Maximum
08JB002,H,2015,L,8.0,12,31,19.0,40.0,PST,1.5479999780654907, ,Minimum
08JB002,H,2016,H,8.0,5,7,15.0,5.0,PST,2.318000078201294, ,Maximum
08JB002,H,2016,L,8.0,2,12,5.0,30.0,PST,1.503000020980835, ,Minimum
08JB002,H,2017,H,8.0,6,3,7.0,25.0,PST,2.8410000801086426, ,Maximum
08JB002,H,2017,L,8.0,10,24,20.0,25.0,PST,1.6929999589920044, ,Minimum
08JB002,H,2018,H,8.0,5,20,1.0,15.0,PST,3.3289999961853027, ,Maximum
08JB002,H,2018,L,8.0,12,16,3.0,0.0,PST,1.6460000276565552, ,Minimum
08JB002,H,2019,H,8.0,6,1,17.0,15.0,PST,2.428999900817871, ,Maximum
08JB002,H,2019,L,8.0,1,25,5.0,55.0,PST,1.593000054359436, ,Minimum
08JB002,H,2020,H,8.0,5,18,13.0,55.0,PST,2.76200008392334, ,Maximum
08JB002,H,2020,L,8.0,4,8,11.0,35.0,PST,1.753999948501587, ,Minimum
08JB002,H,2021,H,8.0,5,28,7.0,30.0,PST,2.802000045776367, ,Maximum
08JB002,H,2021,L,8.0,12,29,13.0,10.0,PST,1.5470000505447388, ,Minimum
08JB002,H,2022,H,8.0,6,22,15.0,5.0,PST,2.7100000381469727, ,Maximum
08JB002,H,2022,L,8.0,12,24,14.0,55.0,PST,1.475000023841858, ,Minimum
08JB002,H,2023,H,8.0,5,28,20.0,15.0,PST,2.424999952316284, ,Maximum
08JB002,H,2023,L,8.0,12,29,13.0,45.0,PST,1.4190000295639038, ,Minimum
08JB002,H,2024,H,8.0,7,2,8.0,25.0,PST,2.0859999656677246, ,Maximum
08JB002,H,2024,L,8.0,1,14,3.0,35.0,PST,1.4390000104904177, ,Minimum
08JB002,Q,1980,H,,7,6,17.0,25.0,PST,26.600000381469727,,Maximum
08JB002,Q,1981,H,,6,5,18.0,40.0,PST,69.9000015258789,,Maximum
08JB002,Q,1982,H,,6,13,,,,70.4000015258789,,Maximum
08JB002,Q,1983,H,,7,26,7.0,43.0,PST,33.0,,Maximum
08JB002,Q,1984,H,,6,15,19.0,50.0,PST,36.09999847412109,,Maximum
08JB002,Q,1985,H,,6,7,12.0,10.0,PST,56.79999923706055,,Maximum
08JB002,Q,1986,H,,6,25,9.0,10.0,PST,45.900001525878906,,Maximum
