Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08KB001,2024-06-05T18:40:00,-8,Stage/Niveau d'eau,4.191,,,,,,,,,HG: 4.169 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KB001,2024-06-05T18:30:00,-8,Stage/Niveau d'eau,4.167,,,,,,,,,GC: 0.000 HG: 4.168 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KB001,2024-06-05T18:25:00,-8,Stage/Niveau d'eau,4.167,,,,,,,,,GC: 0.000 HG: 4.167 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08KB001,2024-06-05T18:20:00,-8,Stage/Niveau d'eau,4.167,,,,,,,,,GC: 0.000 HG: 4.173 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KB001,2024-06-05T17:50:00,-8,Stage/Niveau d'eau,4.163,,,,,,,,,GC: 0.000 HG: 4.169 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KB001,2024-06-05T17:12:30,-8,Discharge/Débit,,4.158,1460.0,9.01,0.0589,0.0248,0.0248,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Moderate Wind ","No obstructions seen. Some smaller wood coming d/s during measurement, a few larger logs seen pass by before mmt. ","FSJ Jet Boat with RR, 300 m d/s gauge. Depths ranged 1.75-7.25 m.  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Reset to 4.167 at 10:24.   No reset to BM 8-17, well is due for a flush.  ADCP by Moving Boat",214.0,941.0,1.56,10.5,9.5,Provisional/Provisoire,6.6
08KB001,2024-06-05T15:50:00,-8,Stage/Niveau d'eau,4.145,,,,,,,,,GC: 0.000 HG: 4.150 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KB001,2024-03-25T19:40:00,-8,Stage/Niveau d'eau,2.308,,,,,,,,,HG: 2.310 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KB001,2024-02-16T20:43:00,-8,Discharge/Débit,,1.843,166.0,9.01,-0.825,-0.5607,-0.5607,"Measurement condition : Ice; Clear , No Precipitation ,  ",100% ice u/s gauge. Open leads u/s and d/s transect. ~ 1-2 ft thick ice across transect. ,"M9 on ice rod mount. Depths ranged from ~ 6.2 - 0.7 m.  RFT NOTED ROUNDING ISSUE, RAW M1 FILE OUTPUT AS 167.2 CMS. LEAVING AS-IS (< 5%).  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.dis File). @ RSSL Comments: Parameters and settings marked with a * are not constant for all files. Report generated using SonTek RiverSurveyor Stationary Live v4.1 Returned to nubs at 09:22 and reset to 1.865 at 09:23.  Mid-section",122.0,279.0,0.59,-17.2,0.0,Provisional/Provisoire,2.98
08KB001,2024-02-16T17:25:00,-8,Stage/Niveau d'eau,1.866,,,,,,,,,HG: 1.865 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
08KB001,2024-02-16T17:20:00,-8,Stage/Niveau d'eau,1.865,,,,,,,,,HG: 1.851 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KB001,2024-01-09T18:25:00,-8,Stage/Niveau d'eau,1.409,,,,,,,,,HG: 1.406 Reset (RS),,,,,,Final/Finales,
08KB001,2024-01-09T18:15:00,-8,Stage/Niveau d'eau,1.407,,,,,,,,,HG: 1.403 Found (FD),,,,,,Final/Finales,
08KB001,2023-10-17T18:48:00,-8,Stage/Niveau d'eau,1.383,,,,,,,,,GC: 0.000 HG: 1.384,,,,,,Final/Finales,
08KB001,2023-10-17T18:06:00,-8,Discharge/Débit,,1.383,261.0,9.01,0.0463,0.0471,0.0471,"Measurement condition : Clear; Clear , No Precipitation ,  ",Low flow. No water flowing on LB side of gravel bar.  ,"Zodiac with M9, 350 m u/s gauge   @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Collected DWL but logger always reset to ETG at this site, no reset for logger as ETG was < 0.003 m.  Could not clear value from Weighted MGH first column, ignore. ADCP by Moving Boat",132.0,215.0,1.21,5.0,8.2,Final/Finales,5.7
08KB001,2023-10-17T16:35:00,-8,Stage/Niveau d'eau,1.385,,,,,,,,,GC: 0.000 HG: 1.386 No Reset (NR),,,,,,Final/Finales,
08KB001,2023-10-17T16:20:00,-8,Stage/Niveau d'eau,1.375,,,,,,,,,HG: 1.386 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Final/Finales,
08KB001,2023-10-17T15:40:00,-8,Stage/Niveau d'eau,1.386,,,,,,,,,GC: 0.000 HG: 1.387 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
08KB001,2023-09-07T20:40:00,-8,Stage/Niveau d'eau,1.944,,,,,,,,,GC: 0.000 HG: 1.945 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
08KB001,2023-09-07T19:45:00,-8,Discharge/Débit,,1.95,420.0,,,,,,,"Zodiac with M9, 900 m u/s gauge @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Checked vise tape, seated on pins correctly. Reset to 1.957 m at 10:24.  ADCP by Moving Boat",169.0,425.0,0.989,14.4,14.5,Final/Finales,5.7
08KB001,2023-09-07T19:42:00,-8,Discharge/Débit,,1.95,420.0,,,,,,,"Zodiac with M9, 500 m u/s gauge @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Checked vise tape, seated on pins correctly. Reset to 1.957 m at 10:24.  ADCP by Moving Boat",169.0,425.0,0.989,14.4,14.5,Provisional/Provisoire,5.7
08KB001,2023-09-07T18:20:00,-8,Stage/Niveau d'eau,1.957,,,,,,,,,GC: 0.000 HG: 1.953 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
08KB001,2023-07-04T19:10:00,-8,Stage/Niveau d'eau,3.178,,,,,,,,,GC: 0.000 HG: 3.178 No Reset (NR),,,,,,Final/Finales,
08KB001,2023-07-04T18:20:30,-8,Discharge/Débit,,3.184,886.0,9.01,-0.0415,-0.0191,-0.0191,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Calm Wind Swirling/Variable",No obstructions,"Discharge by manned boat. PG Zodiac.  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Reset stage at 8:19. Suspected tape bump during well maintenance. Visually confirmed 2 cm change in stage before/after mmt. ADCP by Moving Boat",227.0,769.0,1.15,16.3,14.8,Final/Finales,4.9
08KB001,2023-07-04T16:15:00,-8,Stage/Niveau d'eau,3.199,,,,,,,,,GC: 0.000 HG: 3.151 Found (FD),,,,,,Final/Finales,
08KB001,2023-05-30T22:45:00,-8,Stage/Niveau d'eau,4.788,,,,,,,,,GC: 0.000 HG: 4.788 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
08KB001,2023-05-30T21:54:00,-8,Discharge/Débit,,4.792,1810.0,9.01,-0.0296,-0.0094,-0.0094,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",Appears normal.,"MMT PDF INDICATES 30% MOVING BED, BUT THIS IS FROM AN INVALID TEST. NO MOVING BED FOUND ON 2ND TEST, NO CORRECTION APPLIED.  - RV2024.02.28 @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Reset FTS to 4.803 at 11:50 AM ADCP by Moving Boat",238.0,1110.0,1.63,15.9,11.2,Final/Finales,5.4
08KB001,2023-05-30T19:55:00,-8,Stage/Niveau d'eau,4.803,,,,,,,,,GC: 0.000 HG: 4.803 Reset (RS),,,,,,Final/Finales,
08KB001,2023-05-30T19:40:00,-8,Stage/Niveau d'eau,4.804,,,,,,,,,GC: 0.000 HG: 4.816 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
08KB001,2023-05-12T21:50:00,-8,Stage/Niveau d'eau,5.53,,,,,,,,,HG: 5.533 No Reset (NR),,,,,,Final/Finales,
