Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08KE016,2024-06-10T19:55:00,-8,Stage/Niveau d'eau,1.827,,,,,,,,,GC: 0.000 HG: 1.825 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KE016,2024-06-10T18:48:30,-8,Discharge/Débit,,1.829,6.79,69.0,0.00365,0.0178,0.0178,Measurement condition : Clear; Cloudy  Light Rain  Very Light Wind Blowing Cross Stream,Above breakpoint,Conventional with bridge crane. 50 lb on 30 hole. Depths ranged 0.15 - 1.0 m at d/s edge bridge.  HFC Comments: Control Condition: CLERMeasurement Section Codition: CLEARWeather Condition: sunyWind Velocity: 2Wind Direction: c/c No reset. Purged 9:07-9:08 Mid-section,13.5,9.53,0.712,16.3,13.7,Provisional/Provisoire,
08KE016,2024-06-10T16:35:00,-8,Stage/Niveau d'eau,1.832,,,,,,,,,GC: 0.000 HG: 1.831 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2024-05-06T17:45:00,-8,Stage/Niveau d'eau,1.698,,,,,,,,,GC: 0.000 HG: 1.699 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KE016,2024-05-06T17:29:00,-8,Discharge/Débit,,1.698,3.5,69.0,0.0207,0.1674,-0.0139999995,Measurement condition : Clear; Mostly Cloudy  No Precipitation  Very Light Wind Blowing Upstream,Control riffle partway submerged. Shopping cart in water ds at bridge but likely not influencing backwater at sensor.,FT2 wade 25 m u/s @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Purged 9:08-9:10. Did not reset as within 0.003 m. Mid-section,16.4,7.29,0.48,11.6,9.5,Provisional/Provisoire,11.3
08KE016,2024-05-06T17:20:00,-8,Stage/Niveau d'eau,1.698,,,,,,,,,GC: 0.000 HG: 1.699 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
08KE016,2024-05-06T17:05:00,-8,Stage/Niveau d'eau,1.696,,,,,,,,,GC: 0.000 HG: 1.703 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2024-03-28T17:25:00,-8,Stage/Niveau d'eau,1.616,,,,,,,,,HG: 1.594 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2024-03-21T22:25:00,-8,Stage/Niveau d'eau,1.603,,,,,,,,,GC: 0.000 HG: 1.609 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
08KE016,2024-03-21T22:10:00,-8,Stage/Niveau d'eau,1.602,,,,,,,,,GC: 0.000 HG: 1.608 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
08KE016,2024-03-21T22:05:30,-8,Discharge/Débit,,1.602,1.96,69.0,0.0374,0.2067,0.0019,Measurement condition : Clear; Clear  No Precipitation   ,Clear except 10% ice on RB. Unsure if causing backwater until post processing. ,FT wade 20 m u/s sensor.  @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Purged 13:36-38. Took a while to re-settle after purge. Forgot to re-open valves until 14:09.  Swapped N2 tank. Reset to 1.603 at 14:26.  Mid-section,14.0,4.98,0.393,9.8,-0.2,Provisional/Provisoire,11.6
08KE016,2024-03-21T21:30:00,-8,Stage/Niveau d'eau,1.601,,,,,,,,,GC: 0.000 HG: 1.606 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2024-01-23T23:05:00,-8,Stage/Niveau d'eau,1.484,,,,,,,,,GC: 0.000 HG: 17.458 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08KE016,2024-01-23T22:41:30,-8,Discharge/Débit,,1.484,0.783,69.0,-0.0011,-0.007900001,-0.007900001,Measurement condition : Ice; Partly Cloudy  No Precipitation  Calm Wind ,100% ice cover at sensor SMALL open lead d/s near the normal open-water hydraulic control. can clearly see ice bridging over this lead with a ~ 30 cm air gap to water and quick flow below.. also a narrow open lead under bridge. Overflow downstream of bridge. Small open lead 300 m u/s stn.,FT2 transect 200 m u/s sensor.  Not plotting very far left despite ice cover. Bridged ice is high enough at open lead that it could not be touching control entirely but this doesn't seem likely given some flow near RB would almost certainly be affected by ice. Need to review curve. @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Driled auger hole near sensor tip at 12:35. No reset due to blocked tip very encased in shore ice.  Mid-section,12.5,2.8,0.279,4.5,-0.1,Provisional/Provisoire,14.1
08KE016,2024-01-23T20:55:00,-8,Stage/Niveau d'eau,1.484,,,,,,,,,GC: 0.000 HG: 18.453 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2023-11-29T19:35:00,-8,Stage/Niveau d'eau,1.463,,,,,,,,,HG: 1.468 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2023-10-18T22:35:00,-8,Stage/Niveau d'eau,1.456,,,,,,,,,"CORRECTION: UPDATED REFERENCE POINT FROM BC2021-501 TO BM14-84 AS PER FULL LEVEL SURVEY - ""AS FOUND"" ELEVATION USED FOR BC2021-501 NOT ""LISTED"".  GC: 0.000 HG: 1.455 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR)",,,,,,Provisional/Provisoire,
08KE016,2023-10-18T22:23:00,-8,Discharge/Débit,,1.457,0.569,68.0,0.00404,-0.1164,-0.0496,Measurement condition : Vegetation; Partly Cloudy  No Precipitation  Moderate Wind Blowing Cross Stream,Leaf litter build up on control. Cleaned.,FT2 wade 20 m u/s gauge   @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Cleaned control 13:32-13:49. Purged 13:53-13:55. Re-took cut to confirm logger change 13:50-14:00 logger likely still stablizing during 13:50 reading. Swapped tank 14:10-14:18. No reset. Mid-section,11.2,3.18,0.179,21.5,10.3,Provisional/Provisoire,11.3
08KE016,2023-10-18T22:00:00,-8,Stage/Niveau d'eau,1.457,,,,,,,,,"CORRECTION: UPDATED REFERENCE POINT FROM BC2021-501 TO BM14-84 AS PER FULL LEVEL SURVEY - ""AS FOUND"" ELEVATION USED FOR BC2021-501 NOT ""LISTED"".  GC: 0.000 HG: 1.454 Purged  (PU)",,,,,,Provisional/Provisoire,
08KE016,2023-10-18T21:50:00,-8,Stage/Niveau d'eau,1.457,,,,,,,,,"CORRECTION: UPDATED REFERENCE POINT FROM BC2021-501 TO BM14-84 AS PER FULL LEVEL SURVEY - ""AS FOUND"" ELEVATION USED FOR BC2021-501 NOT ""LISTED"".  GC: 0.000 HG: 1.460 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  CTRL Cleared (CC)",,,,,,Provisional/Provisoire,
08KE016,2023-10-18T21:30:00,-8,Stage/Niveau d'eau,1.465,,,,,,,,,"CORRECTION: UPDATED REFERENCE POINT FROM BC2021-501 TO BM14-84 AS PER FULL LEVEL SURVEY - ""AS FOUND"" ELEVATION USED FOR BC2021-501 NOT ""LISTED"".  GC: 0.000 HG: 1.468 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD)",,,,,,Provisional/Provisoire,
08KE016,2023-09-06T16:40:00,-8,Stage/Niveau d'eau,1.404,,,,,,,,,GC: 0.000 HG: 1.413 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KE016,2023-09-06T16:30:00,-8,Stage/Niveau d'eau,1.404,,,,,,,,,GC: 0.000 HG: 1.406 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08KE016,2023-09-06T16:05:00,-8,Discharge/Débit,,1.405,0.393,68.0,0.0134,-0.040700004,-0.040700004,Measurement condition : Clear; Cloudy  No Precipitation  Calm Wind Swirling/Variable,Low water some sticks hung up on rocks between sensor and control. Control is a small riffle mostly along LB ~ 35 m d/s sensor.,FT2 wade 25 m u/s gauge @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Purged and cleaned 7:42-7:47 shifted anchor during cleaning. Reset stage to 1.406 at 7:57. Appeared stable noticed stage jumped 0.006 m just before leaving site. Checked cut again no change. Reset stage to 1.404 at 8:46.  Mid-section,12.9,2.74,0.143,11.0,12.8,Provisional/Provisoire,20.4
08KE016,2023-09-06T15:35:00,-8,Stage/Niveau d'eau,1.406,,,,,,,,,GC: 0.000 HG: 1.416 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2023-07-07T20:00:00,-8,Stage/Niveau d'eau,1.497,,,,,,,,,GC: 0.000 HG: 1.497 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08KE016,2023-07-07T19:43:30,-8,Discharge/Débit,,1.497,0.908,68.0,0.025,0.0496,0.0496,Measurement condition : Clear; Partly Cloudy  No Precipitation  Calm Wind Blowing Upstream,Control is riffle ~ 30 m d/s gauge. Approx. 5-8 cm macroalgae buildup on boulders. ,FT2 wade 100 m us gauge.  Note: Incorrect Station ID was selected during FT2 setup; reviewed and edited station ID/name and comments in discharge file using FT2 software prior to FVP submission.  @ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Sensor beneath large boulder unsure if intentional install or if boulder moved on top of sensor during peak flow. Tech will investigate past notes to confirm. Purged o-line from 11:22-11:25. Equilibrating from 11:25-11:30. Reset stage to 1.497 at 11:36.  Mid-section,10.7,3.57,0.255,27.6,20.5,Provisional/Provisoire,13.0
08KE016,2023-07-07T19:00:00,-8,Stage/Niveau d'eau,1.497,,,,,,,,,GC: 0.000 HG: 1.476 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08KE016,2023-05-10T19:15:00,-8,Stage/Niveau d'eau,2.389,,,,,,,,,GC: 0.000 HG: 2.391 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08KE016,2023-05-10T19:05:00,-8,Stage/Niveau d'eau,2.389,,,,,,,,,GC: 0.000 HG: 2.404 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08KE016,2023-05-10T17:01:00,-8,Discharge/Débit,,2.405,35.7,68.0,0.0276,0.038399998,0.038399998,Measurement condition : Clear; Clear  No Precipitation  Very Light Wind Swirling/Variable,,HFC Comments: Control Condition: CLEAR Measurement Section Condition: CLEAR Weather Condition: sunny Wind Velocity: 5 Wind Direction: cc Confirmed lower stage than start measure confident in DWL. Will reset logger to SRC Mid-section,16.5,17.5,2.04,14.9,13.1,Provisional/Provisoire,
08KE016,2023-05-10T16:30:00,-8,Stage/Niveau d'eau,2.409,,,,,,,,,GC: 0.000 HG: 2.407 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08KE016,2023-05-10T16:05:00,-8,Stage/Niveau d'eau,2.409,,,,,,,,,GC: 0.000 HG: 2.324 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
