STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08LB064,H,2011,H,8.0,5,28,8,55,PST,4.309000015258789, ,Maximum
08LB064,H,2011,L,8.0,2,24,22,30,PST,0.550000011920929, ,Minimum
08LB064,H,2012,H,8.0,6,26,2,0,PST,4.701000213623047, ,Maximum
08LB064,H,2012,L,8.0,2,27,12,0,PST,0.5139999985694885, ,Minimum
08LB064,H,2013,H,8.0,5,15,0,20,PST,4.369999885559082, ,Maximum
08LB064,H,2013,L,8.0,1,12,4,35,PST,0.5490000247955322, ,Minimum
08LB064,H,2014,H,8.0,5,26,1,15,PST,4.727000236511231, ,Maximum
08LB064,H,2014,L,8.0,2,1,13,40,PST,0.47699999809265137, ,Minimum
08LB064,H,2015,H,8.0,5,31,17,5,PST,3.927000045776367, ,Maximum
08LB064,H,2015,L,8.0,12,27,13,55,PST,0.6100000143051147, ,Minimum
08LB064,H,2016,H,8.0,5,6,5,55,PST,3.7260000705718994, ,Maximum
08LB064,H,2016,L,8.0,1,2,16,25,PST,0.628000020980835, ,Minimum
08LB064,H,2017,H,8.0,6,3,5,25,PST,4.729000091552734, ,Maximum
08LB064,H,2017,L,8.0,12,21,16,45,PST,0.5979999899864197, ,Minimum
08LB064,H,2018,H,8.0,5,19,4,5,PST,4.630000114440918, ,Maximum
08LB064,H,2019,H,8.0,6,2,22,35,PST,3.796999931335449, ,Maximum
08LB064,H,2019,L,8.0,2,3,21,0,PST,0.5180000066757202, ,Minimum
08LB064,H,2020,H,8.0,7,3,20,10,PST,4.602000236511231, ,Maximum
08LB064,H,2020,L,8.0,3,15,11,10,PST,0.550000011920929, ,Minimum
08LB064,H,2021,H,8.0,2,13,9,55,PST,5.48799991607666, ,Maximum
08LB064,H,2021,L,8.0,2,10,15,20,PST,0.5789999961853027, ,Minimum
08LB064,H,2022,H,8.0,6,24,6,20,PST,4.711999893188477, ,Maximum
08LB064,H,2022,L,8.0,12,1,15,10,PST,0.4239999949932098, ,Minimum
08LB064,H,2023,H,8.0,5,21,3,45,PST,4.466000080108643, ,Maximum
08LB064,H,2023,L,8.0,3,9,9,55,PST,0.4429999887943268, ,Minimum
08LB064,Q,1994,H,,5,13,20,16,PST,1470.0,,Maximum
08LB064,Q,1995,H,,6,7,8,2,PST,1730.0,,Maximum
08LB064,Q,1996,H,,6,6,8,0,PST,1840.0,,Maximum
08LB064,Q,1998,H,,5,29,9,55,PST,1570.0,,Maximum
08LB064,Q,1999,H,,6,21,1,55,PST,2590.0, ,Maximum
08LB064,Q,1999,L,,2,22,16,0,PST,76.5999984741211, ,Minimum
08LB064,Q,2000,H,,6,10,3,0,PST,1630.0, ,Maximum
08LB064,Q,2000,L,,12,18,0,0,PST,69.0,B,Minimum
08LB064,Q,2001,H,,5,30,1,0,PST,1620.0, ,Maximum
08LB064,Q,2002,H,,6,18,1,18,PST,1920.0, ,Maximum
08LB064,Q,2003,H,,6,11,14,24,PST,1530.0, ,Maximum
08LB064,Q,2004,H,,6,7,12,0,PST,1290.0, ,Maximum
08LB064,Q,2005,H,,5,17,17,42,PST,1870.0, ,Maximum
08LB064,Q,2005,L,,1,15,0,0,PST,118.0,B,Minimum
08LB064,Q,2006,H,,5,25,1,45,PST,2070.0, ,Maximum
08LB064,Q,2007,H,,6,7,6,40,PST,2240.0, ,Maximum
08LB064,Q,2008,H,,5,22,8,45,PST,1920.0, ,Maximum
08LB064,Q,2009,H,,6,7,1,40,PST,1610.0, ,Maximum
08LB064,Q,2010,H,,5,20,20,10,PST,1460.0, ,Maximum
08LB064,Q,2011,H,,5,28,8,55,PST,1940.0, ,Maximum
08LB064,Q,2012,H,,6,26,2,0,PST,2280.0, ,Maximum
08LB064,Q,2013,H,,5,15,0,20,PST,2000.0, ,Maximum
08LB064,Q,2013,L,,3,1,0,0,PST,74.0, ,Minimum
08LB064,Q,2014,H,,5,26,1,15,PST,2330.0, ,Maximum
08LB064,Q,2015,H,,5,31,11,50,PST,1670.0, ,Maximum
08LB064,Q,2016,H,,5,6,2,10,PST,1520.0, ,Maximum
08LB064,Q,2017,H,,6,3,3,40,PST,2330.0, ,Maximum
08LB064,Q,2018,H,,5,18,10,15,PST,2270.0, ,Maximum
08LB064,Q,2019,H,,6,2,22,35,PST,1570.0, ,Maximum
08LB064,Q,2020,H,,7,3,20,10,PST,2230.0, ,Maximum
08LB064,Q,2021,H,,6,5,4,15,PST,1980.0, ,Maximum
08LB064,Q,2022,H,,6,24,6,20,PST,2330.0, ,Maximum
08LB064,Q,2023,H,,5,21,3,45,PST,2150.0, ,Maximum
