STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08LE027,H,2011,H,8.0,7,8,14,35,PST,2.8340001106262207, ,Maximum
08LE027,H,2011,L,8.0,2,24,14,55,PST,0.6150000095367432, ,Minimum
08LE027,H,2012,H,8.0,6,24,2,0,PST,3.440999984741211, ,Maximum
08LE027,H,2012,L,8.0,2,28,14,15,PST,0.5879999995231628, ,Minimum
08LE027,H,2013,H,8.0,5,13,9,10,PST,2.621000051498413, ,Maximum
08LE027,H,2013,L,8.0,2,14,10,20,PST,0.6830000281333923, ,Minimum
08LE027,H,2014,H,8.0,5,24,9,15,PST,2.7160000801086426, ,Maximum
08LE027,H,2014,L,8.0,1,31,6,0,PST,0.5830000042915344, ,Minimum
08LE027,H,2015,L,8.0,1,24,7,5,PST,0.6890000104904175, ,Minimum
08LE027,H,2016,H,8.0,4,22,5,0,PST,2.378999948501587, ,Maximum
08LE027,H,2016,L,8.0,1,13,7,15,PST,0.6320000290870667, ,Minimum
08LE027,H,2017,H,8.0,5,6,4,0,PST,2.819000005722046, ,Maximum
08LE027,H,2017,L,8.0,12,20,19,35,PST,0.578000009059906, ,Minimum
08LE027,H,2018,H,8.0,5,17,1,5,PST,2.617000102996826, ,Maximum
08LE027,H,2018,L,8.0,2,12,15,40,PST,0.4869999885559082, ,Minimum
08LE027,H,2019,H,8.0,6,2,0,15,PST,2.325999975204468, ,Maximum
08LE027,H,2019,L,8.0,1,29,20,30,PST,0.5299999713897705, ,Minimum
08LE027,H,2020,H,8.0,7,2,14,0,PST,3.3959999084472656, ,Maximum
08LE027,H,2020,L,8.0,3,14,23,20,PST,0.47200000286102295, ,Minimum
08LE027,H,2021,H,8.0,6,3,0,35,PST,2.640000104904175, ,Maximum
08LE027,H,2021,L,8.0,3,4,7,15,PST,0.5379999876022339, ,Minimum
08LE027,H,2022,H,8.0,6,22,21,5,PST,2.9730000495910645, ,Maximum
08LE027,H,2022,L,8.0,11,11,19,20,PST,0.4110000133514404, ,Minimum
08LE027,H,2023,H,8.0,5,5,22,50,PST,2.6540000438690186, ,Maximum
08LE027,H,2023,L,8.0,2,24,10,0,PST,0.3959999978542328, ,Minimum
08LE027,H,2024,H,8.0,10,21,4,20,PST,2.4189999103546143, ,Maximum
08LE027,H,2024,L,8.0,1,13,3,55,PST,0.5479999780654907, ,Minimum
08LE027,Q,1970,H,,6,4,1,16,PST,238.0,,Maximum
08LE027,Q,1971,H,,5,13,14,30,PST,232.0,,Maximum
08LE027,Q,1972,H,,6,11,23,0,PST,277.0,,Maximum
08LE027,Q,1973,H,,6,24,3,30,PST,226.0,,Maximum
08LE027,Q,1974,H,,6,17,0,40,PST,251.0,,Maximum
08LE027,Q,1975,H,,6,15,6,20,PST,228.0,,Maximum
08LE027,Q,1976,H,,6,16,5,0,PST,257.0,,Maximum
08LE027,Q,1977,H,,6,8,2,30,PST,183.0,,Maximum
08LE027,Q,1978,H,,6,5,23,53,PST,176.0,,Maximum
08LE027,Q,1979,H,,6,5,10,10,PST,180.0,,Maximum
08LE027,Q,1980,H,,4,29,11,42,PST,162.0,,Maximum
08LE027,Q,1981,H,,5,31,8,20,PST,226.0,,Maximum
08LE027,Q,1982,H,,6,15,0,25,PST,204.0,,Maximum
08LE027,Q,1983,H,,7,12,9,4,PST,410.0,,Maximum
08LE027,Q,1984,H,,6,29,21,0,PST,322.0,,Maximum
08LE027,Q,1985,H,,5,25,3,14,PST,251.0,,Maximum
08LE027,Q,1986,H,,5,28,23,42,PST,253.0,,Maximum
08LE027,Q,1987,H,,5,12,10,25,PST,186.0,,Maximum
08LE027,Q,1988,H,,5,13,19,40,PST,219.0,,Maximum
08LE027,Q,1989,H,,6,14,14,30,PST,231.0,,Maximum
08LE027,Q,1990,H,,6,12,8,22,PST,254.0,,Maximum
08LE027,Q,1991,H,,6,30,10,59,PST,192.0,,Maximum
08LE027,Q,1992,H,,5,26,19,44,PST,192.0,,Maximum
08LE027,Q,1993,H,,5,13,23,37,PST,226.0,,Maximum
08LE027,Q,1994,H,,6,13,11,25,PST,199.0,,Maximum
08LE027,Q,1995,H,,5,31,0,9,PST,173.0,,Maximum
08LE027,Q,1996,H,,6,5,2,30,PST,217.0,,Maximum
08LE027,Q,1997,H,,6,1,1,0,PST,290.0,,Maximum
08LE027,Q,1999,H,,7,14,22,20,PST,361.0, ,Maximum
08LE027,Q,1999,L,,2,15,13,0,PST,6.0, ,Minimum
08LE027,Q,2000,H,,6,14,1,5,PST,219.0, ,Maximum
08LE027,Q,2000,L,,12,14,0,0,PST,3.5,B,Minimum
08LE027,Q,2001,H,,6,2,4,45,PST,251.0, ,Maximum
08LE027,Q,2002,H,,5,21,23,50,PST,237.0, ,Maximum
08LE027,Q,2003,H,,5,25,10,0,PST,187.0, ,Maximum
08LE027,Q,2004,H,,6,6,19,48,PST,154.0, ,Maximum
08LE027,Q,2005,H,,10,17,9,2,PST,174.0, ,Maximum
08LE027,Q,2006,H,,5,18,23,0,PST,210.0, ,Maximum
08LE027,Q,2007,H,,6,3,23,45,PST,229.0, ,Maximum
08LE027,Q,2008,H,,5,21,4,0,PST,219.0, ,Maximum
08LE027,Q,2009,H,,6,5,23,45,PST,160.0, ,Maximum
08LE027,Q,2010,H,,5,19,3,55,PST,177.0, ,Maximum
08LE027,Q,2011,H,,7,8,14,35,PST,203.0, ,Maximum
08LE027,Q,2012,H,,6,24,2,0,PST,373.0, ,Maximum
08LE027,Q,2013,H,,5,13,9,10,PST,201.0, ,Maximum
08LE027,Q,2014,H,,5,24,9,15,PST,239.0, ,Maximum
08LE027,Q,2016,H,,4,22,4,50,PST,171.0, ,Maximum
08LE027,Q,2017,H,,6,9,4,5,PST,254.0, ,Maximum
08LE027,Q,2018,H,,5,17,0,20,PST,215.0, ,Maximum
08LE027,Q,2019,H,,6,2,0,15,PST,163.0, ,Maximum
08LE027,Q,2020,H,,7,2,14,0,PST,396.0,E,Maximum
08LE027,Q,2021,H,,6,3,1,40,PST,220.0, ,Maximum
08LE027,Q,2022,H,,6,22,21,5,PST,288.0, ,Maximum
08LE027,Q,2023,H,,5,5,22,50,PST,224.0, ,Maximum
08LE027,Q,2024,H,,10,21,4,20,PST,188.0, ,Maximum
