Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08LG056,2024-05-09T19:25:00,-8,Stage/Niveau d'eau,0.369,,,,,,,,,GC: 0.000 HG: 0.369 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08LG056,2024-05-09T19:09:00,-8,Discharge/Débit,,0.37,0.453,44.01,0.0133,0.1353,0.1353,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",Minor algae on control.  ,Good quality QM.  Plots on current trend.  Reset water level at 11:08. Mid-section,3.35,1.68,0.27,17.0,6.7,Provisional/Provisoire,3.76
08LG056,2024-05-09T18:40:00,-8,Stage/Niveau d'eau,0.371,,,,,,,,,GC: 0.000 HG: 0.380 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08LG056,2024-03-25T20:25:00,-8,Stage/Niveau d'eau,0.365,,,,,,,,,HG: 0.364 Reset (RS),,,,,,Provisional/Provisoire,
08LG056,2024-03-25T20:20:00,-8,Stage/Niveau d'eau,0.365,,,,,,,,,HG: 0.357,,,,,,Provisional/Provisoire,
08LG056,2024-01-18T20:30:00,-8,Stage/Niveau d'eau,0.204,,,,,,,,,GC: 0.000 HG: 0.202 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08LG056,2024-01-18T20:05:30,-8,Discharge/Débit,,0.204,0.035,44.0,-0.0156,-0.2514,-0.2514,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind ",FULL ICE COVER,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",2.5,0.221,0.157,-15.3,0.0,Provisional/Provisoire,12.8
08LG056,2024-01-18T19:10:00,-8,Stage/Niveau d'eau,0.204,,,,,,,,,GC: 0.000 HG: 0.203 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08LG056,2023-10-26T18:50:00,-8,Stage/Niveau d'eau,0.232,,,,,,,,,GC: 0.000 HG: 0.232 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08LG056,2023-10-26T17:58:30,-8,Discharge/Débit,,0.224,0.081,44.0,0.0141,0.2492,0.2492,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind ",Water level backed up when hole made in ice for DWL. ,"Chiselled out section.  Good quality QM.   Added fitting to end of pvc pipe, to expose OTT black cap: easy to clean and hope to prevent slushing in pipe. Reset water level at 10:48.  Mid-section",2.6,0.517,0.157,-6.0,0.0,Provisional/Provisoire,23.1
08LG056,2023-10-26T17:25:00,-8,Stage/Niveau d'eau,0.218,,,,,,,,,GC: 0.000 HG: 0.227 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08LG056,2023-09-12T17:50:00,-8,Stage/Niveau d'eau,0.212,,,,,,,,,GC: 0.000 HG: 0.212 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08LG056,2023-09-12T17:35:00,-8,Discharge/Débit,,0.217,0.063,44.0,0.00532,0.0921,0.0052,"Measurement condition : Vegetation; Mostly Cloudy , No Precipitation , Calm Wind ",Minor algal growth.  Cleared off and water level dropped 0.003m. ,Good quality low water QM.  Opening water level used for MGH.  Apply shift up to 9:25 when algae was cleared off control.   Minor algal growth on downstream side of concrete control.  Cleared off and cleaned OTT black cap from 9:30-9:40.  Reset water level at 9:43. Mid-section,2.9,0.596,0.106,14.0,9.1,Provisional/Provisoire,9.12
08LG056,2023-09-12T17:15:00,-8,Stage/Niveau d'eau,0.217,,,,,,,,,GC: 0.000 HG: 0.225 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
08LG056,2023-07-26T19:35:00,-8,Stage/Niveau d'eau,0.257,,,,,,,,,GC: 0.000 HG: 0.255 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
