Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08MA002,Offset,HG,2024-01-10T17:30:00,2024-03-09T08:00:00,2024-01-11T01:24:40,-8,ESTIMATED PROJECTED SRC AFTER ADJUSTMENT,Offset:-0.462,Normal
08MA002,DeleteRegion,HG,2024-01-09T20:00:00,2024-01-10T17:25:00,2024-01-11T01:20:11,-8,DATA NOT VALID - DELETE - TOOK A WHILE FOR SENSOR TO ADJUST,,Normal
08MA002,Drift,HG,2024-01-09T19:35:00,2024-01-09T19:55:00,2024-01-10T21:39:53,-8,SRC - INTRAVISIT,"DriftPoints:(Offset:-0.011,Time:2024-01-09T19:35:00Z);(Offset:0,Time:2024-01-09T19:55:00Z)",Normal
08MA002,DeleteRegion,HG,2024-01-09T19:10:00,2024-01-09T19:30:00,2024-01-10T21:39:11,-8,RFT - Maintenance,,Normal
08MA002,Drift,HG,2023-10-24T17:30:00,2024-01-09T19:05:00,2024-01-10T21:38:10,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-10-24T17:30:00Z);(Offset:-0.004,Time:2024-01-09T19:05:00Z)",Normal
08MA002,CopyPaste,HG,2023-10-24T17:30:00,2024-01-09T18:45:00,2024-01-10T21:36:28,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MA002, time shift: 00:00 minutes.‌",,PreProcessing
08MA002,CopyPaste,HG,2023-09-15T17:05:00,2023-10-24T17:10:00,2023-10-25T22:31:51,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MA002, time shift: 00:00 minutes.‌",,PreProcessing
08MA002,Drift,HG,2023-09-15T17:00:00,2023-10-24T17:25:00,2023-10-25T22:34:47,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0.03,Time:2023-09-15T17:00:00Z);(Offset:-0.01,Time:2023-10-24T17:20:00Z);(Offset:0.006,Time:2023-10-24T17:25:00Z)",Normal
08MA002,Drift,HG,2023-06-23T20:35:00,2023-09-15T16:55:00,2023-09-18T20:26:12,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-06-23T20:35:00Z);(Offset:0.03,Time:2023-09-15T16:55:00Z)",Normal
08MA002,CopyPaste,HG,2023-06-23T08:00:00,2023-09-15T17:10:00,2023-09-18T20:24:41,-8,"OC - GAP FILLOverride: Copy & Paste‌Source Data Set: Stage.Logger@08MA002, time shift: 00:00 minutes.‌",,PreProcessing
