Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08MB007,2024-05-22T20:55:00,-8,Stage/Niveau d'eau,0.941,,,,,,,,,GC: 0.000 HG: 0.949 Reset (RS),,,,,,Provisional/Provisoire,
08MB007,2024-05-22T20:30:00,-8,Discharge/Débit,,0.941,4.16,30.0,0.0435,0.25010002,0.0537,"Measurement condition : Clear; Cloudy , Light Snow , Calm Wind ",,"Flowtracker 2 is 9 minutes fast. Summarytimes are adjusted accordingly.me I assume the measurement plots off due to under ice erosion at the site. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",15.8,5.01,0.831,2.2,2.8,Provisional/Provisoire,7.18
08MB007,2024-05-22T19:50:00,-8,Stage/Niveau d'eau,0.939,,,,,,,,,GC: 0.000 HG: 0.944 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08MB007,2024-03-14T19:27:00,-8,Discharge/Débit,,0.672,0.343,30.0,-0.0367,-0.3125,-0.49220002,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind ",100% ice at station,"Water is partially bridged.  Accidentally only did 21 stations, but all under 7%. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Could not return to WL location, so used corrected logger values for MGH Mid-section",7.0,1.58,0.217,4.0,0.0,Provisional/Provisoire,10.2
08MB007,2024-03-14T18:35:00,-8,Stage/Niveau d'eau,0.672,,,,,,,,,HG: 0.672 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08MB007,2024-02-13T21:26:30,-8,Discharge/Débit,,0.75,0.442,29.01,0.09,-0.5488,-0.64779997,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind ",100% ice. Frozen overflow by station made for thick ice.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",8.8,1.56,0.284,-5.4,0.0,Provisional/Provisoire,16.4
08MB007,2024-02-13T21:00:00,-8,Stage/Niveau d'eau,0.748,,,,,,,,,HG: 0.749 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08MB007,2023-10-27T19:30:00,-8,Stage/Niveau d'eau,0.823,,,,,,,,,GC: 0.000 HG: 0.818 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08MB007,2023-10-27T19:09:30,-8,Discharge/Débit,,0.809,0.499,29.01,-0.167,-0.6686,-0.7334,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ","Anchor ice, floating ice pans going downstream and shore ice.","Had to chisel out a bit of ice on shore. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Lots of piled up on ice on River Right bank in gaugng pool. Mid-section",9.7,3.93,0.127,-4.5,0.0,Provisional/Provisoire,8.84
08MB007,2023-10-27T18:50:00,-8,Stage/Niveau d'eau,0.795,,,,,,,,,GC: 0.000 HG: 0.803 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08MB007,2023-09-12T18:45:00,-8,Stage/Niveau d'eau,0.797,,,,,,,,,GC: 0.000 HG: 0.796 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08MB007,2023-09-12T18:29:30,-8,Discharge/Débit,,0.798,1.73,29.01,-0.032,0.2394,-0.0078,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Reset HG at 10:03  PST Mid-section",10.1,3.82,0.454,9.2,7.5,Provisional/Provisoire,7.92
08MB007,2023-09-12T17:50:00,-8,Stage/Niveau d'eau,0.799,,,,,,,,,GC: 0.000 HG: 0.774 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08MB007,2023-06-20T22:20:00,-8,Stage/Niveau d'eau,0.966,,,,,,,,,GC: 0.000 HG: 0.974 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
