STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08MF065,H,2011,H,8.0,7,8,4.0,31.0,PST,3.316999912261963, ,Maximum
08MF065,H,2012,H,8.0,6,24,3.0,10.0,PST,3.200000047683716, ,Maximum
08MF065,H,2012,L,8.0,2,27,13.0,45.0,PST,0.8109999895095825, ,Minimum
08MF065,H,2013,H,8.0,5,12,17.0,5.0,PST,4.39900016784668, ,Maximum
08MF065,H,2013,L,8.0,1,12,7.0,45.0,PST,0.8109999895095825, ,Minimum
08MF065,H,2014,H,8.0,12,11,1.0,15.0,PST,4.736999988555908, ,Maximum
08MF065,H,2015,H,8.0,2,6,21.0,30.0,PST,3.857000112533569, ,Maximum
08MF065,H,2015,L,8.0,12,31,14.0,40.0,PST,0.8550000190734863, ,Minimum
08MF065,H,2016,H,8.0,11,9,14.0,55.0,PST,4.412000179290772, ,Maximum
08MF065,H,2016,L,8.0,1,11,10.0,20.0,PST,0.8199999928474426, ,Minimum
08MF065,H,2017,H,8.0,11,23,7.0,15.0,PST,4.679999828338623, ,Maximum
08MF065,H,2018,H,8.0,11,2,7.0,15.0,PST,3.4600000381469727, ,Maximum
08MF065,H,2018,L,8.0,3,11,10.0,50.0,PST,0.8320000171661377, ,Minimum
08MF065,H,2019,H,8.0,5,12,1.0,15.0,PST,2.970999956130981, ,Maximum
08MF065,H,2019,L,8.0,2,26,7.0,50.0,PST,0.6359999775886536, ,Minimum
08MF065,H,2020,H,8.0,11,5,3.0,0.0,PST,3.5230000019073486, ,Maximum
08MF065,H,2020,L,8.0,3,15,8.0,40.0,PST,0.7229999899864197, ,Minimum
08MF065,H,2021,H,8.0,11,15,17.0,30.0,PST,5.235000133514404, ,Maximum
08MF065,H,2022,H,8.0,6,28,3.0,20.0,PST,3.20199990272522, ,Maximum
08MF065,H,2022,L,8.0,12,19,12.0,0.0,PST,0.625, ,Minimum
08MF065,H,2023,H,8.0,5,17,1.0,45.0,PST,3.572999954223633, ,Maximum
08MF065,H,2023,L,8.0,3,17,20.0,30.0,PST,0.7039999961853027, ,Minimum
08MF065,H,2024,H,8.0,1,30,9.0,30.0,PST,4.070000171661377, ,Maximum
08MF065,H,2024,L,8.0,9,21,18.0,20.0,PST,0.8050000071525574, ,Minimum
08MF065,Q,1973,H,,10,28,10.0,45.0,PST,309.0,,Maximum
