Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08MF065,DeleteRegion,HG,2024-01-12T00:30:00,2024-01-18T18:25:00,2024-01-17T20:09:41,-8,Invalid data due to N2 leak and frozen orifice.,,Normal
08MF065,Drift,HG,2023-09-12T17:10:00,2023-11-21T19:10:00,2023-12-06T22:50:49,-8,SRC- VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-09-12T17:10:00Z);(Offset:-0.012,Time:2023-11-21T19:10:00Z)",Normal
08MF065,Drift,HG,2023-09-12T16:25:00,2023-09-12T17:05:00,2023-09-13T17:56:31,-8,SRC - INTRAVISIT,"DriftPoints:(Offset:-0.008,Time:2023-09-12T16:25:00Z);(Offset:-0.003,Time:2023-09-12T17:05:00Z)",Normal
08MF065,CopyPaste,HG,2023-08-01T17:50:00,2023-09-12T16:20:00,2023-09-13T17:54:42,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,Drift,HG,2023-08-01T17:50:00,2023-09-12T16:20:00,2023-09-13T17:55:59,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-08-01T17:50:00Z);(Offset:-0.008,Time:2023-09-12T16:20:00Z)",Normal
08MF065,AdjustableTrim,HG,2023-07-20T20:30:00,2023-07-20T21:40:00,2023-08-02T22:37:05,-8,RFT - spikes,"LowerThresholdPoints:(Time:2023-07-20T20:30:00Z,Value:1.0781222153905032);(Time:2023-07-20T21:40:00Z,Value:1.0706876795670879),TrimAction:Delete",Normal
08MF065,Drift,HG,2023-06-07T17:20:00,2023-08-01T17:15:00,2023-08-02T22:34:56,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-06-07T17:20:00Z);(Offset:-0.012,Time:2023-08-01T17:10:00Z);(Offset:-0.005,Time:2023-08-01T17:15:00Z)",Normal
08MF065,CopyPaste,HG,2023-06-07T17:20:00,2023-08-01T17:10:00,2023-08-02T22:29:32,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,Drift,HG,2023-06-07T16:20:00,2023-06-07T17:15:00,2023-06-08T20:26:47,-8,SRC - INTRAVISIT,"DriftPoints:(Offset:0.007,Time:2023-06-07T16:20:00Z);(Offset:0.013,Time:2023-06-07T17:15:00Z)",Normal
08MF065,Drift,HG,2023-04-12T17:35:00,2023-06-07T16:15:00,2023-06-08T20:26:07,-8,SRC - VISIT TO VISIT,"DriftPoints:(Offset:0,Time:2023-04-12T17:35:00Z);(Offset:0.007,Time:2023-06-07T16:15:00Z)",Normal
08MF065,CopyPaste,HG,2023-04-12T17:35:00,2023-06-07T16:15:00,2023-06-08T20:24:30,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,CopyPaste,HG,2023-02-14T19:20:00,2023-04-12T16:50:00,2023-04-13T19:58:59,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,CopyPaste,HG,2023-02-14T17:10:00,2023-02-14T17:50:00,2023-02-15T22:54:05,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,Offset,HG,2023-01-20T20:00:00,2023-01-20T21:00:00,2023-07-18T17:33:03,-8,OC - LINE SILTING,Offset:-0.02,Normal
08MF065,Deviation,HG,2023-01-14T09:20:00,2023-02-14T17:05:00,2023-02-24T17:13:01,-8,DEL - LINE SILTING SPIKES,"DeviationValue:0.015,DeviationType:DeviationFromMinimum,WindowSizeInMinutes:60",Normal
08MF065,Deviation,HG,2023-01-08T04:15:00,2023-01-13T02:30:00,2023-02-24T17:19:18,-8,DEL - LINE SILTING SPIKES,"DeviationValue:0.015,DeviationType:DeviationFromAverage,WindowSizeInMinutes:60",Normal
08MF065,CopyPaste,HG,2022-12-25T23:10:00,2022-12-26T02:15:00,2023-02-24T17:10:26,-8,"OC - TELEM GAP FILLOverride: Copy & Paste‌Source Data Set: Stage.Logger@08MF065, time shift: 00:00 minutes.‌",,PreProcessing
08MF065,DeleteRegion,HG,2022-12-21T13:15:00,2022-12-23T18:45:00,2023-02-15T22:55:46,-8,Colt temperature leaks,,Normal
08MF065,CopyPaste,QR,2022-12-21T13:10:00,2022-12-23T18:50:00,2023-07-18T20:39:07,-8,"OC - GAP FILLOverride: Copy & Paste‌Source Data Set: Discharge.Working@08MF068, time shift: 00:00 minutes.‌",,PreProcessing
