Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08MG013,2024-06-18T17:31:30,-8,Discharge/Débit,,10.198,582.0,7.0,-0.0855,-0.0659,-0.0659,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind ",,"27cm+9cm-5cm= 31cm transducer depth Failed MBT is a known issue at this site. No MB suspected due to low velcities. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",260.0,1850.0,0.314,16.9,11.1,Provisional/Provisoire,6.8
08MG013,2024-04-24T17:48:30,-8,Discharge/Débit,,9.065,218.0,7.0,-0.0176,-0.0150999995,-0.0150999995,"Measurement condition : Clear; Cloudy , Light Rain , Moderate Wind ",,"30cm transducer depth = 15 cm to top +20cm ADCP head height - 5 cm bow rebound. Failed MBT is a known issue at this site. No MB suspected due to low velcities. M1 file would not let us perform a loop test or start pinging. had to create a new M2 measurement. QAQC info is all in the M1 file. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",239.0,1570.0,0.139,11.9,10.7,Provisional/Provisoire,4.6
08MG013,2024-04-24T16:10:00,-8,Stage/Niveau d'eau,9.065,,,,,,,,,GC: 0.005,,,,,,Provisional/Provisoire,
08MG013,2024-02-22T21:25:00,-8,Stage/Niveau d'eau,9.359,,,,,,,,,GC: 0.005,,,,,,Provisional/Provisoire,
08MG013,2024-02-22T19:21:00,-8,Discharge/Débit,,9.364,267.0,7.0,-0.0558,-0.051,-0.051,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Light Wind ",,"head depth, 27cm + 10cm - 5cm = 32cm. Failed MBT is a known issue at this site. No MB suspected due to low velcities. Selected only the middle transects as it was the least windy. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ discharge only. no stage collected. ADCP by Moving Boat",234.0,1600.0,0.167,10.3,8.0,Provisional/Provisoire,6.4
08MG013,2024-02-22T18:05:00,-8,Stage/Niveau d'eau,9.36,,,,,,,,,GC: 0.005,,,,,,Provisional/Provisoire,
08MG013,2023-11-28T19:00:00,-8,Stage/Niveau d'eau,9.123,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
08MG013,2023-11-28T18:25:30,-8,Discharge/Débit,,9.121,206.0,7.0,-0.139,-0.111999996,-0.111999996,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",,"•	RFT:  Load only MMT data.  Do not load WL readings or level data.  Do not apply shifts.  No Stage data is collected at this station. •	Failed MBT is a known issue at this site.  No MB suspected due to low velocities. Cannot upload MBT file into Qrev @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",237.0,1580.0,0.131,5.9,9.8,Provisional/Provisoire,10.8
08MG013,2023-11-28T17:45:00,-8,Stage/Niveau d'eau,9.122,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
08MG013,2023-11-28T16:45:00,-8,Stage/Niveau d'eau,9.117,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
08MG013,2023-09-19T18:55:00,-8,Discharge/Débit,,9.124,234.0,7.0,0.00358,0.0062,0.0062,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Blowing Upstream",,"Failed MBT is a known issue at this site. No MB suspected due to low velcities. First transect had wrong bank, ended early and scrapped. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",234.0,1550.0,0.15,16.8,17.7,Provisional/Provisoire,15.1
08MG013,2023-09-19T17:00:00,-8,Stage/Niveau d'eau,9.128,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
08MG013,2023-08-09T20:32:30,-8,Discharge/Débit,,9.553,359.0,7.0,0.0301,0.05,0.05,"Measurement condition : Clear; Cloudy , Light Rain , Moderate Wind ",,"Failed MBT is a known issue at this site. No MB suspected due to low velcities. Confirmation measurement done with M9.;@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @",237.0,,,22.0,18.7,Provisional/Provisoire,4.9
08MG013,2023-08-09T19:14:00,-8,Discharge/Débit,,9.551,352.0,7.0,0.0301,0.0327,0.0327,"Measurement condition : Clear; Cloudy , Light Rain , Moderate Wind ",,"Failed MBT is a known issue at this site. No MB suspected due to low velcities. Confirmation measurement done with M9. @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",235.0,1680.0,0.209,22.0,18.7,Provisional/Provisoire,4.9
08MG013,2023-08-09T17:15:00,-8,Stage/Niveau d'eau,9.543,,,,,,,,,GC: 0.000 HG: 9.545,,,,,,Provisional/Provisoire,
08MG013,2023-06-12T23:35:00,-8,Discharge/Débit,,10.36,704.0,7.0,0.0433,-0.00029999999,-0.00029999999,"Measurement condition : Clear;  ,  ,  ",,"Moving bed test does not work at this site. No moving bed. COnfirmation measurment done with M9 (704m/3).;@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @",251.88,,,22.1,15.0,Provisional/Provisoire,4.4
08MG013,2023-06-12T22:02:00,-8,Discharge/Débit,,10.36,716.0,7.0,0.0433,0.0167,0.0167,"Measurement condition : Clear;  ,  ,  ",,"Moving bed test does not work at this site. No moving bed. COnfirmation measurment done with M9 (704m/3). @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",252.0,1890.0,0.379,22.1,15.0,Provisional/Provisoire,4.4
08MG013,2023-06-12T19:55:00,-8,Stage/Niveau d'eau,10.362,,,,,,,,,HG: 10.361,,,,,,Provisional/Provisoire,
08MG013,2023-05-02T22:10:00,-8,Discharge/Débit,,9.445,322.0,7.0,0.116,0.056500003,0.056500003,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",,"M1 with Grande, M2 comparison with M9. Could not get moving bed to pass for either measurement. Assume no moving bed. Some downstream wind.;Tugboat drove by on third transect of M1. GPS data cuts out on the second transect for some reason. We were messing around with keyboard shortcuts, might have accidentally turned it off?;@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @",250.92,,,23.2,11.1,Provisional/Provisoire,5.3
08MG013,2023-05-02T20:30:30,-8,Discharge/Débit,,9.437,328.0,7.0,0.116,0.0867,0.0867,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",,"M1 with Grande, M2 comparison with M9. Could not get moving bed to pass for either measurement. Assume no moving bed. Some downstream wind. Tugboat drove by on third transect of M1. GPS data cuts out on the second transect for some reason. We were messing around with keyboard shortcuts, might have accidentally turned it off? @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Stage values taken afterwards from lake station ADCP by Moving Boat",254.0,1700.0,0.193,23.2,11.1,Provisional/Provisoire,5.3
08MG013,2023-02-21T22:08:00,-8,Discharge/Débit,,8.869,167.0,7.0,-0.0813,-0.0958,-0.0958,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind ",,"M1 with Grande, M2 comparison with M9. Could not get moving bed to pass for either measurement. Assume no moving bed. Some upstream wind during the M1 measurement.;@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @",235.37,1525.0,0.11,8.7,6.8,Provisional/Provisoire,6.8
