STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
08MH006,2,1990,1990 DISCHARGES REVISED NOV 2018,
08MH006,2,2016,"Non-standard HOBO sensors installed and used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 when it was discovered that the HOBO had been stolen.",
08MH006,2,2017,"Non-standard HOBO sensors installed and used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 when it was discovered that the HOBO had been stolen.",
08MH006,2,2018,"Non-standard HOBO sensors installed and used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 when it was discovered that the HOBO had been stolen.",
08MH006,2,2019,"Non-standard HOBO sensors used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 and from Oct 3, 2019 to February 1, 2023. ",
08MH006,2,2020,"Non-standard HOBO sensors used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 and from Oct 3, 2019 to February 1, 2023. ",
08MH006,2,2021,"Non-standard HOBO sensors used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 and from Oct 3, 2019 to February 1, 2023. ",
08MH006,2,2022,"Non-standard HOBO sensors used as primary stage sensor at this station for the period Dec 14, 2016 to Dec 5, 2018 and from Oct 3, 2019 to February 1, 2023. ",
08MH006,2,2023,Water level not available 2023-01-01 to 2023-03-01.,
08MH006,4,-999,1990 DISCHARGES REVISED NOV 2018,
