STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08MH029,H,1941,H,8.0,12,4,4.0,0.0,PST,2.3929998874664307,,Maximum
08MH029,H,1942,H,8.0,12,31,,,,1.7680000066757202,,Maximum
08MH029,H,1943,H,8.0,2,4,8.0,40.0,PST,2.5910000801086426,,Maximum
08MH029,H,1946,H,8.0,3,27,,,,2.569000005722046,,Maximum
08MH029,H,1947,H,8.0,1,24,11.0,0.0,PST,2.865000009536743,,Maximum
08MH029,H,1948,H,8.0,1,1,23.0,30.0,PST,2.5820000171661377,,Maximum
08MH029,H,1949,H,8.0,12,29,0.0,1.0,PST,3.510999917984009,,Maximum
08MH029,H,2013,H,8.0,1,10,7.0,50.0,PST,3.249000072479248, ,Maximum
08MH029,H,2014,H,8.0,3,7,0.0,10.0,PST,3.1700000762939453, ,Maximum
08MH029,H,2015,H,8.0,1,6,18.0,50.0,PST,3.365000009536743, ,Maximum
08MH029,H,2015,L,8.0,8,19,14.0,25.0,PST,0.296999990940094, ,Minimum
08MH029,H,2016,H,8.0,2,17,0.0,20.0,PST,3.3529999256134038, ,Maximum
08MH029,H,2016,L,8.0,8,20,10.0,25.0,PST,0.5910000205039978, ,Minimum
08MH029,H,2017,H,8.0,3,30,15.0,55.0,PST,3.365999937057495, ,Maximum
08MH029,H,2017,L,8.0,8,23,15.0,25.0,PST,0.38999998569488525, ,Minimum
08MH029,H,2018,H,8.0,1,30,17.0,40.0,PST,3.428999900817871, ,Maximum
08MH029,H,2018,L,8.0,8,10,14.0,5.0,PST,0.3630000054836273, ,Minimum
08MH029,H,2019,H,8.0,1,4,17.0,0.0,PST,3.499000072479248, ,Maximum
08MH029,H,2019,L,8.0,8,7,11.0,5.0,PST,0.5230000019073486, ,Minimum
08MH029,H,2020,H,8.0,2,2,11.0,30.0,PST,4.010000228881836, ,Maximum
08MH029,H,2020,L,8.0,8,18,11.0,0.0,PST,0.6079999804496765, ,Minimum
08MH029,H,2021,H,8.0,11,15,16.0,35.0,PST,4.205999851226807, ,Maximum
08MH029,H,2022,H,8.0,1,13,4.0,45.0,PST,3.845999956130981, ,Maximum
08MH029,H,2022,L,8.0,9,14,17.0,40.0,PST,0.6859999895095825, ,Minimum
08MH029,H,2023,H,8.0,12,6,9.0,40.0,PST,3.128999948501587, ,Maximum
08MH029,H,2023,L,8.0,8,18,18.0,30.0,PST,0.5910000205039978, ,Minimum
08MH029,Q,1953,H,,1,24,9.0,0.0,PST,17.299999237060547,,Maximum
08MH029,Q,1954,H,,11,22,,,,20.0,,Maximum
08MH029,Q,1955,H,,12,12,17.0,0.0,PST,23.799999237060547,,Maximum
08MH029,Q,1958,H,,1,17,13.0,0.0,PST,12.300000190734863,,Maximum
08MH029,Q,1959,H,,1,25,9.0,0.0,PST,27.700000762939453,,Maximum
08MH029,Q,1960,H,,1,27,11.0,0.0,PST,17.200000762939453,,Maximum
08MH029,Q,1962,H,,12,31,2.0,0.0,PST,19.399999618530277,,Maximum
08MH029,Q,1963,H,,12,24,9.0,50.0,PST,22.899999618530277,,Maximum
08MH029,Q,1964,H,,12,2,8.0,30.0,PST,23.0,,Maximum
08MH029,Q,1965,H,,2,6,4.0,30.0,PST,32.0,,Maximum
08MH029,Q,1966,H,,1,14,2.0,0.0,PST,26.700000762939453,,Maximum
08MH029,Q,1967,H,,2,4,15.0,50.0,PST,20.100000381469727,,Maximum
08MH029,Q,1968,H,,1,20,4.0,0.0,PST,30.299999237060547,,Maximum
08MH029,Q,1970,H,,1,22,3.0,40.0,PST,12.199999809265137,,Maximum
08MH029,Q,1971,H,,12,18,13.0,3.0,PST,32.79999923706055,,Maximum
08MH029,Q,1972,H,,3,6,12.0,46.0,PST,38.20000076293945,,Maximum
08MH029,Q,1973,H,,12,7,14.0,11.0,PST,13.300000190734863,,Maximum
08MH029,Q,1974,H,,2,4,2.0,36.0,PST,40.79999923706055,,Maximum
08MH029,Q,1975,H,,12,3,11.0,19.0,PST,46.70000076293945,,Maximum
08MH029,Q,1976,H,,1,16,15.0,7.0,PST,31.100000381469727,,Maximum
08MH029,Q,1977,H,,1,19,5.0,28.0,PST,22.700000762939453,,Maximum
08MH029,Q,1978,H,,11,5,7.0,53.0,PST,10.899999618530272,,Maximum
08MH029,Q,1979,H,,12,18,13.0,1.0,PST,26.799999237060547,,Maximum
08MH029,Q,1980,H,,12,27,6.0,30.0,PST,30.399999618530277,,Maximum
08MH029,Q,1981,H,,6,11,19.0,5.0,PST,17.299999237060547,,Maximum
08MH029,Q,1982,H,,2,15,7.0,9.0,PST,49.20000076293945,,Maximum
08MH029,Q,1983,H,,1,11,6.0,25.0,PST,33.29999923706055,,Maximum
08MH029,Q,1984,H,,1,5,21.0,20.0,PST,49.09999847412109,,Maximum
08MH029,Q,1985,H,,4,28,15.0,54.0,PST,16.299999237060547,,Maximum
08MH029,Q,1986,H,,2,25,7.0,4.0,PST,39.70000076293945,,Maximum
08MH029,Q,1987,H,,1,13,9.0,44.0,PST,9.800000190734863,,Maximum
