Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08NA002,2024-05-21T22:45:00,-7,Stage/Niveau d'eau,1.601,,,,,,,,,GC: 0.000 HG: 1.602 Reset (RS),,,,,,Provisional/Provisoire,
08NA002,2024-05-21T22:40:00,-7,Stage/Niveau d'eau,1.601,,,,,,,,,GC: 0.000 HG: 1.593 No Reset (NR),,,,,,Provisional/Provisoire,
08NA002,2024-05-21T22:28:30,-7,Discharge/Débit,,1.602,156.0,30.02,-0.012,-0.010299999,-0.010299999,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Calm Wind ",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",103.0,199.0,0.786,20.0,10.0,Provisional/Provisoire,3.5
08NA002,2024-05-21T22:00:00,-7,Stage/Niveau d'eau,1.602,,,,,,,,,GC: 0.000 HG: 1.598 Found (FD),,,,,,Provisional/Provisoire,
08NA002,2024-04-08T21:30:00,-7,Stage/Niveau d'eau,0.423,,,,,,,,,GC: 0.000 HG: 0.421 Reset (RS),,,,,,Provisional/Provisoire,
08NA002,2024-04-08T21:05:00,-7,Stage/Niveau d'eau,0.421,,,,,,,,,GC: 0.000 HG: 0.421,,,,,,Provisional/Provisoire,
08NA002,2024-04-08T20:51:00,-7,Discharge/Débit,,0.421,32.0,30.02,0.0175,0.0438,0.0438,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Delete 14:10 to 14:20 cleaning sensor Mid-section",66.5,39.4,0.811,12.0,7.5,Provisional/Provisoire,3.78
08NA002,2024-04-08T20:15:00,-7,Stage/Niveau d'eau,0.42,,,,,,,,,GC: 0.000 HG: 0.420 Reset (RS),,,,,,Provisional/Provisoire,
08NA002,2024-04-08T20:10:00,-7,Stage/Niveau d'eau,0.42,,,,,,,,,GC: 0.000 HG: 0.423 Found (FD),,,,,,Provisional/Provisoire,
08NA002,2024-01-23T21:00:00,-7,Stage/Niveau d'eau,0.44,,,,,,,,,HG: 0.439 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
08NA002,2024-01-23T20:59:30,-7,Discharge/Débit,,0.439,20.2,30.01,0.164,-0.3696,-0.3696,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind ",Edge ice. ,"waded open lead at last piling. Ice panels on edges. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",66.0,40.8,0.496,1.5,0.0,Final/Finales,3.8
08NA002,2023-10-10T23:25:00,-7,Stage/Niveau d'eau,0.478,,,,,,,,,GC: 0.000 HG: 0.478 No Reset (NR),,,,,,Final/Finales,
