Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
08NC004,19.0,"Curve drawn for 2022 as historic min mmt collected March 2022 plots off the existing curve 18.02. Uses all 2010-2022 open-water measurements, and plots all of them <5% except for 2014-10-14. Upper break point and curve segment unchanged from Curve 18.02. Break point elevation has not been surveyed but correlates to suspected bank-full conditions. More high water mmts needed to better refine this curve segment.",LogarithmicTable,Provisional/Provisoire,(3.185:1.02);(1.2);
08NC004,18.02,extended bottom end of curve 18.01,LogarithmicTable,Final/Finales,(3.185:1.081);(1.2);
08NC004,18.01,extended top end of curve 18.00,LogarithmicTable,Final/Finales,(3.185:1.081);(1.2);
08NC004,18.0,New curve made HWS using 2011 to 2014 measurements,LogarithmicTable,Final/Finales,(3.185:1.081);(1.2);
08NC004,17.0,Coincident to Table 16 below 1.7 and above 2.150,LinearTable,Final/Finales,
08NC004,16.0,Coincident to Table 16 below 1.7 and above 2.150,LinearTable,Final/Finales,
08NC004,15.0,Coincident to Table 14 below 2.201m.,LinearTable,Final/Finales,
08NC004,14.0,,LinearTable,Final/Finales,
08NC004,13.0,,LinearTable,Final/Finales,
08NC004,12.0,,LinearTable,Final/Finales,
08NC004,11.0,,LinearTable,Final/Finales,
08NC004,10.0,,LinearTable,Final/Finales,
