STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NG065,H,2011,H,8.0,7,1,0,11,MST,4.416999816894531, ,Maximum
08NG065,H,2012,H,8.0,6,7,4,44,MST,4.605000019073486, ,Maximum
08NG065,H,2012,L,8.0,1,13,11,14,MST,0.3799999952316284, ,Minimum
08NG065,H,2013,H,8.0,6,22,8,19,MST,5.005000114440918,,Maximum
08NG065,H,2013,L,8.0,12,9,6,49,MST,0.3680000007152557,,Minimum
08NG065,H,2014,H,8.0,5,25,3,24,MST,3.983000040054321, ,Maximum
08NG065,H,2014,L,8.0,2,6,12,59,MST,0.32899999618530273, ,Minimum
08NG065,H,2015,H,8.0,6,4,9,4,MST,3.494999885559082, ,Maximum
08NG065,H,2015,L,8.0,1,1,16,49,MST,0.4300000071525574, ,Minimum
08NG065,H,2016,H,8.0,6,8,14,39,MST,3.276000022888184, ,Maximum
08NG065,H,2016,L,8.0,1,3,12,39,MST,0.3470000028610229, ,Minimum
08NG065,H,2017,H,8.0,6,1,22,25,MST,4.230999946594238, ,Maximum
08NG065,H,2017,L,8.0,12,26,15,25,MST,0.3129999935626984, ,Minimum
08NG065,H,2018,H,8.0,5,18,6,10,MST,4.203000068664551,,Maximum
08NG065,H,2018,L,8.0,12,8,17,0,MST,0.23000000417232516,,Minimum
08NG065,H,2019,H,8.0,6,4,0,25,MST,3.424000024795532, ,Maximum
08NG065,H,2019,L,8.0,2,6,10,45,MST,0.12700000405311584, ,Minimum
08NG065,H,2020,H,8.0,6,1,17,40,MST,4.452000141143799, ,Maximum
08NG065,H,2020,L,8.0,1,16,7,15,MST,0.17900000512599945, ,Minimum
08NG065,H,2021,H,8.0,6,4,22,20,MST,4.206999778747559, ,Maximum
08NG065,H,2021,L,8.0,2,10,12,55,MST,0.15600000321865082, ,Minimum
08NG065,H,2022,H,8.0,6,19,16,40,MST,4.151000022888184, ,Maximum
08NG065,H,2022,L,8.0,12,23,1,45,MST,0.1340000033378601, ,Minimum
08NG065,H,2023,H,8.0,5,18,16,25,MST,3.757999897003174, ,Maximum
08NG065,H,2023,L,8.0,1,31,7,35,MST,0.09200000017881392, ,Minimum
08NG065,H,2024,H,8.0,6,12,20,10,MST,3.2799999713897705, ,Maximum
08NG065,H,2024,L,8.0,1,14,8,15,MST,-0.02500000037252903, ,Minimum
08NG065,Q,1967,H,,6,23,0,40,PST,1270.0,,Maximum
08NG065,Q,1968,H,,6,4,0,36,PST,1160.0,,Maximum
08NG065,Q,1969,H,,6,6,14,49,PST,1100.0,,Maximum
08NG065,Q,1970,H,,6,5,22,57,PST,946.0,,Maximum
08NG065,Q,1971,H,,6,24,6,20,MST,1010.0,,Maximum
08NG065,Q,1972,H,,6,3,3,0,MST,1510.0,,Maximum
08NG065,Q,1973,H,,6,25,5,0,MST,861.0,,Maximum
08NG065,Q,1974,H,,6,19,8,20,MST,1830.0,,Maximum
08NG065,Q,1975,H,,7,6,15,15,MST,725.0,,Maximum
08NG065,Q,1976,H,,7,1,19,50,MST,869.0,,Maximum
08NG065,Q,1977,H,,6,9,0,11,MST,864.0,,Maximum
08NG065,Q,1978,H,,6,6,23,20,MST,1040.0,,Maximum
08NG065,Q,1980,H,,5,23,2,15,MST,835.0,,Maximum
08NG065,Q,1981,H,,5,27,8,45,MST,1130.0,,Maximum
08NG065,Q,1982,H,,6,16,14,30,MST,1120.0,,Maximum
08NG065,Q,1983,H,,5,30,22,15,MST,1050.0,,Maximum
08NG065,Q,1984,H,,6,30,13,50,MST,1050.0,,Maximum
08NG065,Q,1985,H,,5,25,16,16,MST,983.0,,Maximum
08NG065,Q,1986,H,,6,1,19,59,MST,1490.0,,Maximum
08NG065,Q,1987,H,,5,13,14,8,MST,978.0,,Maximum
08NG065,Q,1988,H,,6,8,23,26,MST,938.0,,Maximum
08NG065,Q,1989,H,,6,7,17,59,MST,905.0,,Maximum
08NG065,Q,1990,H,,6,25,19,19,MST,1060.0,,Maximum
08NG065,Q,1991,H,,7,5,12,27,MST,1140.0,,Maximum
08NG065,Q,1992,H,,6,14,12,6,MST,697.0,,Maximum
08NG065,Q,1993,H,,5,15,18,50,MST,915.0,,Maximum
08NG065,Q,1994,H,,5,13,13,36,MST,733.0,,Maximum
08NG065,Q,1995,H,,6,7,16,51,MST,1090.0,,Maximum
